,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.033478893740902474,0.03444929645803008,0.008733624454148471,0.033964095099466275,0.033964095099466275,0.032508491023774864,0.0,0.03299369238233867,0.009704027171276079,0.0,0.033964095099466275,0.033964095099466275,0.0,0.001455604075691412,0.033964095099466275,0.033964095099466275,0.001455604075691412,0.022804463852498787,0.0,0.0,0.0,0.03444929645803008,0.0,0.0,0.0,0.03444929645803008,0.00048520135856380397,0.022804463852498787,0.029597282872392043,0.031052886948083454,0.0,0.0,0.0,0.0,0.03444929645803008,0.020863658418243572,0.0,0.0,0.03444929645803008,0.0,0.031052886948083454,0.033964095099466275,0.0,0.012615235322658904,0.033964095099466275,0.0,0.0009704027171276079,0.0,0.03444929645803008,0.0,0.0,0.0,0.0,0.033964095099466275,0.032508491023774864,0.027171276079573023,0.03444929645803008,0.03444929645803008,0.03202328966521106,0.0,0.0,0.03444929645803008,0.0
F3,0.02416812609457093,0.03887915936952715,0.011208406304728547,0.03817863397548161,0.037828371278458846,0.030122591943957968,0.0,0.03642732049036777,0.00840630472854641,0.0,0.025919439579684764,0.0276707530647986,0.0003502626970227671,0.0024518388791593695,0.037478108581436076,0.024868651488616462,0.0007005253940455342,0.017162872154115588,0.0007005253940455342,0.0,0.0014010507880910684,0.03712784588441331,0.0,0.0007005253940455342,0.0003502626970227671,0.03922942206654991,0.0017513134851138354,0.016112084063047285,0.021716287215411557,0.03502626970227671,0.0,0.0,0.0,0.0,0.03222416812609457,0.018563922942206657,0.0014010507880910684,0.0,0.03467600700525394,0.0,0.027320490367775833,0.03817863397548161,0.0,0.010507880910683012,0.03677758318739054,0.0,0.0021015761821366026,0.0007005253940455342,0.03817863397548161,0.0,0.0,0.0,0.0010507880910683013,0.03817863397548161,0.03537653239929948,0.01926444833625219,0.03852889667250438,0.03957968476357268,0.034325744308231175,0.0010507880910683013,0.0,0.03607705779334501,0.0
F7,0.01061410159211524,0.022744503411675512,0.0401819560272934,0.019711902956785442,0.019711902956785442,0.009855951478392721,0.0,0.016679302501895376,0.01592115238817286,0.01592115238817286,0.01288855193328279,0.01819560272934041,0.018953752843062926,0.02350265352539803,0.018953752843062926,0.01288855193328279,0.0,0.003032600454890068,0.019711902956785442,0.017437452615617893,0.02122820318423048,0.018953752843062926,0.017437452615617893,0.019711902956785442,0.018953752843062926,0.021986353297952996,0.021986353297952996,0.006823351023502654,0.012130401819560273,0.026535253980288095,0.016679302501895376,0.013646702047005308,0.01819560272934041,0.0075815011372251705,0.01819560272934041,0.0,0.02122820318423048,0.01819560272934041,0.017437452615617893,0.016679302501895376,0.006823351023502654,0.019711902956785442,0.017437452615617893,0.01592115238817286,0.01819560272934041,0.015163002274450341,0.014404852160727824,0.019711902956785442,0.02047005307050796,0.0,0.01819560272934041,0.009855951478392721,0.02047005307050796,0.019711902956785442,0.014404852160727824,0.0075815011372251705,0.02047005307050796,0.022744503411675512,0.012130401819560273,0.02047005307050796,0.0,0.019711902956785442,0.01592115238817286
FT9,0.021282973621103117,0.03327338129496403,0.008393285371702638,0.047961630695443645,0.04106714628297362,0.030875299760191845,0.0,0.039568345323741004,0.005995203836930456,0.0,0.023081534772182253,0.023081534772182253,0.0,0.0008992805755395684,0.039568345323741004,0.02158273381294964,0.0020983213429256594,0.01858513189448441,0.0,0.0,0.0,0.0368705035971223,0.0,0.0,0.0,0.03986810551558753,0.00029976019184652276,0.01408872901678657,0.01828537170263789,0.0302757793764988,0.0,0.0,0.0,0.0,0.027577937649880094,0.023980815347721823,0.0,0.0,0.03177458033573141,0.0,0.02877697841726619,0.042565947242206234,0.0,0.0077937649880095924,0.03776978417266187,0.0,0.0005995203836930455,0.0,0.03866906474820144,0.0,0.0,0.0,0.0,0.048860911270983215,0.03866906474820144,0.016786570743405275,0.042865707434052755,0.046762589928057555,0.03747002398081535,0.0,0.0,0.03207434052757794,0.0
FC5,0.021933889403768923,0.03429101019462465,0.008649984553599012,0.042323138708680874,0.04170528266913809,0.031819586036453504,0.0,0.040160642570281124,0.006178560395427865,0.0,0.023787457522397283,0.023787457522397283,0.0,0.0009267840593141798,0.04077849860982391,0.022242817423540315,0.002162496138399753,0.019153537225826384,0.0,0.0,0.0,0.037998146431881374,0.0,0.0,0.0,0.04046957059005252,0.00030892801977139327,0.014519616929255484,0.01884460920605499,0.03027494593759654,0.0,0.0,0.0,0.0,0.02842137781896818,0.024096385542168676,0.0,0.0,0.03274637009576769,0.0,0.02934816187828236,0.042323138708680874,0.0,0.008032128514056224,0.03892493049119555,0.0,0.0006178560395427865,0.0,0.03985171455050973,0.0,0.0,0.0,0.0,0.042323138708680874,0.039233858510966946,0.017299969107198023,0.042632066728452274,0.04077849860982391,0.037998146431881374,0.0,0.0,0.03305529811553908,0.0
FC1,0.025376976829716808,0.033835969106289075,0.00625229863920559,0.038249356381022434,0.038249356381022434,0.03714600956233909,0.0,0.038249356381022434,0.00625229863920559,0.0,0.027583670467083488,0.025744759102611255,0.0,0.0,0.038249356381022434,0.025744759102611255,0.0025744759102611253,0.02206693637366679,0.0,0.0,0.0,0.03788157410812799,0.0,0.0,0.0,0.03751379183523354,0.0,0.017285766826038985,0.021331371827877896,0.027583670467083488,0.0,0.0,0.0,0.0,0.030893710923133505,0.02500919455682236,0.0,0.0,0.035307098197866864,0.0,0.03420375137918352,0.038249356381022434,0.0,0.008458992276572269,0.038249356381022434,0.0,0.0,0.0,0.038249356381022434,0.0,0.0,0.0,0.0,0.038249356381022434,0.03788157410812799,0.020595807282089002,0.038249356381022434,0.03714600956233909,0.03751379183523354,0.0,0.0,0.03457153365207797,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.02184769038701623,0.033707865168539325,0.008114856429463172,0.04275905118601748,0.042134831460674156,0.032147315855181026,0.0,0.042134831460674156,0.0056179775280898875,0.0,0.02372034956304619,0.023408239700374533,0.0,0.00031210986267166043,0.04088639200998752,0.02215980024968789,0.0024968789013732834,0.019350811485642945,0.0,0.0,0.0,0.03776529338327091,0.0,0.0,0.0,0.03932584269662921,0.0,0.01466916354556804,0.018414481897627965,0.02933832709113608,0.0,0.0,0.0,0.0,0.028089887640449437,0.025593008739076155,0.0,0.0,0.03245942571785269,0.0,0.0299625468164794,0.042134831460674156,0.0,0.00749063670411985,0.03901373283395755,0.0,0.0,0.0,0.03932584269662921,0.0,0.0,0.0,0.0,0.04275905118601748,0.04119850187265917,0.017478152309612985,0.041822721598002495,0.039637952559300874,0.039950062421972535,0.0,0.0,0.03277153558052434,0.0
TP9,0.024096385542168676,0.029451137884872823,0.030789825970548863,0.024096385542168676,0.024096385542168676,0.020080321285140562,0.0,0.0214190093708166,0.03614457831325301,0.002677376171352075,0.024096385542168676,0.028112449799196786,0.008032128514056224,0.01606425702811245,0.024096385542168676,0.024096385542168676,0.0,0.013386880856760375,0.009370816599732263,0.00535475234270415,0.012048192771084338,0.025435073627844713,0.00535475234270415,0.009370816599732263,0.008032128514056224,0.028112449799196786,0.013386880856760375,0.020080321285140562,0.02677376171352075,0.03614457831325301,0.004016064257028112,0.0,0.006693440428380187,0.0,0.02677376171352075,0.008032128514056224,0.012048192771084338,0.006693440428380187,0.025435073627844713,0.004016064257028112,0.018741633199464525,0.024096385542168676,0.00535475234270415,0.03614457831325301,0.024096385542168676,0.0013386880856760374,0.014725568942436412,0.009370816599732263,0.025435073627844713,0.0,0.006693440428380187,0.0,0.0107095046854083,0.024096385542168676,0.020080321285140562,0.0214190093708166,0.025435073627844713,0.029451137884872823,0.018741633199464525,0.0107095046854083,0.0,0.02677376171352075,0.002677376171352075
CP5,0.0,0.0,0.019916142557651992,0.0,0.0,0.0,0.0,0.0,0.0,0.039832285115303984,0.0,0.0,0.040880503144654086,0.02830188679245283,0.0,0.0,0.019916142557651992,0.0,0.03878406708595388,0.040880503144654086,0.040880503144654086,0.0,0.040880503144654086,0.040880503144654086,0.040880503144654086,0.0,0.040880503144654086,0.0,0.0,0.0,0.040880503144654086,0.03878406708595388,0.040880503144654086,0.029350104821802937,0.0,0.006289308176100629,0.040880503144654086,0.039832285115303984,0.0,0.031446540880503145,0.0,0.0,0.040880503144654086,0.0,0.0,0.040880503144654086,0.009433962264150943,0.039832285115303984,0.0,0.0,0.02830188679245283,0.03249475890985325,0.03039832285115304,0.0,0.0,0.0,0.0,0.0,0.0,0.040880503144654086,0.0,0.0,0.03563941299790356
CP1,0.03227272727272727,0.034545454545454546,0.009545454545454546,0.034545454545454546,0.034545454545454546,0.03227272727272727,0.0,0.03363636363636364,0.00909090909090909,0.0,0.03409090909090909,0.03363636363636364,0.0,0.0013636363636363637,0.034545454545454546,0.03272727272727273,0.0018181818181818182,0.022727272727272728,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.035,0.00045454545454545455,0.021363636363636362,0.02772727272727273,0.030454545454545453,0.0,0.0,0.0,0.0,0.034545454545454546,0.02090909090909091,0.0,0.0,0.035,0.0,0.030454545454545453,0.034545454545454546,0.0,0.011818181818181818,0.034545454545454546,0.0,0.0009090909090909091,0.0,0.035,0.0,0.0,0.0,0.0,0.034545454545454546,0.03318181818181818,0.025454545454545455,0.035,0.035,0.03272727272727273,0.0,0.0,0.035,0.0
Pz,0.030454545454545453,0.03590909090909091,0.012727272727272728,0.03409090909090909,0.03409090909090909,0.03,0.0,0.03318181818181818,0.010454545454545454,0.0,0.031818181818181815,0.035,0.0,0.0027272727272727275,0.03409090909090909,0.031818181818181815,0.00045454545454545455,0.020454545454545454,0.00045454545454545455,0.0,0.0013636363636363637,0.034545454545454546,0.0,0.00045454545454545455,0.0,0.035454545454545454,0.0018181818181818182,0.020454545454545454,0.028181818181818183,0.03363636363636364,0.0,0.0,0.0,0.0,0.035,0.018636363636363635,0.0013636363636363637,0.0,0.034545454545454546,0.0,0.028181818181818183,0.03409090909090909,0.0,0.013181818181818182,0.03409090909090909,0.0,0.0022727272727272726,0.00045454545454545455,0.034545454545454546,0.0,0.0,0.0,0.0009090909090909091,0.03409090909090909,0.03272727272727273,0.024545454545454544,0.034545454545454546,0.03590909090909091,0.031363636363636364,0.0009090909090909091,0.0,0.035,0.0
