,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.0504654031624986,0.01289671414152742,0.016485365033082875,0.025008410900527082,0.0308399685993047,0.011999551418638555,0.03285858472580464,0.021980486710777167,0.0057194123584165075,0.014130312885499607,0.004373668274083212,0.025008410900527082,0.020410451945721657,0.018167545138499497,0.033307166087249075,0.02074688796680498,0.009980935292138612,0.02164405068969384,0.0074015924638331275,0.017831109117416172,0.012448132780082987,0.021531905349332737,0.0020186161264999438,0.003588650891555456,0.014354603566221823,0.01727038241561063,0.0062801390602220475,0.024896265560165973,0.02052259728608276,0.012560278120444095,0.000224290680722216,0.006504429740944263,0.006055848379499832,0.002355052147583268,0.016373219692721767,0.010878098015027475,0.0062801390602220475,0.015588202310194012,0.03319502074688797,0.009420208590333072,0.011550970057194123,0.02186834137041606,0.004261522933722104,0.014130312885499607,0.01289671414152742,0.008074464505999775,0.02052259728608276,0.014466748906582932,0.00953235393069418,0.024896265560165973,0.013793876864416283,0.01727038241561063,0.01009308063249972,0.02018616126499944,0.015363911629471795,0.028709207132443647,0.01805539979813839,0.019737579903555007,0.028036335090277,0.005382976337333184,0.013793876864416283,0.017718963777055063,0.006055848379499832
F3,0.011231565582576424,0.0505908780154312,0.014454536575837484,0.021388807500732493,0.012891883973044242,0.01464986815118664,0.00732493407559332,0.011426897157925579,0.02470944428166813,0.015724191815606994,0.023928117980271512,0.0056646156851255,0.011036234007227268,0.019728489110264674,0.007520265650942475,0.013477878699091709,0.025881433733763063,0.013087215548393398,0.017775173356773123,0.01914249438421721,0.01338021291141713,0.01464986815118664,0.02480711006934271,0.02470944428166813,0.011719894520949311,0.018458833870495166,0.010938568219552691,0.007129602500244164,0.018361168082820588,0.02929973630237328,0.004297294657681414,0.00488328938372888,0.006836605137220432,0.009180584041410294,0.013868541849790018,0.016310186541654458,0.026076765309112217,0.00927824982908487,0.01298954976071882,0.014161539212813752,0.014259205000488329,0.012794218185369665,0.02754175212423088,0.008594589315362828,0.01543119445258326,0.025881433733763063,0.013673210274440864,0.016896181267701923,0.020119152260962985,0.010840902431878113,0.011231565582576424,0.02060748119933587,0.01709151284305108,0.012305889246996778,0.012696552397695087,0.009864244555132337,0.02060748119933587,0.011524562945600156,0.014454536575837484,0.009571247192108605,0.015724191815606994,0.022951460103525737,0.02236546537747827
F7,0.0158311345646438,0.0158311345646438,0.048406738380353156,0.03044448954739192,0.00781408565049726,0.010351126446113253,0.011061497868885732,0.009133346864217576,0.025674852851633855,0.004566673432108788,0.022122995737771465,0.01116297950071037,0.01593261619646844,0.02029632636492795,0.010148163182463974,0.014816318246397403,0.020600771260401867,0.0079155672823219,0.025268926324335295,0.010757052973411813,0.02405114674243962,0.005175563223056626,0.018672620255733713,0.02628374264258169,0.017251877410188757,0.029632636492794805,0.017353359042013395,0.00395778364116095,0.025776334483458493,0.020905216155875785,0.008930383600568297,0.019078546783032273,0.010452608077937893,0.0029429673229145526,0.0316622691292876,0.009031865232392937,0.013598538664501725,0.02354373858331642,0.012583722346255329,0.025268926324335295,0.026182261010757053,0.017048914146539477,0.01603409782829308,0.016845950882890197,0.010148163182463974,0.017556322305662675,0.013598538664501725,0.009336310127866856,0.010452608077937893,0.006393342804952303,0.022427440633245383,0.014714836614572763,0.0153237264055206,0.005074081591231987,0.0028414856910899127,0.011873350923482849,0.016237061091942357,0.005277044854881266,0.010757052973411813,0.008727420336919018,0.01116297950071037,0.025877816115283135,0.021818550842297543
FT9,0.02266260162601626,0.02266260162601626,0.029776422764227643,0.04705284552845528,0.01097560975609756,0.013821138211382113,0.012804878048780487,0.00894308943089431,0.020020325203252032,0.005589430894308943,0.018800813008130083,0.014634146341463415,0.01686991869918699,0.02530487804878049,0.012398373983739837,0.014735772357723578,0.019715447154471544,0.009959349593495936,0.02144308943089431,0.015548780487804878,0.02225609756097561,0.006910569105691057,0.013313008130081301,0.01991869918699187,0.020426829268292684,0.023373983739837397,0.014939024390243902,0.00894308943089431,0.029878048780487804,0.025508130081300814,0.005995934959349593,0.012093495934959349,0.004166666666666667,0.0010162601626016261,0.026626016260162602,0.013211382113821139,0.015345528455284552,0.018902439024390243,0.01636178861788618,0.021747967479674796,0.022357723577235773,0.015345528455284552,0.018089430894308943,0.016158536585365854,0.010772357723577236,0.012804878048780487,0.011991869918699187,0.01443089430894309,0.010365853658536586,0.008434959349593495,0.018902439024390243,0.014735772357723578,0.010772357723577236,0.008434959349593495,0.00508130081300813,0.013109756097560975,0.017479674796747967,0.00853658536585366,0.015853658536585366,0.008739837398373983,0.010264227642276422,0.025813008130081302,0.01686991869918699
FC5,0.02672516952532908,0.012963701635420821,0.008077383326685282,0.010670123653769445,0.05125648185081771,0.011467889908256881,0.0420821699242122,0.02772237734343837,0.004487435181491823,0.022536896689270045,0.006182688472277623,0.031013163143199043,0.02532907857997607,0.016653370562425208,0.03649780614280016,0.016952532907857996,0.005584363781412046,0.019146390107698443,0.0026924611088950936,0.010869565217391304,0.013661747108097328,0.03709613083366574,0.001994415636218588,0.0008974870362983646,0.010370961308336658,0.012365376944555246,0.00987235739928201,0.02642600717989629,0.015855604307937775,0.002792181890706023,0.002094136418029517,0.005584363781412046,0.008775428799361787,0.012963701635420821,0.00997207818109294,0.009274032708416435,0.0035899481451934583,0.006880733944954129,0.026027124052652572,0.00039888312724371757,0.006182688472277623,0.014359792580773833,0.0010969285999202234,0.01994415636218588,0.016852812126047067,0.005185480654168329,0.02512963701635421,0.01824890307140008,0.00658157159952134,0.03659752692461109,0.02143996808934982,0.008675708017550857,0.009473474272038292,0.03779417630634224,0.023534104507379337,0.023035500598324692,0.020542481053051457,0.027323494216194656,0.029517351416035103,0.011467889908256881,0.015057838053450338,0.012365376944555246,0.003789389708815317
FC1,0.013700417536534447,0.018528183716075158,0.013178496868475992,0.017875782881002087,0.015266179540709812,0.048930062630480164,0.014744258872651357,0.014613778705636743,0.017484342379958245,0.020224425887265137,0.010177453027139875,0.018528183716075158,0.0041753653444676405,0.009133611691022964,0.013178496868475992,0.025443632567849688,0.017353862212943633,0.016179540709812108,0.01696242171189979,0.021920668058455117,0.011482254697286013,0.01069937369519833,0.013308977035490605,0.012395615866388309,0.013569937369519834,0.015266179540709812,0.006393528183716075,0.004827766179540709,0.017092901878914404,0.02009394572025052,0.010307933194154488,0.01174321503131524,0.00587160751565762,0.011612734864300627,0.017353862212943633,0.019963465553235908,0.016831941544885178,0.007306889352818371,0.02583507306889353,0.012656576200417536,0.009916492693110648,0.0217901878914405,0.016440501043841337,0.011612734864300627,0.017875782881002087,0.022834029227557413,0.010438413361169102,0.015396659707724426,0.01839770354906054,0.010829853862212944,0.01069937369519833,0.026748434237995826,0.016440501043841337,0.010829853862212944,0.019441544885177454,0.0217901878914405,0.02700939457202505,0.013830897703549061,0.02205114822546973,0.01004697286012526,0.019311064718162838,0.025965553235908143,0.008089770354906054
C3,0.026941066417212348,0.007015902712815715,0.010383536014967259,0.012067352666043031,0.03966323666978484,0.009822263797942002,0.05406922357343311,0.02441534144059869,0.005051449953227315,0.017305893358278764,0.006454630495790458,0.033021515434985965,0.026941066417212348,0.019176800748362956,0.04069223573433115,0.020018709073900843,0.00420954162768943,0.014686623012160898,0.0043966323666978484,0.007951356407857811,0.015434985968194575,0.03068288119738073,0.0005612722170252573,0.0021515434985968193,0.012909260991580917,0.01403180542563143,0.008699719363891488,0.027128157156220765,0.017118802619270346,0.0025257249766136576,0.007670720299345182,0.013470533208606174,0.00804490177736202,0.013564078578110383,0.012722170252572497,0.004490177736202058,0.0005612722170252573,0.009448082319925164,0.027782974742750235,0.003648269410664172,0.008980355472404116,0.015154349859681946,0.00037418147801683815,0.023760523854069224,0.012909260991580917,0.0016838166510757717,0.03021515434985968,0.017960710944808233,0.0024321796071094482,0.03554724041159962,0.02684752104770814,0.007951356407857811,0.010851262862488307,0.03311506080449018,0.021702525724976614,0.029186155285313375,0.01618334892422825,0.020018709073900843,0.024228250701590272,0.01431244153414406,0.00991580916744621,0.011318989710009355,0.00841908325537886
T7,0.02416918429003021,0.01313037415756449,0.011038810132465722,0.010457820125493842,0.034394608412735304,0.012781780153381363,0.032884034394608415,0.053567278642807345,0.0009295840111550081,0.026957936323495236,0.0012781780153381362,0.030560074366720893,0.017081106204973273,0.011271206135254473,0.03032767836393214,0.025795956309551477,0.004415524052986289,0.03404601440855217,0.0026725540320706484,0.017197304206367652,0.006855682082268185,0.023471996281663954,0.0015105740181268882,0.0008133860097606321,0.01022542412270509,0.009412038112944457,0.008714850104578202,0.017081106204973273,0.009179642110155706,0.0027887520334650244,0.005112712061352545,0.008482454101789449,0.010690216128282594,0.01487334417848013,0.009760632117127585,0.01812688821752266,0.006507088078085057,0.010690216128282594,0.03555658842667906,0.0039507320474087846,0.0034859400418312805,0.015919126191029514,0.0023239600278875203,0.01487334417848013,0.010806414129676969,0.010690216128282594,0.024750174297002093,0.008947246107366953,0.012665582151986985,0.026376946316523354,0.013595166163141994,0.01661631419939577,0.006855682082268185,0.027887520334650244,0.025447362305368346,0.035207994422495933,0.01801069021612828,0.03404601440855217,0.03358122240297467,0.006042296072507553,0.025912154310945852,0.011852196142226355,0.005345108064141297
TP9,0.004653813277614208,0.024503751543356444,0.023743945293950044,0.019280083578687435,0.0030392249976256055,0.013201633583436224,0.003799031247032007,0.0007598062494064014,0.053186437458448095,0.007882989837591415,0.030962104663310855,0.003229176559977206,0.01082723905404122,0.018900180453984235,0.002279418748219204,0.01139709374109602,0.02706809763510305,0.003419128122328806,0.03808528825149587,0.015101149206952227,0.018425301548105233,0.007313135150536613,0.03362142653623326,0.03913002184442967,0.01652578592458923,0.024693703105708044,0.02079969607750024,0.0010447335929338018,0.019944914046918037,0.03219678981859626,0.008737771868173616,0.014436318738721626,0.008927723430525216,0.005128692183493209,0.02212935701396144,0.014531294519897426,0.026213315604520847,0.020039889828093835,0.003894007028207807,0.024313799981004844,0.02117959920220344,0.016240858581061828,0.03181688669389306,0.012346851552854022,0.020324817171621237,0.024978630449235446,0.010447335929338018,0.015671003894007027,0.013866464051666826,0.003704055465856207,0.018615253110456833,0.01662076170576503,0.02174945388925824,0.002374394529395004,0.006933232025833413,0.0019944914046918037,0.01652578592458923,0.0008547820305822015,0.0006648304682306011,0.015481052331655427,0.009972457023459018,0.018710228891632635,0.02155950232690664
CP5,0.014130083054686658,0.01704239024916406,0.0050695717829791825,0.005716751159529717,0.025995038291446445,0.016934527019738972,0.02221982526156833,0.02675008089742207,0.008197605436306763,0.05317657210656887,0.0073346996009060516,0.016934527019738972,0.01596375795491317,0.0058246143889548055,0.02232768849099342,0.025132132456045734,0.010786322942508898,0.030417430697875093,0.008844784812857297,0.02124905619674253,0.008844784812857297,0.022543414949843597,0.011541365548484521,0.009060511271707474,0.007981878977456586,0.009491964189407832,0.013590766907561213,0.01822888577284004,0.007226836371480962,0.009815553877683098,0.01057059648365872,0.011325639089634344,0.01801315931398986,0.017150253478589148,0.008305468665731851,0.026210764750296624,0.02103332973789235,0.012619997842735412,0.022974867867543953,0.010894186171933988,0.0026965807356272246,0.009815553877683098,0.011002049401359076,0.011541365548484521,0.014992988890087369,0.023945636932369754,0.01812102254341495,0.0058246143889548055,0.02006256067306655,0.02027828713191673,0.009168374501132564,0.022004098802718152,0.01283572430158559,0.021464782655592707,0.021896235573293066,0.019631107755366195,0.018876065149390574,0.021896235573293066,0.023837773702944667,0.009491964189407832,0.023514184014669398,0.01067845971308381,0.008952648042282386
