,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bankssts-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-lh,0.0,0.0,0.1927247032221594,0.12132843414358395,0.039310344827586205,0.0,0.030344827586206897,0.0,0.0,0.01639344262295082,0.10411531938948558,0.007241379310344828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04980780101752402,0.0,0.0,0.030344827586206897,0.014482758620689656,0.0,0.0,0.0,0.02620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014482758620689656,0.030344827586206897,0.0,0.04016393442622951,0.0,0.018275862068965518,0.0,0.0,0.0,0.0,0.07758620689655173,0.030344827586206897,0.0,0.03114754098360656,0.0,0.030344827586206897,0.0,0.030344827586206897,0.0,0.0,0.010655737704918032,0.0,0.004827586206896552,0.0,0.04918032786885246,0.0
caudalanteriorcingulate-rh,0.0,0.0,0.1286349887008209,0.170409739942724,0.0,0.0,0.04613789528252981,0.0,0.0,0.0,0.08987049983139309,0.0,0.0,0.0,0.0,0.0005184033177812338,0.0,0.008553654743390357,0.0,0.06386376562130386,0.0,0.0,0.026179367547952307,0.012960082944530845,0.0,0.0,0.0,0.04121306376360809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01088646967340591,0.04432348367029549,0.0,0.02233009708737864,0.0,0.01581130119232763,0.0,0.0,0.0,0.0,0.08203304695324808,0.03188180404354588,0.0,0.036893203883495145,0.0,0.03421461897356143,0.0,0.04406428201140487,0.0,0.0,0.031067961165048542,0.0,0.02514256091238984,0.0,0.03300970873786408,0.0
caudalmiddlefrontal-lh,0.0,0.0,0.061878453038674036,0.0,0.18129914998360647,0.014917127071823204,0.04059036256600228,0.0,0.0,0.0,0.017271922054915855,0.03454384410983171,0.0,0.04033149171270718,0.0,0.058011049723756904,0.0,0.058011049723756904,0.0,0.0038674033149171273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016574585635359115,0.027015057573073518,0.034986713906111605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031443755535872454,0.0,0.013728963684676704,0.03100088573959256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03454384410983171,0.011957484499557131,0.0,0.0,0.01815766164747564,0.06867956290463864,0.02612931798051373,0.037643932683790966,0.025243578387953942,0.007528786536758193,0.0,0.024861878453038673,0.0,0.0,0.0,0.06472456434824736,0.0,0.015057573073516387,0.0
caudalmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.014269406392694063,0.39308376633601005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03367579908675799,0.0,0.0747716894977169,0.0,0.0182648401826484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025684931506849314,0.0,0.01997716894977169,0.0,0.0,0.0,0.05650684931506849,0.0,0.0,0.19310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.08504566210045662,0.0,0.0,0.0,0.0,0.0,0.08561643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuneus-lh,0.0,0.0,0.019882512426570267,0.03976502485314053,0.03783487186108063,0.0,0.07940739784390936,0.0,0.0,0.0,0.050705939854477716,0.02857142857142857,0.0,0.0018075011296882061,0.0,0.011522819701762313,0.0,0.01852688657930411,0.0,0.03727971079981925,0.0,0.0,0.02236782647989155,0.010845006778129237,0.0,0.0,0.0,0.0447356529597831,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.02108843537414966,0.02857142857142857,0.0,0.009489380930863081,0.03818346136466335,0.0,0.0,0.0,0.01333032083145052,0.0,0.02857142857142857,0.018367346938775512,0.0,0.019430637144148215,0.05522961104911915,0.029475179136272674,0.02857142857142857,0.02857142857142857,0.057943321928861924,0.011564625850340135,0.037957523723452326,0.0,0.0,0.0,0.0,0.061558324188238325,0.0,0.02312925170068027,0.0
cuneus-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05026455026455026,0.03571428571428571,0.0,0.0,0.0,0.051587301587301584,0.0,0.0,0.0,0.01455026455026455,0.0,0.0,0.0,0.0026455026455026454,0.051587301587301584,0.026455026455026454,0.0,0.0,0.0,0.051587301587301584,0.02513227513227513,0.0,0.0,0.0,0.0,0.0,0.0013227513227513227,0.051587301587301584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03439153439153439,0.0,0.051587301587301584,0.0,0.0,0.0,0.0,0.0,0.0,0.051587301587301584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entorhinal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007822277847309137,0.13102097945497237,0.0,0.0,0.0,0.06735880406481054,0.016270337922403004,0.0,0.0,0.043256785106100884,0.0,0.10128598012730038,0.0,0.0344180225281602,0.041927409261576974,0.024405506883604506,0.0,0.0,0.014392991239048811,0.07405410971076731,0.039737171464330416,0.0,0.0,0.0,0.0,0.059030634649435004,0.062092077907301486,0.0785001725485181,0.025969962453066334,0.0,0.0,0.0,0.0,0.0,0.023153942428035045,0.03128911138923655,0.00344180225281602,0.017521902377972465,0.0,0.03193087903831705,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.028174305033809167,0.0,0.0,0.0,0.0,0.0,0.02779864763335838,0.0,0.0,0.0,0.004507888805409466,0.0
entorhinal-rh,0.0,0.0,0.04700854700854701,0.0,0.0,0.0,0.0,0.0,0.0,0.13675213675213677,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11752136752136752,0.0
