,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,-0.08374384236453201,-0.07389162561576355,-0.07635467980295567,0.0,0.0,0.0,-0.0812807881773399,-0.022167487684729065,-0.0812807881773399,-0.07881773399014778,-0.06157635467980296,-0.054187192118226604,-0.08620689655172414,-0.03694581280788178,-0.07635467980295567,-0.03201970443349754,-0.07635467980295567,0.0,-0.07881773399014778
caudalmiddlefrontal-rh,-0.06342494714587738,-0.03162956514529702,0.001077809559341704,0.0222194586079675,0.0570409982174688,0.029681217095717777,-0.0028188865398167673,0.04870870123948099,-0.06342494714587738,-0.03846951042573477,0.004186875595904319,0.012311901504787962,-0.008166480122704468,-0.0038137876715168134,-0.017079136094183968,0.03312191684284708,-0.009617377606433691,0.031132114579447007,-0.0010363553455208716
inferiorparietal-rh,-0.07568807339449542,-0.0031139087926069786,-0.03475524007232304,0.06386861313868614,0.058394160583941604,0.06569343065693431,-0.009057121810754708,0.04505122882207192,-0.07339449541284404,-0.045553472175718215,0.001054711042657197,0.009760262505859506,-0.019118730328801986,0.031289760932163665,-0.021362083975088736,0.028577646822473712,-0.04799772316346348,0.06569343065693431,-0.039342396035625796
parsopercularis-lh,0.0,-0.07383296497220548,0.06329113924050633,-0.20337552742616033,0.05786618444846293,-0.08864777978702029,0.06148282097649186,0.06690777576853527,0.0,0.02531645569620253,0.05786618444846293,0.059674502712477394,0.05605786618444846,-0.13490054249547923,0.04701627486437613,0.059674502712477394,0.05244122965641953,-0.17012926126850178,0.06329113924050633
parstriangularis-rh,0.0,0.059130434782608696,0.059130434782608696,0.059130434782608696,-0.10292190397692148,0.06086956521739131,0.059130434782608696,-0.05761384710488358,-0.09004739336492891,0.02434782608695652,-0.07657119307644755,0.057391304347826085,-0.011959612610756232,-0.027438697712754992,-0.10170203997527302,-0.08478879043890378,0.050434782608695654,0.06086956521739131,0.06260869565217392
postcentral-lh,0.0,-0.10226851508636667,0.0627177700348432,-0.16068648528430574,0.05749128919860627,-0.14482170657572838,0.06097560975609756,0.06794425087108014,0.0,0.024390243902439025,0.05749128919860627,0.05749128919860627,0.05574912891986063,-0.10401067536511231,0.04529616724738676,0.06097560975609756,0.050522648083623695,-0.1519756838905775,0.0627177700348432
postcentral-rh,-0.0784313725490196,-0.006621709457263564,-0.006621709457263564,0.06445672191528545,0.058931860036832415,0.06445672191528545,-0.05748293792655183,0.042397898385873684,-0.07598039215686274,-0.050197703390748555,-0.0023426497670891513,0.00685191203553244,-0.023792113530495075,0.02769201603293251,-0.0280982558769364,0.0270691149387932,-0.01767143321416964,0.06445672191528545,-0.009072689849420432
precentral-lh,-0.029411764705882353,0.038532486165197784,0.03330600532896085,0.0627177700348432,-0.024208057206622488,0.06794425087108014,0.03156384505021521,-0.03663091252761268,-0.0915032679738562,-0.005021520803443327,-0.053619821912504834,0.02807952449272392,-0.02268224362915898,-0.02530117738152171,-0.052743048438887746,-0.04686752749880441,0.021110883377741342,0.07142857142857142,0.03330600532896085
precentral-rh,-0.06043956043956044,-0.054945054945054944,-0.054945054945054944,0.0,-0.0347985347985348,0.0,-0.06043956043956044,-0.05128205128205128,-0.09157509157509157,-0.05860805860805861,-0.08058608058608059,-0.040293040293040296,-0.08791208791208792,-0.06227106227106227,-0.09157509157509157,-0.05860805860805861,-0.054945054945054944,0.0,-0.056776556776556776
rostralmiddlefrontal-lh,-0.08205128205128205,-0.015287244401168451,-0.015287244401168451,0.05907172995780591,0.05907172995780591,0.05907172995780591,-0.022979552093476144,0.03599480688088283,-0.07948717948717948,-0.024634858812073994,-0.0050308341447581895,0.0026614735475494963,-0.022979552093476144,0.020610191496267444,-0.020415449529373575,0.025738396624472575,-0.015287244401168451,0.05907172995780591,-0.01785134696527102
