subject,session,condition,sigma_ratio,sigma_eig,ci_low,ci_high,ci_method,state,window
S38,Sess01,MOTOR_EXECUTION-LEFT,0.9763928133499844,0.9999999999999989,0.9655727324254281,0.9871576731807581,bootstrap,critical,fullwin_beta
S38,Sess01,MOTOR_EXECUTION-RIGHT,0.9792833777366919,1.0000000000000007,0.967837587138826,0.9896719621850264,bootstrap,critical,fullwin_beta
S38,Sess01,MOTOR_IMAGERY-LEFT,0.9809233444416479,0.9999999999999996,0.9715148838387613,0.9892961845465493,bootstrap,critical,fullwin_beta
S38,Sess01,MOTOR_IMAGERY-RIGHT,0.9834953596878551,0.9999999999999986,0.9743528335491765,0.9940993274928811,bootstrap,critical,fullwin_beta
S38,Sess01,MOTOR_EXECUTION,0.9778380955433381,0.9999999999999998,0.966705159782127,0.9884148176828922,bootstrap,critical,fullwin_beta
S38,Sess01,MOTOR_IMAGERY,0.9822093520647515,0.9999999999999991,0.9729338586939689,0.9916977560197152,bootstrap,critical,fullwin_beta
S38,Sess01,LEFT,0.9786580788958161,0.9999999999999992,0.9685438081320947,0.9882269288636537,bootstrap,critical,fullwin_beta
S38,Sess01,RIGHT,0.9813893687122734,0.9999999999999996,0.9710952103440011,0.9918856448389537,bootstrap,critical,fullwin_beta
S38,Sess01,LEFT_vs_RIGHT,-0.0027312898164573163,0.0,-0.023341836706858965,0.01713171851965256,bootstrap,delta,fullwin_beta
S38,Sess01,IMAGERY_vs_EXECUTION,0.004371256521413347,0.0,-0.015480958988923321,0.024992596237588205,bootstrap,delta,fullwin_beta
S38,Sess01,ME_LEFT_vs_ME_RIGHT,-0.0028905643867075392,0.0,-0.02409922975959833,0.01932008604193214,bootstrap,delta,fullwin_beta
S38,Sess01,MI_LEFT_vs_MI_RIGHT,-0.0025720152462072043,0.0,-0.022584443654119823,0.014943350997372873,bootstrap,delta,fullwin_beta
