,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.11564625850340136,0.013605442176870748,0.0,0.0,0.0,0.0,0.034013605442176874,0.047619047619047616,0.06802721088435375,0.07482993197278912,0.047619047619047616,0.0,0.034013605442176874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,0.027210884353741496,0.0,0.0,0.08843537414965986,0.0,0.0,0.0,0.0,0.0,0.0,0.08843537414965986,0.0,0.0,0.0,0.006802721088435374,0.04081632653061224,0.0,0.0,0.0,0.027210884353741496,0.0,0.0,0.06802721088435375,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.11564625850340136,0.0,0.013605442176870748,0.0,0.0,0.027210884353741496,0.0,0.006802721088435374,0.0,0.0,0.0
bankssts-rh,0.04040404040404041,0.08080808080808081,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0707070707070707,0.0,0.0,0.050505050505050504,0.0,0.0,0.0,0.0,0.050505050505050504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04040404040404041,0.0,0.08080808080808081,0.0,0.010101010101010102,0.050505050505050504,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.010101010101010102,0.0,0.020202020202020204,0.0,0.0,0.0,0.050505050505050504,0.0,0.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.0,0.0,0.050505050505050504,0.0,0.0,0.030303030303030304,0.06060606060606061,0.08080808080808081,0.050505050505050504,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0
caudalanteriorcingulate-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuneus-lh,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.09210526315789473,0.07894736842105263,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,0.02631578947368421,0.0,0.05263157894736842,0.09210526315789473,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.039473684210526314,0.0,0.05263157894736842,0.0,0.0,0.0
cuneus-rh,0.1,0.014285714285714285,0.0,0.0,0.0,0.0,0.02857142857142857,0.08571428571428572,0.07142857142857142,0.04285714285714286,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.1,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.1,0.0,0.014285714285714285,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0
entorhinal-lh,0.09271523178807947,0.033112582781456956,0.0,0.0,0.0,0.0,0.006622516556291391,0.046357615894039736,0.10596026490066225,0.026490066225165563,0.039735099337748346,0.019867549668874173,0.006622516556291391,0.0,0.0,0.0,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013245033112582781,0.0,0.052980132450331126,0.0,0.0,0.11258278145695365,0.0,0.0,0.019867549668874173,0.019867549668874173,0.0,0.0,0.052980132450331126,0.0,0.0,0.0,0.0,0.013245033112582781,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.06622516556291391,0.0,0.0,0.0,0.052980132450331126,0.0,0.0,0.09271523178807947,0.019867549668874173,0.033112582781456956,0.013245033112582781,0.0,0.006622516556291391,0.0,0.0,0.0,0.019867549668874173,0.0
entorhinal-rh,0.050724637681159424,0.0,0.0,0.0,0.0,0.0,0.050724637681159424,0.007246376811594203,0.0,0.13043478260869565,0.050724637681159424,0.0,0.050724637681159424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.036231884057971016,0.0,0.0,0.0,0.0,0.0,0.050724637681159424,0.021739130434782608,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.057971014492753624,0.0,0.036231884057971016,0.0,0.043478260869565216,0.06521739130434782,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.050724637681159424,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.07971014492753623,0.0,0.0,0.0
frontalpole-lh,0.0660377358490566,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,0.0,0.04716981132075472,0.0660377358490566,0.09433962264150944,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.03773584905660377,0.0,0.02830188679245283,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.05660377358490566,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.05660377358490566,0.0,0.018867924528301886,0.0,0.03773584905660377,0.0660377358490566,0.0,0.0,0.0,0.05660377358490566,0.0,0.0,0.04716981132075472,0.0,0.0,0.0,0.0,0.0,0.0,0.07547169811320754,0.0,0.0,0.0,0.0,0.02830188679245283,0.0,0.03773584905660377,0.0,0.0,0.0
frontalpole-rh,0.010752688172043012,0.07526881720430108,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.021505376344086023,0.07526881720430108,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043010752688172046,0.0,0.06451612903225806,0.0,0.021505376344086023,0.043010752688172046,0.0,0.0,0.07526881720430108,0.021505376344086023,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.053763440860215055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021505376344086023,0.0,0.0,0.010752688172043012,0.07526881720430108,0.07526881720430108,0.06451612903225806,0.0,0.0,0.0,0.010752688172043012,0.0,0.07526881720430108,0.0
fusiform-lh,0.036585365853658534,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.012195121951219513,0.08536585365853659,0.08536585365853659,0.012195121951219513,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.04878048780487805,0.0,0.036585365853658534,0.0,0.0,0.0,0.012195121951219513,0.0,0.012195121951219513,0.024390243902439025,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.06097560975609756,0.0,0.024390243902439025,0.0,0.04878048780487805,0.08536585365853659,0.0,0.0,0.0,0.07317073170731707,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.036585365853658534,0.0,0.0,0.0,0.0,0.036585365853658534,0.0,0.04878048780487805,0.0,0.0,0.0
