,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,-1.0,0.09854369130132962,0.061980493220409695,0.033374111734066764,0.05244503272496206,0.39527848244855224,-0.6131769870673355,0.0,0.061980493220409695,0.01430319074317147,0.11832341212036113,0.0,0.0,0.253116419089572,0.047677302477238226,0.06674822346813353,0.0,0.07685810929463223,0.03814184198179058,0.0,0.14273648869003128,0.19662579081877887,0.0,0.061980493220409695,0.0,-0.07193053895478985,0.0,0.06674822346813353,0.02860638148634294,-0.27341640067718864,0.06674822346813353,0.06674822346813353,0.24156226385928772,0.14360633276276574,-0.11062254482507777,0.047677302477238226,-0.9496326431822593,0.06674822346813353,0.02860638148634294,0.02860638148634294,0.05721276297268588,0.10012233520220028,0.03814184198179058,-0.09343081527433525,0.12396098644081939,0.0,0.053466510813657206,0.14303190743171468,-0.021512407040822253,-0.2267733759835222,0.047677302477238226,0.2911105517005208
S1_D3 hbo,0.30387320859991396,0.2924148727022137,0.10160126924996961,-0.1522444276688802,-0.12193932994225559,0.31942550587659946,0.4530265806356234,-0.1385256683754297,-0.04617658562569414,-0.1522444276688802,-0.07679125155490253,-0.1522444276688802,-0.1522444276688802,0.13759932200907224,0.006547767193315079,0.12618242624202494,-0.1522444276688802,-0.1522444276688802,-0.1522444276688802,-0.1522444276688802,0.0480156575270767,-0.05748927626993149,0.0,-0.1522444276688802,-0.1522444276688802,-0.1522444276688802,-0.1522444276688802,0.04704337844772538,-0.07417701245877296,0.20337532075254416,-0.03091437853756198,0.010119359555568686,0.11563717491497781,-0.005583215991520539,0.2143841268209281,0.0849247506060061,0.23025357046917133,0.14634497813070108,-0.20337251338540152,-0.1522444276688802,-0.1522444276688802,-0.0964819882330893,-0.1522444276688802,0.2768354384263862,0.0015857318577884945,-0.20032980567537145,0.12003630200432654,0.03946710401606923,-0.08365063120162776,0.06986996012245711,-0.08037208610365297,0.15090635222795531
S2_D1 hbo,0.07504968319358206,0.181636163851998,0.6438809754540985,-0.16896303434761498,0.03528286970842974,0.45833277484879154,0.00531238402870498,0.01579503421337281,-0.040958078297748855,-0.11899172755175286,-0.11899172755175286,-0.038441409318691805,-0.14672678098017047,0.0038727827637729363,0.06523252393612924,0.20112617383700246,-0.15906322830494427,-0.16623510841581104,-0.026962058628294486,-0.12386880941066301,-0.05353370334954012,-0.12685250062848935,-0.130034215936445,-0.005595795246402416,-0.0872906954688369,-0.08703303053546252,-0.15917715056082019,0.15565662708494232,-0.12363896016468444,0.29928606943400615,0.22167811902616244,0.04292512675445326,0.22945903416166583,-0.017728414452116308,0.08255244145512738,0.09578713905116587,-0.06752470309982192,0.1911815846184606,0.0321641499401066,-0.04847742411829921,-0.1442882400507154,-0.102679803335721,-0.08703303053546252,-0.14492312644654987,-0.07635995485007312,-0.04044308794244173,-0.029641062578081714,-0.02908094953546179,-0.14813466217612806,-0.1713698552080956,-0.007752380007195575,-0.03841694832768345
S2_D2 hbo,0.15086000506818018,-0.01625062395762494,0.025156247045488318,0.24709898650004097,-0.052213484915162665,0.11244707845610934,-0.06863945311183069,-0.1714829489712124,-0.15633367411110324,0.16354571782944707,-0.05872838799329862,0.0681531642381119,0.06781941251615747,-0.06189673971002532,-0.12023441569032517,-0.12583683321881203,-0.1996661216722109,-0.128870566118828,-0.041866890676682075,0.0961525019892199,-0.10288244263518448,-0.06505087023050868,0.000419389431424513,0.20677900837226107,0.19176961595277786,0.27917319600618967,0.061267341308748384,-0.14810832722298956,0.13751361897202458,0.07434697030543178,-0.055004109536156,-0.11515732899154782,0.0076009542202985355,0.001198799784953386,-0.03178705353767367,-0.12996426623866716,-0.036097479774248487,-0.10943629248912315,-0.032732615531978496,0.06936726197841847,0.17421432312758806,0.17420929452961192,0.19141460076413525,-0.09712245935695707,0.009233504478670803,-0.07431976419192304,-0.09716140613275981,0.026126299593413484,0.08492734037891675,-0.14379025200873816,-0.08318728223715446,-0.09697254258489311
S2_D4 hbo,0.09160764201827576,0.015939329301031115,0.14859397901074967,-0.15218981245527327,0.3681127977812695,0.1264271927057368,-0.035676745891387834,0.265967519138122,-0.09336017988411481,-0.14484024897616088,-0.006961580496323192,-0.09842392042870633,-0.1703732123470266,-0.036178292270358174,-0.12086335206490112,0.02309088375232184,0.00045504387950837534,-0.05513825895009545,-0.07618563502977825,-0.1421610597727513,-0.0340100166112082,-0.05666251554022047,-0.10602136927838496,-0.037616503640986204,-0.1161879776413356,-0.05375697917928401,-0.18042979101983975,0.13727785483806862,-0.039637377641988374,0.18781828839250408,-0.01148087704829555,-0.03547746259253879,0.3857258861122526,0.23379817303556724,0.20481085014478165,0.34916685293876215,-0.03966334069386193,-0.08237456143753771,0.0037665354221990853,-0.11216669376228995,-0.1319755382667924,0.026911021394100804,-0.09042104189504929,-0.10954501947788049,0.05814136508948104,-0.0647958745286119,-0.004097149990387414,0.10308088049031579,-0.12980289559021588,-0.1552397422660897,-0.0406961223805115,0.033719053605139285
S3_D1 hbo,0.4134126436459944,0.2732258277748098,0.19545102535844777,-0.13206543689453304,-0.07378020111334885,0.5552105199258178,0.16712605175028014,-0.10665193044530191,-0.06585634985788301,-0.06383017881508128,0.02778261692909766,-0.045196924595325226,-0.15100264434674185,0.030293403868379143,-0.030631971905750392,0.027630336333036996,-0.16391605137397763,-0.09519910625956678,0.031850614479444594,-0.08070879392022362,-0.02648216114515591,-0.047345579811609244,-0.15745934786035976,0.022317535825244147,-0.03874022108170734,0.017182568337595117,-0.16391605137397763,-0.0009787965889040482,-0.13661552467731083,0.23427425471965652,0.034252047045938414,-0.0567561742923274,0.11998655329866086,-0.02459514089772023,0.039416506976331554,-0.07833028889612663,-0.02886430220807956,-0.005218465456519255,0.0273005266966668,-0.07432237208288434,-0.09772332697937712,-0.1015365584410573,-0.005567870576293883,0.01360272350491708,-0.09566473463231065,0.0,0.049693006851976924,-0.0404788015341058,-0.08721285156772332,-0.03471643131578432,-0.04548249646628974,0.07683832409106245
S3_D3 hbo,0.4452123499596352,0.5174851601069573,-0.017131522543055024,-0.16876251511784324,-0.12485589773928506,0.26636571415666704,0.5175908368242038,-0.18017880290522678,-0.0985346180704853,-0.16330255139344244,0.02749195810790674,-0.16925887545642515,-0.18067516324380867,0.3872429521128675,-0.09175575401785259,-0.04475752081612716,-0.18613512696820947,-0.1657843530863519,-0.0977829867006327,-0.1419590568344211,-0.026121363108467688,-0.06646425049849786,-0.08140309552743029,-0.13898089480292974,-0.1662807134249338,-0.15734622733045975,-0.1955659734012654,-0.03190887890883592,-0.11217743651950757,0.23062639735387153,0.056556715150416714,0.04321171290454357,0.1390298446243383,-0.02300550111207942,0.15756718773924783,-0.04013427880533585,0.11357044779230192,0.03234851235157987,0.03905646778441515,-0.15536078597613218,-0.1657843530863519,-0.0785242055636553,-0.1305427690470376,0.20453294021835638,-0.014536267058469688,-0.03127070133065919,0.07302581394207397,-0.0020705316980844457,-0.06280399329205202,0.06986740677380726,0.05119602349373228,0.13917852398842967
S3_D4 hbo,0.0,0.024621799176620007,0.1782165866291067,-0.19149140625937347,0.3798522474070096,0.031790640256191056,-0.08234073535448379,0.41870892244074776,-0.12244641532098349,-0.13860583396508788,-0.033713473012320194,-0.10409087038119207,-0.164135491079463,-0.08267007101945467,-0.08816210623297462,0.15812214263328833,0.005434327500463541,-0.06334746629875988,-0.08138527100285076,-0.13706657624565804,-0.08375223760287813,-0.07265336899691088,-0.08017534894839178,-0.08403049851264305,-0.1175521840066136,-0.1189549468186673,-0.17516822115962594,0.11083408730060895,0.06242866022087992,0.12770258231253329,-0.02300546429372768,-0.014293623883703912,0.38938660539973013,0.2207427674961365,0.239398847068642,0.38836645220917065,-0.05010384987711714,-0.10154432404048368,-0.014591086622722954,-0.12537969641612642,-0.16933178651053674,0.08588401862397872,-0.11193239332205814,-0.11197472864092348,0.14847778131190845,-0.036862252109924415,-0.0019987639575191965,0.14209536703331466,-0.1633165216352061,-0.14306783058963546,-0.049175260626118183,0.02625626972380577
S3_D5 hbo,0.14808910701590747,0.142049791351876,0.28031629383910667,-0.18353359511950687,0.08498961646673162,0.2680049841393412,0.07908716579817844,0.11049267884811294,0.21688744480915986,-0.1255512952820987,-0.14500125306783734,-0.07900301391840253,-0.14809738037487416,0.11179687539685,0.08663908786301373,0.1440424889544352,-0.16086325205444052,-0.14476439861970397,-0.05751591877336906,-0.08559885086226299,0.043630779816445926,-0.11777221041820536,0.0013840935581872216,-0.06785052603124435,-0.05218393590404594,-0.087838961294875,-0.16036086218042242,0.2145527817026423,-0.17058720662667584,0.2958182047259196,0.10950476099358993,0.08180949486770872,0.23454121696627298,0.07211532438775359,0.11272097019648676,0.20712945127431853,-0.05518566812496709,0.031238785168281075,0.042658857122591924,-0.09932711117439785,-0.150655030204019,-0.14489724512654126,-0.09619269003442926,-0.11559064384951985,-0.12500336253681613,-0.06711348793815067,-0.13215154468407478,0.00850784959802028,-0.12612806659292247,-0.15228653659225905,0.03607893654550555,-0.11303299402037506
S4_D2 hbo,0.08620571718181723,-0.019623829228518068,-0.005102706382127935,0.13831342082494574,-0.09490036675718902,0.060555443472711995,-0.06789874022189618,-0.1395457080238479,-0.12491811950325003,0.27512383664417417,-0.07896543618205833,-0.010962342502620768,0.028698788260797657,-0.05592033636795455,-0.06824471764449437,-0.12033283111109654,-0.19072211359667052,-0.12466016362396132,0.14219606842417137,0.058557898603880235,-0.07661838014079435,0.016722496623522334,0.026975453909267005,0.3069141727059718,0.1319753375049022,0.14481327252385262,0.042321001377806096,-0.12330881079777374,0.07715152405973134,0.03161755123747309,-0.03719289687820261,-0.08200639076190408,-0.029843792188069197,-0.0272787648171587,-0.001450666302497872,-0.09301391976984688,-0.008977595798186836,-0.07644055533523875,-0.03462786950729208,0.11620932750653215,0.1370685336729659,0.09993228375636706,0.15207257395173995,-0.05848536373886508,0.004323468265301021,-0.08275381028620478,-0.09129562539954733,-0.0033467854783529884,0.10764268402411202,-0.12074378342686322,-0.07898075433707169,-0.05722767842248739
