,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P7,O1,Oz,O2,P4,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,AF8,AF4,F2,FCz
Fp1,0.03867403314917127,0.04419889502762431,0.04419889502762431,0.0,0.022099447513812154,0.0,0.04419889502762431,0.0,0.04419889502762431,0.0,0.04419889502762431,0.04419889502762431,0.0,0.0,0.0,0.0,0.0,0.0,0.04419889502762431,0.0,0.04419889502762431,0.0,0.04419889502762431,0.0,0.016574585635359115,0.0,0.04419889502762431,0.0,0.0,0.0,0.0,0.0,0.04419889502762431,0.04419889502762431,0.04419889502762431,0.0,0.04419889502762431,0.0,0.0,0.0,0.0,0.0,0.0,0.04419889502762431,0.0,0.0,0.0,0.04419889502762431,0.0,0.04419889502762431,0.0,0.04419889502762431,0.03867403314917127,0.0,0.04419889502762431,0.04419889502762431,0.0,0.0,0.0
Fz,0.009122006841505131,0.04218928164196123,0.043329532497149374,0.0,0.0330672748004561,0.0,0.03876852907639681,0.014823261117445839,0.04104903078677309,0.0,0.043329532497149374,0.04104903078677309,0.0,0.0,0.0,0.0,0.0,0.0,0.037628278221208664,0.0,0.03192702394526796,0.0,0.04104903078677309,0.0,0.036488027366020526,0.0,0.03534777651083238,0.0,0.0,0.0,0.0,0.0,0.043329532497149374,0.039908779931584946,0.04104903078677309,0.0,0.043329532497149374,0.0,0.0,0.013683010262257697,0.0,0.0,0.0,0.03420752565564424,0.0,0.018244013683010263,0.028506271379703536,0.043329532497149374,0.0,0.037628278221208664,0.0,0.043329532497149374,0.04104903078677309,0.019384264538198404,0.03078677309007982,0.0330672748004561,0.0,0.0,0.0
F3,0.0069504778453518675,0.03301476976542137,0.059079061685490875,0.0,0.02519548218940052,0.0,0.035621198957428324,0.011294526498696786,0.03301476976542137,0.0,0.060816681146828845,0.051259774109470024,0.0,0.0,0.0,0.0,0.0,0.0,0.030408340573414423,0.0,0.02432667245873154,0.0,0.03214596003475239,0.0,0.028670721112076455,0.0,0.028670721112076455,0.0,0.0,0.0,0.0,0.0,0.059079061685490875,0.044309296264118156,0.05039096437880104,0.0,0.059079061685490875,0.0,0.0,0.010425716768027803,0.0,0.0,0.0,0.02780191138140747,0.0,0.013900955690703735,0.021720243266724587,0.05647263249348393,0.0,0.030408340573414423,0.0,0.05994787141615986,0.03909643788010426,0.014769765421372719,0.02519548218940052,0.02693310165073849,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.002805049088359046,0.04067321178120617,0.04067321178120617,0.0,0.03927068723702665,0.0,0.03927068723702665,0.0182328190743338,0.04067321178120617,0.0,0.04067321178120617,0.04067321178120617,0.0,0.0,0.0,0.0,0.0,0.0,0.037868162692847124,0.0,0.030855539971949508,0.0,0.04067321178120617,0.0,0.04067321178120617,0.0,0.03506311360448808,0.0,0.0,0.0,0.0,0.0,0.04067321178120617,0.04067321178120617,0.04067321178120617,0.0,0.04067321178120617,0.0,0.0,0.014025245441795231,0.0,0.0,0.0,0.033660589060308554,0.0,0.02244039270687237,0.033660589060308554,0.04067321178120617,0.0,0.037868162692847124,0.0,0.04067321178120617,0.04067321178120617,0.023842917251051893,0.029453015427769985,0.03225806451612903,0.0,0.0,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.08460471567267684,0.0,0.0,0.0,0.0638002773925104,0.0,0.0,0.052704576976421634,0.06934812760055478,0.0,0.0,0.044382801664355064,0.0,0.0,0.05547850208044383,0.0,0.056865464632454926,0.0,0.04022191400832178,0.0,0.0,0.0,0.044382801664355064,0.047156726768377254,0.0,0.04854368932038835,0.038834951456310676,0.0,0.0,0.0,0.05409153952843273,0.0,0.049930651872399444,0.0638002773925104,0.0,0.0,0.020804438280166437,0.05131761442441054,0.0,0.011095700416088766,0.0,0.0,0.0,0.0,0.0,0.05131761442441054,0.0,0.0,0.0,0.0,0.0,0.0,0.05131761442441054,0.0
FC1,0.008238928939237899,0.037075180226570546,0.044284243048403706,0.0,0.029866117404737384,0.0,0.044284243048403706,0.013388259526261586,0.04016477857878476,0.0,0.046343975283213185,0.046343975283213185,0.0,0.0,0.0,0.0,0.0,0.0,0.03913491246138002,0.0,0.028836251287332648,0.0,0.037075180226570546,0.0,0.029866117404737384,0.0,0.037075180226570546,0.0,0.0,0.0,0.0,0.0,0.046343975283213185,0.046343975283213185,0.046343975283213185,0.0,0.046343975283213185,0.0,0.0,0.010298661174047374,0.0,0.0,0.0,0.032955715756951595,0.0,0.016477857878475798,0.024716786817713696,0.046343975283213185,0.0,0.03604531410916581,0.0,0.046343975283213185,0.03398558187435633,0.017507723995880537,0.032955715756951595,0.035015447991761074,0.0,0.0,0.0
C3,0.0,0.03757225433526012,0.03757225433526012,0.0,0.03757225433526012,0.0,0.03757225433526012,0.03468208092485549,0.03757225433526012,0.0,0.03757225433526012,0.03757225433526012,0.0,0.0,0.0,0.0,0.0,0.0,0.03757225433526012,0.0,0.031791907514450865,0.0,0.03757225433526012,0.0,0.03757225433526012,0.0,0.03757225433526012,0.0,0.0,0.0,0.0,0.0,0.03757225433526012,0.03757225433526012,0.03757225433526012,0.0,0.03757225433526012,0.0,0.0,0.014450867052023121,0.0,0.0,0.0,0.03757225433526012,0.0,0.031791907514450865,0.03757225433526012,0.03757225433526012,0.0,0.03757225433526012,0.0,0.03757225433526012,0.03757225433526012,0.03468208092485549,0.028901734104046242,0.03468208092485549,0.0,0.0,0.0
T7,0.008695652173913044,0.041304347826086954,0.043478260869565216,0.0,0.03152173913043478,0.0,0.04021739130434782,0.014130434782608696,0.042391304347826085,0.0,0.043478260869565216,0.042391304347826085,0.0,0.0,0.0,0.0,0.0,0.0,0.0391304347826087,0.0,0.030434782608695653,0.0,0.04021739130434782,0.0,0.03369565217391304,0.0,0.03695652173913044,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.041304347826086954,0.042391304347826085,0.0,0.043478260869565216,0.0,0.0,0.013043478260869565,0.0,0.0,0.0,0.034782608695652174,0.0,0.017391304347826087,0.02717391304347826,0.043478260869565216,0.0,0.03804347826086957,0.0,0.043478260869565216,0.03804347826086957,0.01847826086956522,0.03260869565217391,0.034782608695652174,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.06340057636887608,0.0,0.0,0.0,0.06340057636887608,0.0,0.0,0.05475504322766571,0.06628242074927954,0.0,0.0,0.04610951008645533,0.0,0.0,0.05763688760806916,0.0,0.059077809798270896,0.0,0.040345821325648415,0.0,0.0,0.0,0.04610951008645533,0.04755043227665706,0.0,0.05043227665706052,0.040345821325648415,0.0,0.0,0.0,0.056195965417867436,0.0,0.05187319884726225,0.06484149855907781,0.0,0.0,0.021613832853025938,0.053314121037463975,0.0,0.011527377521613832,0.0,0.0,0.0,0.0,0.0,0.053314121037463975,0.0,0.0,0.0,0.0,0.0,0.0,0.05187319884726225,0.0
