,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bankssts-rh,0.0,0.1423611111111111,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.027777777777777776,0.1284722222222222,0.0,0.0,0.013888888888888888,0.0763888888888889,0.0,0.0,0.017361111111111112,0.10416666666666667,0.04861111111111111,0.06944444444444445,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.09375,0.0,0.010416666666666666,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.006944444444444444,0.006944444444444444,0.0,0.0,0.09027777777777778
caudalanteriorcingulate-lh,0.0,0.0,0.5151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0
caudalanteriorcingulate-rh,0.0,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuneus-lh,0.0,0.0759493670886076,0.0,0.0,0.0,0.0,0.1518987341772152,0.012658227848101266,0.012658227848101266,0.0379746835443038,0.0759493670886076,0.0,0.06329113924050633,0.0,0.0,0.0,0.0759493670886076,0.012658227848101266,0.13924050632911392,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.0,0.0759493670886076,0.0,0.0,0.0,0.0,0.0,0.05063291139240506,0.0379746835443038,0.012658227848101266,0.0,0.06329113924050633
cuneus-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.11650485436893204,0.06796116504854369,0.04854368932038835,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.07766990291262135,0.08737864077669903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06796116504854369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11650485436893204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.02912621359223301,0.07766990291262135,0.0,0.0,0.0970873786407767,0.07766990291262135,0.10679611650485436,0.0,0.0
entorhinal-lh,0.0,0.010178117048346057,0.0,0.0,0.0,0.0,0.002544529262086514,0.027989821882951654,0.17302798982188294,0.02544529262086514,0.017811704834605598,0.0,0.0,0.022900763358778626,0.0,0.0,0.027989821882951654,0.05597964376590331,0.06870229007633588,0.0,0.09669211195928754,0.0,0.0,0.0,0.0,0.0,0.035623409669211195,0.0,0.007633587786259542,0.0,0.010178117048346057,0.0,0.022900763358778626,0.0,0.015267175572519083,0.010178117048346057,0.0,0.0,0.017811704834605598,0.0,0.04580152671755725,0.0,0.0,0.005089058524173028,0.0,0.0,0.0,0.0,0.0,0.0,0.058524173027989825,0.002544529262086514,0.0,0.0,0.015267175572519083,0.017811704834605598,0.0,0.0,0.002544529262086514,0.015267175572519083,0.03307888040712468,0.04580152671755725,0.0,0.02544529262086514,0.022900763358778626,0.061068702290076333,0.0,0.0
entorhinal-rh,0.0,0.09467455621301775,0.0,0.0,0.0,0.0,0.0029585798816568047,0.020710059171597635,0.038461538461538464,0.13609467455621302,0.0,0.0,0.0,0.06804733727810651,0.0,0.0,0.0029585798816568047,0.10650887573964497,0.05325443786982249,0.05325443786982249,0.04437869822485207,0.0,0.0,0.0,0.0,0.0,0.01775147928994083,0.0,0.0,0.0,0.0,0.0,0.0029585798816568047,0.0,0.023668639053254437,0.08579881656804733,0.0,0.026627218934911243,0.0,0.0,0.008875739644970414,0.04142011834319527,0.005917159763313609,0.0029585798816568047,0.0,0.008875739644970414,0.0,0.0,0.0,0.0,0.01775147928994083,0.005917159763313609,0.0,0.0,0.0,0.008875739644970414,0.0,0.0,0.0,0.0,0.0029585798816568047,0.01775147928994083,0.0,0.01775147928994083,0.008875739644970414,0.01775147928994083,0.0,0.05621301775147929
