,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.29891304347826086,0.04891304347826087,0.057065217391304345,0.07608695652173914,0.04619565217391304,0.0,0.0,0.0,0.016304347826086956,0.0,0.0,0.05434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11413043478260869,0.02717391304347826,0.0,0.0,0.0,0.0,0.0,0.03804347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04891304347826087,0.0,0.03260869565217391,0.057065217391304345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019021739130434784,0.02717391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.024456521739130436,0.0,0.0,0.0,0.0,0.01358695652173913,0.0,0.0,0.0
bankssts-rh,0.04943820224719101,0.2606741573033708,0.0,0.0,0.0,0.0,0.04943820224719101,0.0,0.1550561797752809,0.0,0.0,0.0,0.06741573033707865,0.0,0.0,0.0,0.015730337078651686,0.0,0.0,0.0,0.0651685393258427,0.0,0.1146067415730337,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,0.0,0.0,0.035955056179775284,0.0,0.0,0.03146067415730337,0.0,0.017977528089887642,0.0,0.0,0.0,0.0,0.0,0.006741573033707865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03146067415730337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07640449438202247,0.0,0.0,0.0
caudalanteriorcingulate-lh,0.024745269286754003,0.0,0.25036390101892286,0.06404657933042213,0.03784570596797671,0.0,0.0,0.0,0.0,0.0,0.01455604075691412,0.03784570596797671,0.0,0.0,0.0,0.0,0.0,0.00727802037845706,0.0,0.0,0.0,0.0,0.018922852983988356,0.026200873362445413,0.0,0.020378457059679767,0.0,0.0,0.026200873362445413,0.0,0.026200873362445413,0.0,0.0,0.02911208151382824,0.0,0.0,0.0,0.0,0.03784570596797671,0.0,0.0,0.056768558951965066,0.0,0.0,0.0,0.0,0.0,0.0,0.048034934497816595,0.0,0.0,0.001455604075691412,0.12809315866084425,0.043668122270742356,0.0,0.002911208151382824,0.01601164483260553,0.07569141193595343,0.001455604075691412,0.004366812227074236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-rh,0.01776461880088823,0.0,0.03256846780162842,0.11621021465581051,0.033308660251665435,0.0,0.006661732050333087,0.03626943005181347,0.0,0.0,0.0,0.04293116210214656,0.0,0.0,0.006661732050333087,0.0,0.0,0.011102886750555145,0.023686158401184307,0.0,0.0,0.014803849000740192,0.0,0.053293856402664694,0.052553663952627686,0.03552923760177646,0.03997039230199852,0.0,0.0,0.010362694300518135,0.02146558105107328,0.0,0.006661732050333087,0.0,0.014803849000740192,0.0,0.0051813471502590676,0.0,0.05181347150259067,0.023686158401184307,0.023686158401184307,0.052553663952627686,0.03552923760177646,0.03552923760177646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03997039230199852,0.03182827535159141,0.0,0.0,0.014803849000740192,0.03774981495188749,0.003700962250185048,0.0,0.04145077720207254,0.0,0.0,0.0,0.005921539600296077,0.0,0.0,0.01998519615099926,0.0
caudalmiddlefrontal-lh,0.03667481662591687,0.0,0.06356968215158924,0.1100244498777506,0.20537897310513448,0.0,0.0,0.0,0.0,0.0,0.0,0.1198044009779951,0.0,0.0,0.0,0.029339853300733496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08068459657701711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019559902200488997,0.0,0.08801955990220049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10757946210268948,0.0,0.05867970660146699,0.05134474327628362,0.0,0.0,0.0,0.0,0.0,0.0,0.029339853300733496,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.0,0.3819241982507289,0.0,0.09037900874635568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09912536443148688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06705539358600583,0.0,0.0,0.0,0.0,0.0,0.23323615160349853,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0029154518950437317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10495626822157435,0.0
cuneus-lh,0.0,0.025048169556840076,0.0,0.008670520231213872,0.0,0.0,0.12427745664739884,0.024084778420038536,0.019267822736030827,0.0,0.0,0.0,0.07707129094412331,0.0,0.030828516377649325,0.0,0.03757225433526012,0.0,0.008670520231213872,0.0,0.02697495183044316,0.027938342967244702,0.05394990366088632,0.0,0.008670520231213872,0.02119460500963391,0.05491329479768786,0.0,0.018304431599229287,0.0,0.0,0.0,0.038535645472061654,0.02601156069364162,0.024084778420038536,0.0,0.06454720616570328,0.0,0.008670520231213872,0.017341040462427744,0.0,0.023121387283236993,0.06551059730250482,0.025048169556840076,0.0,0.0,0.0,0.01348747591522158,0.0,0.0,0.019267822736030827,0.0009633911368015414,0.0,0.0,0.0,0.0,0.0019267822736030828,0.0,0.0,0.0,0.0,0.0,0.0,0.051059730250481696,0.038535645472061654,0.0,0.014450867052023121,0.0
cuneus-rh,0.0,0.0,0.0,0.029301745635910224,0.0,0.01807980049875312,0.01683291770573566,0.128428927680798,0.0,0.0,0.0,0.0,0.00997506234413965,0.0,0.023067331670822942,0.0,0.0012468827930174563,0.0,0.018703241895261846,0.0,0.0,0.05361596009975062,0.0,0.038029925187032416,0.043017456359102244,0.028678304239401497,0.05361596009975062,0.0,0.0,0.0,0.0,0.0,0.0199501246882793,0.008728179551122194,0.04488778054862843,0.0,0.02743142144638404,0.0,0.046134663341645885,0.051745635910224436,0.015586034912718205,0.004987531172069825,0.043640897755610975,0.08478802992518704,0.0,0.0,0.0,0.01807980049875312,0.0,0.0,0.0,0.05673316708229426,0.0,0.0,0.0,0.0,0.04114713216957606,0.004987531172069825,0.0,0.03615960099750624,0.0,0.0,0.0,0.029301745635910224,0.0,0.0,0.003117206982543641,0.0
entorhinal-lh,0.017130620985010708,0.15203426124197003,0.0,0.0,0.0,0.0,0.034261241970021415,0.0,0.2955032119914347,0.0,0.0,0.0,0.0728051391862955,0.0,0.0,0.0,0.10278372591006424,0.0,0.0,0.0,0.06209850107066381,0.0,0.09635974304068523,0.0,0.0,0.0,0.0,0.0,0.004282655246252677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021413276231263382,0.0,0.0,0.0,0.008565310492505354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014989293361884369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11777301927194861,0.0,0.0,0.0
entorhinal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5432098765432098,0.0,0.0,0.0,0.024691358024691357,0.0,0.043209876543209874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.17901234567901234,0.0,0.0,0.0,0.0,0.0,0.024691358024691357
