,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.06878306878306878,0.05291005291005291,0.06349206349206349,0.0,0.031746031746031744,0.047619047619047616,0.07407407407407407,0.06878306878306878,0.0582010582010582,0.031746031746031744,0.015873015873015872,0.07407407407407407,0.05291005291005291,0.047619047619047616,0.06878306878306878,0.06349206349206349,0.047619047619047616,0.06349206349206349,0.06878306878306878
caudalmiddlefrontal-rh,0.06395348837209303,0.05813953488372093,0.06395348837209303,0.0,0.03488372093023256,0.05232558139534884,0.06395348837209303,0.06395348837209303,0.06395348837209303,0.03488372093023256,0.01744186046511628,0.06395348837209303,0.05813953488372093,0.05232558139534884,0.06395348837209303,0.06395348837209303,0.05232558139534884,0.06395348837209303,0.06395348837209303
inferiorparietal-rh,0.06951871657754011,0.053475935828877004,0.06417112299465241,0.0,0.03208556149732621,0.0481283422459893,0.06951871657754011,0.06951871657754011,0.058823529411764705,0.03208556149732621,0.016042780748663103,0.06951871657754011,0.053475935828877004,0.0481283422459893,0.06951871657754011,0.06417112299465241,0.0481283422459893,0.06417112299465241,0.06951871657754011
parsopercularis-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parstriangularis-rh,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.0,0.05,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.05,0.025,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334
postcentral-lh,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.0,0.037037037037037035,0.05555555555555555,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.037037037037037035,0.018518518518518517,0.06172839506172839,0.06172839506172839,0.05555555555555555,0.06172839506172839,0.06172839506172839,0.05555555555555555,0.06172839506172839,0.06172839506172839
postcentral-rh,0.06770833333333333,0.052083333333333336,0.0625,0.0,0.03125,0.046875,0.08333333333333333,0.06770833333333333,0.057291666666666664,0.03125,0.015625,0.078125,0.052083333333333336,0.046875,0.06770833333333333,0.0625,0.046875,0.0625,0.06770833333333333
precentral-lh,0.06878306878306878,0.05291005291005291,0.06349206349206349,0.0,0.031746031746031744,0.047619047619047616,0.07407407407407407,0.06878306878306878,0.0582010582010582,0.031746031746031744,0.015873015873015872,0.07407407407407407,0.05291005291005291,0.047619047619047616,0.06878306878306878,0.06349206349206349,0.047619047619047616,0.06349206349206349,0.06878306878306878
precentral-rh,0.06629834254143646,0.055248618784530384,0.06629834254143646,0.0,0.03314917127071823,0.049723756906077346,0.06629834254143646,0.06629834254143646,0.06077348066298342,0.03314917127071823,0.016574585635359115,0.06629834254143646,0.055248618784530384,0.049723756906077346,0.06629834254143646,0.06629834254143646,0.049723756906077346,0.06629834254143646,0.06629834254143646
rostralmiddlefrontal-lh,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.0,0.05,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.05,0.025,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334
rostralmiddlefrontal-rh,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.0,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.04225352112676056,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.056338028169014086
superiorfrontal-lh,0.06770833333333333,0.052083333333333336,0.0625,0.0,0.03125,0.046875,0.08333333333333333,0.06770833333333333,0.057291666666666664,0.03125,0.015625,0.078125,0.052083333333333336,0.046875,0.06770833333333333,0.0625,0.046875,0.0625,0.06770833333333333
superiorfrontal-rh,0.06395348837209303,0.05813953488372093,0.06395348837209303,0.0,0.03488372093023256,0.05232558139534884,0.06395348837209303,0.06395348837209303,0.06395348837209303,0.03488372093023256,0.01744186046511628,0.06395348837209303,0.05813953488372093,0.05232558139534884,0.06395348837209303,0.06395348837209303,0.05232558139534884,0.06395348837209303,0.06395348837209303
superiorparietal-lh,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.0,0.037037037037037035,0.05555555555555555,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.037037037037037035,0.018518518518518517,0.06172839506172839,0.06172839506172839,0.05555555555555555,0.06172839506172839,0.06172839506172839,0.05555555555555555,0.06172839506172839,0.06172839506172839
superiorparietal-rh,0.06878306878306878,0.05291005291005291,0.06349206349206349,0.0,0.031746031746031744,0.047619047619047616,0.07407407407407407,0.06878306878306878,0.0582010582010582,0.031746031746031744,0.015873015873015872,0.07407407407407407,0.05291005291005291,0.047619047619047616,0.06878306878306878,0.06349206349206349,0.047619047619047616,0.06349206349206349,0.06878306878306878
superiortemporal-lh,0.06951871657754011,0.053475935828877004,0.06417112299465241,0.0,0.03208556149732621,0.0481283422459893,0.06951871657754011,0.06951871657754011,0.058823529411764705,0.03208556149732621,0.016042780748663103,0.06951871657754011,0.053475935828877004,0.0481283422459893,0.06951871657754011,0.06417112299465241,0.0481283422459893,0.06417112299465241,0.06951871657754011
superiortemporal-rh,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.0,0.037037037037037035,0.05555555555555555,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.037037037037037035,0.018518518518518517,0.06172839506172839,0.06172839506172839,0.05555555555555555,0.06172839506172839,0.06172839506172839,0.05555555555555555,0.06172839506172839,0.06172839506172839
supramarginal-lh,0.06951871657754011,0.053475935828877004,0.06417112299465241,0.0,0.03208556149732621,0.0481283422459893,0.06951871657754011,0.06951871657754011,0.058823529411764705,0.03208556149732621,0.016042780748663103,0.06951871657754011,0.053475935828877004,0.0481283422459893,0.06951871657754011,0.06417112299465241,0.0481283422459893,0.06417112299465241,0.06951871657754011
supramarginal-rh,0.06878306878306878,0.05291005291005291,0.06349206349206349,0.0,0.031746031746031744,0.047619047619047616,0.07407407407407407,0.06878306878306878,0.0582010582010582,0.031746031746031744,0.015873015873015872,0.07407407407407407,0.05291005291005291,0.047619047619047616,0.06878306878306878,0.06349206349206349,0.047619047619047616,0.06349206349206349,0.06878306878306878
