,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0448318804483188,0.0,0.021170610211706103,0.039850560398505604,0.0,0.0448318804483188,0.0323785803237858,0.0,0.0,0.0361145703611457,0.0,0.0448318804483188,0.0,0.0361145703611457,0.0,0.0,0.037359900373599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448318804483188,0.039850560398505604,0.031133250311332503,0.043586550435865505,0.0,0.0,0.04234122042341221,0.0,0.0448318804483188,0.0448318804483188,0.0,0.039850560398505604,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04234122042341221,0.0,0.0,0.0,0.0410958904109589,0.0410958904109589,0.0,0.039850560398505604,0.0448318804483188,0.0,0.0,0.038605230386052306,0.0,0.04234122042341221,0.0
F3,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.056140350877192984,0.028070175438596492,0.0,0.056140350877192984,0.0,0.056140350877192984,0.0,0.056140350877192984,0.056140350877192984,0.0,0.042105263157894736,0.0,0.0,0.0,0.056140350877192984,0.0,0.056140350877192984,0.0,0.0,0.0,0.0,0.0,0.0,0.056140350877192984,0.0,0.056140350877192984,0.0,0.0,0.014035087719298246,0.0,0.0,0.056140350877192984,0.03508771929824561,0.0,0.0,0.0,0.0,0.042105263157894736,0.0,0.0,0.0,0.0,0.056140350877192984,0.0,0.0,0.0,0.0,0.0,0.0,0.056140350877192984,0.0,0.056140350877192984,0.0,0.056140350877192984
F7,0.0,0.04018912529550828,0.0,0.037825059101654845,0.04018912529550828,0.0,0.04018912529550828,0.04018912529550828,0.0,0.0,0.04018912529550828,0.0,0.04018912529550828,0.0,0.04018912529550828,0.0,0.0,0.04018912529550828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04018912529550828,0.04018912529550828,0.037825059101654845,0.04018912529550828,0.0,0.0,0.04018912529550828,0.0,0.04018912529550828,0.04018912529550828,0.0,0.04018912529550828,0.04018912529550828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04018912529550828,0.0,0.0,0.0,0.04018912529550828,0.04018912529550828,0.0,0.04018912529550828,0.04018912529550828,0.0,0.0,0.04018912529550828,0.0,0.04018912529550828,0.0
FT9,0.0,0.03903559127439724,0.0,0.01951779563719862,0.04362801377726751,0.0,0.04477611940298507,0.029850746268656716,0.0,0.0,0.03903559127439724,0.0,0.04477611940298507,0.0,0.03903559127439724,0.0,0.0,0.03788748564867968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.04362801377726751,0.02870264064293915,0.03559127439724455,0.0,0.0,0.03673938002296211,0.0,0.04477611940298507,0.03903559127439724,0.0,0.04362801377726751,0.04477611940298507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.0,0.0,0.0,0.04477611940298507,0.04477611940298507,0.0,0.04362801377726751,0.04477611940298507,0.0,0.0,0.03329506314580941,0.0,0.04477611940298507,0.0
FC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1,0.0,0.03363636363636364,0.0,0.015454545454545455,0.03363636363636364,0.0,0.056363636363636366,0.023636363636363636,0.0,0.0,0.03090909090909091,0.0,0.057272727272727274,0.0,0.03090909090909091,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057272727272727274,0.03363636363636364,0.022727272727272728,0.031818181818181815,0.0,0.0,0.03090909090909091,0.0,0.057272727272727274,0.03363636363636364,0.0,0.03363636363636364,0.04818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053636363636363635,0.0,0.0,0.0,0.05272727272727273,0.05,0.0,0.045454545454545456,0.057272727272727274,0.0,0.0,0.028181818181818183,0.0,0.05181818181818182,0.0
C3,0.0,0.04094488188976378,0.0,0.026771653543307086,0.04094488188976378,0.0,0.04094488188976378,0.03937007874015748,0.0,0.0,0.03937007874015748,0.0,0.04094488188976378,0.0,0.03937007874015748,0.0,0.0,0.04094488188976378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04094488188976378,0.04094488188976378,0.03622047244094488,0.04094488188976378,0.0,0.0,0.04094488188976378,0.0,0.04094488188976378,0.04094488188976378,0.0,0.04094488188976378,0.04094488188976378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04094488188976378,0.0,0.0,0.0,0.04094488188976378,0.04094488188976378,0.0,0.04094488188976378,0.04094488188976378,0.0,0.0,0.04094488188976378,0.0,0.04094488188976378,0.0
T7,0.0,0.0,0.03464203233256351,0.0,0.0,0.0,0.0,0.0,0.06697459584295612,0.018475750577367205,0.0,0.046189376443418015,0.0,0.05542725173210162,0.0,0.03695150115473441,0.06235565819861432,0.0,0.053117782909930716,0.0,0.0,0.0,0.06928406466512702,0.0,0.06928406466512702,0.0,0.0,0.0,0.0,0.0,0.0,0.06928406466512702,0.0,0.06928406466512702,0.0,0.0,0.009237875288683603,0.0,0.0,0.05542725173210162,0.023094688221709007,0.0,0.0,0.0,0.0,0.03233256351039261,0.0,0.0,0.0,0.0,0.03695150115473441,0.0,0.0,0.0,0.0,0.0,0.0,0.06004618937644342,0.0,0.06928406466512702,0.0,0.06235565819861432
TP9,0.0,0.0,0.04291845493562232,0.0,0.0,0.0,0.0,0.0,0.04291845493562232,0.06437768240343347,0.0,0.06866952789699571,0.0,0.055793991416309016,0.0,0.03862660944206009,0.06866952789699571,0.0,0.02145922746781116,0.0,0.0,0.0,0.06866952789699571,0.0,0.06866952789699571,0.0,0.0,0.0,0.0,0.0,0.0,0.04291845493562232,0.0,0.060085836909871244,0.0,0.0,0.004291845493562232,0.0,0.0,0.06866952789699571,0.04721030042918455,0.0,0.0,0.0,0.0,0.02145922746781116,0.0,0.0,0.0,0.0,0.055793991416309016,0.0,0.0,0.0,0.0,0.0,0.0,0.055793991416309016,0.0,0.04291845493562232,0.0,0.060085836909871244
CP5,0.0,0.03934010152284264,0.0,0.021573604060913704,0.04314720812182741,0.0,0.04314720812182741,0.03299492385786802,0.0,0.0,0.04187817258883249,0.0,0.04314720812182741,0.0,0.04187817258883249,0.0,0.0,0.04187817258883249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04314720812182741,0.04314720812182741,0.031725888324873094,0.03553299492385787,0.0,0.0,0.03680203045685279,0.0,0.04314720812182741,0.03934010152284264,0.0,0.04314720812182741,0.04314720812182741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04314720812182741,0.0,0.0,0.0,0.04314720812182741,0.04314720812182741,0.0,0.04314720812182741,0.04314720812182741,0.0,0.0,0.03299492385786802,0.0,0.04314720812182741,0.0
