,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.23163841807909605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15819209039548024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02824858757062147,0.0,0.0,0.0,0.11299435028248588,0.11299435028248588,0.0,0.0,0.0,0.11299435028248588,0.0,0.0,0.0,0.0,0.0,0.12994350282485875,0.0,0.0
Fz,0.0,0.05860805860805861,0.0,0.02564102564102564,0.0,0.0,0.040293040293040296,0.0,0.0,0.0,0.007326007326007326,0.040293040293040296,0.040293040293040296,0.0,0.040293040293040296,0.0,0.0,0.0,0.0,0.06593406593406594,0.0,0.02564102564102564,0.06593406593406594,0.040293040293040296,0.03296703296703297,0.040293040293040296,0.040293040293040296,0.040293040293040296,0.03296703296703297,0.0,0.0,0.0,0.040293040293040296,0.0,0.029304029304029304,0.040293040293040296,0.0,0.06593406593406594,0.0,0.0,0.0,0.0,0.0,0.040293040293040296,0.0,0.040293040293040296,0.040293040293040296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.040293040293040296,0.0,0.0,0.0
F3,0.0,0.0,0.10822510822510822,0.0,0.04329004329004329,0.05194805194805195,0.0,0.0,0.045021645021645025,0.0,0.0,0.0,0.0,0.0,0.0,0.05627705627705628,0.0,0.05800865800865801,0.0,0.0,0.05800865800865801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015584415584415584,0.0,0.05714285714285714,0.0,0.050216450216450215,0.0,0.0,0.0,0.0,0.0,0.0,0.05800865800865801,0.032034632034632034,0.0,0.0,0.0,0.0,0.0,0.0,0.05800865800865801,0.05800865800865801,0.05800865800865801,0.0,0.0,0.05800865800865801,0.05800865800865801,0.0,0.0,0.02683982683982684,0.009523809523809525,0.03982683982683983,0.0,0.0
F7,0.0,0.02734375,0.0,0.2578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1328125,0.0,0.0,0.1328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203125,0.0,0.0,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20703125,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.05875440658049354,0.0,0.057579318448883664,0.05875440658049354,0.0,0.0,0.057579318448883664,0.0,0.0,0.0,0.0,0.0,0.0,0.05875440658049354,0.0,0.05875440658049354,0.0,0.0,0.05875440658049354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05875440658049354,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.05875440658049354,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.05875440658049354,0.05875440658049354,0.05875440658049354,0.0,0.0,0.05875440658049354,0.05875440658049354,0.0,0.0,0.036427732079905996,0.0,0.045828437132784956,0.0,0.0
FC5,0.0,0.0,0.06060606060606061,0.0,0.050505050505050504,0.0595959595959596,0.0,0.0,0.052525252525252523,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.06060606060606061,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.03737373737373737,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.0,0.0,0.06060606060606061,0.06060606060606061,0.0,0.0,0.031313131313131314,0.0,0.046464646464646465,0.0,0.0
FC1,0.0,0.03802281368821293,0.0,0.0,0.0,0.0,0.049429657794676805,0.0,0.0,0.0,0.0076045627376425855,0.049429657794676805,0.053231939163498096,0.0,0.053231939163498096,0.0,0.0,0.0,0.0,0.045627376425855515,0.0,0.026615969581749048,0.04182509505703422,0.053231939163498096,0.034220532319391636,0.049429657794676805,0.04182509505703422,0.053231939163498096,0.034220532319391636,0.0,0.0,0.0,0.049429657794676805,0.0,0.030418250950570342,0.045627376425855515,0.0,0.053231939163498096,0.0,0.0,0.0,0.0,0.0,0.053231939163498096,0.0,0.045627376425855515,0.045627376425855515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045627376425855515,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0,0.0,0.05889014722536806,0.0,0.053227633069082674,0.05889014722536806,0.0,0.0,0.057757644394110984,0.0,0.0,0.0,0.0,0.0,0.0,0.05889014722536806,0.0,0.05889014722536806,0.0,0.0,0.05889014722536806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05889014722536806,0.0,0.056625141562853906,0.0,0.0,0.0,0.0,0.0,0.0,0.05889014722536806,0.04190260475651189,0.0,0.0,0.0,0.0,0.0,0.0,0.05889014722536806,0.05889014722536806,0.05889014722536806,0.0,0.0,0.05889014722536806,0.05889014722536806,0.0,0.0,0.035107587768969425,0.0,0.04869762174405436,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
