,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
Fp1,0.02564102564102564,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.0,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,0.05128205128205128,0.0,0.05128205128205128,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.10989010989010989,0.0,0.0989010989010989,0.0,0.0,0.0,0.0,0.0,0.10989010989010989,0.0,0.12087912087912088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296703296703297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12087912087912088,0.03296703296703297,0.02197802197802198,0.0,0.0989010989010989,0.0,0.0,0.04395604395604396,0.0,0.10989010989010989,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.02197802197802198,0.0
FC5,0.005235602094240838,0.0,0.0,0.0,0.0,0.05759162303664921,0.0,0.0,0.041884816753926704,0.06282722513089005,0.015706806282722512,0.0,0.0,0.04712041884816754,0.0,0.05759162303664921,0.05759162303664921,0.0,0.020942408376963352,0.05235602094240838,0.0,0.0,0.041884816753926704,0.0,0.020942408376963352,0.03664921465968586,0.02617801047120419,0.06282722513089005,0.0,0.06282722513089005,0.02617801047120419,0.0,0.031413612565445025,0.0,0.06282722513089005,0.0,0.05759162303664921,0.0,0.0,0.0,0.06282722513089005,0.0,0.0,0.0,0.03664921465968586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015706806282722512,0.0,0.0,0.03664921465968586
FC1,0.0,0.0,0.0,0.0,0.08943089430894309,0.0,0.10569105691056911,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.08943089430894309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056910569105691054,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.056910569105691054,0.016260162601626018,0.0,0.06504065040650407,0.0,0.0,0.06504065040650407,0.0,0.08943089430894309,0.0,0.024390243902439025,0.0,0.04878048780487805,0.0,0.024390243902439025,0.0,0.04878048780487805,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.0064516129032258064,0.0,0.0,0.0,0.0,0.05806451612903226,0.0,0.0,0.05161290322580645,0.05806451612903226,0.01935483870967742,0.0,0.0,0.05806451612903226,0.0,0.05806451612903226,0.05806451612903226,0.0,0.025806451612903226,0.05806451612903226,0.0,0.0,0.05161290322580645,0.0,0.025806451612903226,0.04516129032258064,0.012903225806451613,0.05806451612903226,0.0,0.05806451612903226,0.03225806451612903,0.0,0.01935483870967742,0.0,0.05806451612903226,0.0,0.05806451612903226,0.0,0.0,0.0,0.05806451612903226,0.0,0.0,0.0,0.025806451612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04516129032258064
TP9,0.00425531914893617,0.0,0.0,0.0,0.0,0.04680851063829787,0.0,0.0,0.03404255319148936,0.13617021276595745,0.01276595744680851,0.0,0.0,0.03829787234042553,0.0,0.04680851063829787,0.04680851063829787,0.0,0.01702127659574468,0.0425531914893617,0.0,0.0,0.03404255319148936,0.0,0.01702127659574468,0.029787234042553193,0.03404255319148936,0.05531914893617021,0.0,0.05106382978723404,0.02127659574468085,0.0,0.03829787234042553,0.0,0.059574468085106386,0.01276595744680851,0.04680851063829787,0.0,0.0,0.0,0.05106382978723404,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.01276595744680851,0.0,0.0,0.0,0.00851063829787234,0.0,0.0,0.0,0.02553191489361702,0.0,0.00425531914893617,0.029787234042553193
