,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.049019607843137254,0.03431372549019608,0.029411764705882353,0.03431372549019608,0.03431372549019608,0.024509803921568627,0.03431372549019608,0.0,0.024509803921568627,0.03431372549019608,0.024509803921568627,0.004901960784313725,0.029411764705882353,0.03431372549019608,0.0,0.03431372549019608,0.014705882352941176,0.03431372549019608,0.029411764705882353,0.03431372549019608,0.0,0.0,0.0,0.03431372549019608,0.03431372549019608,0.024509803921568627,0.03431372549019608,0.024509803921568627,0.0,0.03431372549019608,0.024509803921568627,0.024509803921568627,0.0,0.0,0.0196078431372549,0.03431372549019608,0.0,0.0,0.0,0.024509803921568627,0.0,0.0,0.0,0.024509803921568627,0.029411764705882353,0.014705882352941176,0.029411764705882353,0.00980392156862745,0.0,0.024509803921568627,0.014705882352941176,0.0
S1_D3 hbo,0.026905829596412557,0.07174887892376682,0.026905829596412557,0.03587443946188341,0.03587443946188341,0.02242152466367713,0.04932735426008968,0.0,0.02242152466367713,0.04035874439461883,0.02242152466367713,0.004484304932735426,0.026905829596412557,0.07623318385650224,0.0,0.03587443946188341,0.013452914798206279,0.03587443946188341,0.026905829596412557,0.03139013452914798,0.0,0.0,0.0,0.04035874439461883,0.03587443946188341,0.02242152466367713,0.03139013452914798,0.02242152466367713,0.0,0.03139013452914798,0.02242152466367713,0.02242152466367713,0.0,0.0,0.0,0.008968609865470852,0.0,0.0,0.0,0.02242152466367713,0.0,0.0,0.0,0.02242152466367713,0.026905829596412557,0.013452914798206279,0.026905829596412557,0.008968609865470852,0.0,0.02242152466367713,0.013452914798206279,0.0
S2_D1 hbo,0.027777777777777776,0.041666666666666664,0.034722222222222224,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.0,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.006944444444444444,0.034722222222222224,0.041666666666666664,0.0,0.041666666666666664,0.013888888888888888,0.041666666666666664,0.034722222222222224,0.034722222222222224,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.034722222222222224,0.034722222222222224,0.020833333333333332,0.0,0.034722222222222224,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034722222222222224,0.0,0.0,0.0,0.020833333333333332,0.034722222222222224,0.006944444444444444,0.027777777777777776,0.013888888888888888,0.0,0.020833333333333332,0.006944444444444444,0.0
S2_D2 hbo,0.02912621359223301,0.043689320388349516,0.02912621359223301,0.038834951456310676,0.038834951456310676,0.024271844660194174,0.043689320388349516,0.0,0.024271844660194174,0.043689320388349516,0.024271844660194174,0.0048543689320388345,0.02912621359223301,0.043689320388349516,0.0,0.038834951456310676,0.014563106796116505,0.038834951456310676,0.02912621359223301,0.03398058252427184,0.0,0.0,0.0,0.043689320388349516,0.038834951456310676,0.024271844660194174,0.03398058252427184,0.024271844660194174,0.0,0.03398058252427184,0.024271844660194174,0.024271844660194174,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.024271844660194174,0.0,0.0,0.0,0.024271844660194174,0.02912621359223301,0.014563106796116505,0.02912621359223301,0.009708737864077669,0.0,0.024271844660194174,0.014563106796116505,0.0
S2_D4 hbo,0.027777777777777776,0.044444444444444446,0.03333333333333333,0.03888888888888889,0.03888888888888889,0.022222222222222223,0.044444444444444446,0.0,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.005555555555555556,0.03333333333333333,0.044444444444444446,0.0,0.03888888888888889,0.016666666666666666,0.03888888888888889,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.044444444444444446,0.03888888888888889,0.027777777777777776,0.03333333333333333,0.022222222222222223,0.0,0.03333333333333333,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.022222222222222223,0.03333333333333333,0.011111111111111112,0.027777777777777776,0.011111111111111112,0.0,0.022222222222222223,0.011111111111111112,0.0
S3_D1 hbo,0.03488372093023256,0.03488372093023256,0.029069767441860465,0.03488372093023256,0.03488372093023256,0.029069767441860465,0.03488372093023256,0.0,0.029069767441860465,0.03488372093023256,0.029069767441860465,0.005813953488372093,0.029069767441860465,0.03488372093023256,0.0,0.03488372093023256,0.01744186046511628,0.03488372093023256,0.029069767441860465,0.03488372093023256,0.0,0.0,0.0,0.03488372093023256,0.03488372093023256,0.023255813953488372,0.03488372093023256,0.029069767441860465,0.0,0.03488372093023256,0.029069767441860465,0.029069767441860465,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.029069767441860465,0.029069767441860465,0.01744186046511628,0.03488372093023256,0.011627906976744186,0.0,0.029069767441860465,0.01744186046511628,0.0
S3_D3 hbo,0.028037383177570093,0.056074766355140186,0.028037383177570093,0.037383177570093455,0.037383177570093455,0.02336448598130841,0.0514018691588785,0.0,0.02336448598130841,0.04205607476635514,0.02336448598130841,0.004672897196261682,0.028037383177570093,0.056074766355140186,0.0,0.037383177570093455,0.014018691588785047,0.037383177570093455,0.028037383177570093,0.03271028037383177,0.0,0.0,0.0,0.04205607476635514,0.037383177570093455,0.02336448598130841,0.03271028037383177,0.02336448598130841,0.0,0.03271028037383177,0.02336448598130841,0.02336448598130841,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.02336448598130841,0.0,0.0,0.0,0.02336448598130841,0.028037383177570093,0.014018691588785047,0.028037383177570093,0.009345794392523364,0.0,0.02336448598130841,0.014018691588785047,0.0
S3_D4 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_D5 hbo,0.03488372093023256,0.03488372093023256,0.029069767441860465,0.03488372093023256,0.03488372093023256,0.029069767441860465,0.03488372093023256,0.0,0.029069767441860465,0.03488372093023256,0.029069767441860465,0.005813953488372093,0.029069767441860465,0.03488372093023256,0.0,0.03488372093023256,0.01744186046511628,0.03488372093023256,0.029069767441860465,0.03488372093023256,0.0,0.0,0.0,0.03488372093023256,0.03488372093023256,0.023255813953488372,0.03488372093023256,0.029069767441860465,0.0,0.03488372093023256,0.029069767441860465,0.029069767441860465,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.029069767441860465,0.029069767441860465,0.01744186046511628,0.03488372093023256,0.011627906976744186,0.0,0.029069767441860465,0.01744186046511628,0.0
S4_D2 hbo,0.028708133971291867,0.04784688995215311,0.028708133971291867,0.03827751196172249,0.03827751196172249,0.023923444976076555,0.04784688995215311,0.0,0.023923444976076555,0.0430622009569378,0.023923444976076555,0.004784688995215311,0.028708133971291867,0.04784688995215311,0.0,0.03827751196172249,0.014354066985645933,0.03827751196172249,0.028708133971291867,0.03349282296650718,0.0,0.0,0.0,0.0430622009569378,0.03827751196172249,0.023923444976076555,0.03349282296650718,0.023923444976076555,0.0,0.03349282296650718,0.023923444976076555,0.023923444976076555,0.0,0.0,0.0,0.009569377990430622,0.0,0.0,0.0,0.023923444976076555,0.0,0.0,0.0,0.023923444976076555,0.028708133971291867,0.014354066985645933,0.028708133971291867,0.009569377990430622,0.0,0.023923444976076555,0.014354066985645933,0.0
