,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.15308337626021046,0.0,0.0,0.0,0.0,0.0,0.024114173228346455,0.01301757548997964,0.027559055118110236,0.007874015748031496,0.0,0.00984251968503937,0.019286432653862193,0.026869158878504672,0.02102803738317757,0.018691588785046728,0.016868729609733363,0.012850467289719626,0.005905511811023622,0.0,0.003894080996884735,0.029205607476635514,0.058969264355974195,0.010124610591900311,0.0,0.009350393700787402,0.015392351656977457,0.020638629283489095,0.0,0.0,0.01968503937007874,0.026728113425074203,0.04440172198101405,0.014061618465916059,0.000984251968503937,0.018691588785046728,0.013779527559055118,0.0,0.015186915887850467,0.0,0.0,0.01968503937007874,0.018208661417322834,0.02336448598130841,0.0054133858267716535,0.0,0.01830677999362229,0.012871930728285132,0.0,0.0,0.0024606299212598425,0.02570093457943925,0.000984251968503937,0.003937007874015748,0.009345794392523364,0.02952755905511811,0.0027258566978193145,0.0,0.0,0.021541626805995043,0.003937007874015748,0.0,0.035321154365050164,0.008177570093457943,0.0496403340937523,0.00895638629283489,0.041809245222851815,0.0
bankssts-rh,0.0,0.22975383823655543,0.003816793893129771,0.024173027989821884,0.020224719101123594,0.0033707865168539327,0.0,0.0033707865168539327,0.014044943820224719,0.002544529262086514,0.011450381679389313,0.00804671641364325,0.0,0.032632873030848844,0.0033707865168539327,0.010674157303370787,0.014606741573033709,0.05037882036767018,0.016853932584269662,0.0,0.003816793893129771,0.02564399462503931,0.011797752808988765,0.008905852417302799,0.0,0.01272264631043257,0.0,0.010112359550561797,0.007303370786516854,0.011797752808988765,0.0,0.0028089887640449437,0.007303370786516854,0.0033707865168539327,0.017977528089887642,0.03836664093547188,0.006179775280898876,0.003816793893129771,0.012359550561797753,0.02227320810818538,0.0044943820224719105,0.028667410012293795,0.0,0.03689567430025445,0.007303370786516854,0.003106327014895503,0.003932584269662922,0.005089058524173028,0.0254624467507219,0.0022471910112359553,0.01853932584269663,0.02544529262086514,0.007303370786516854,0.007303370786516854,0.03202247191011236,0.0,0.027956943134059525,0.008988764044943821,0.029213483146067417,0.007633587786259542,0.0033707865168539327,0.006179775280898876,0.0,0.01272264631043257,0.0,0.014044943820224719,0.0033707865168539327,0.022835005860994365
caudalanteriorcingulate-lh,0.0,0.00055005500550055,0.19254450955299612,0.045216766574616644,0.0,0.011001100110011002,0.0067920567566960785,0.03635975842482207,0.00510204081632653,0.025302530253025302,0.0049504950495049506,0.004081632653061225,0.004591836734693878,0.00605060506050605,0.013265306122448979,0.001530612244897959,0.0,0.0,0.014285714285714285,0.025406367167328976,0.02346938775510204,0.01155115511551155,0.005141891740194428,0.0044004400440044,0.02959183673469388,0.028380031880739093,0.015816326530612244,0.0,0.010371343256774657,0.018853415953840283,0.00510204081632653,0.0066326530612244895,0.025302530253025302,0.04964078040457107,0.0,0.0016501650165016502,0.01280281089333423,0.0,0.002551020408163265,0.010451045104510451,0.01595159515951595,0.0,0.027287779798388003,0.0,0.002551020408163265,0.0,0.04646000314317146,0.035825419276621535,0.026530612244897958,0.0016501650165016502,0.0,0.006122448979591836,0.012755102040816327,0.02127702566174985,0.01155115511551155,0.0163265306122449,0.02670573179766956,0.018853415953840283,0.017051705170517052,0.013751375137513752,0.0,0.0,0.0,0.01485148514851485,0.004081632653061225,0.010451045104510451,0.011224489795918367,0.0
caudalanteriorcingulate-rh,0.0,0.009507829977628635,0.06786843418936159,0.20072106051361693,0.0,0.0,0.02069351230425056,0.021537522879804757,0.0,0.003355704697986577,0.02237136465324385,0.017897091722595078,0.013422818791946308,0.0,0.01682104757150517,0.0,0.010626398210290829,0.0008264462809917355,0.032890528223048054,0.026813282304435446,0.022538687669865217,0.0,0.0050335570469798654,0.0049586776859504135,0.04650562981862555,0.026446280991735537,0.0,0.005592841163310962,0.015659955257270694,0.012863534675615212,0.0,0.0,0.012863534675615212,0.009774992142289274,0.013422818791946308,0.0,0.008264462809917356,0.0,0.01621923937360179,0.026286353467561523,0.0022371364653243847,0.0,0.034493501211011884,0.0,0.0,0.0145413870246085,0.008948545861297539,0.04708987372196646,0.0196923475141901,0.0,0.0050335570469798654,0.0,0.02343261781943905,0.0256198347107438,0.01901565995525727,0.026229038401094532,0.03943461460239984,0.0005592841163310962,0.006711409395973154,0.003355704697986577,0.0,0.0005592841163310962,0.0,0.008948545861297539,0.0,0.0,0.02231404958677686,0.0
caudalmiddlefrontal-lh,0.0,0.021568627450980392,0.0,0.0,0.2789634998602292,0.01120162932790224,0.012292839742821773,0.025154746216205424,0.017950561079829078,0.0,0.0050916496945010185,0.010183299389002037,0.013238289205702648,0.006372549019607843,0.0,0.0,0.019158579928916578,0.010784313725490196,0.02662533445149954,0.0,0.01715985783315363,0.006372549019607843,0.014215686274509804,0.0010183299389002036,0.0,0.00196078431372549,0.015274949083503055,0.013235294117647059,0.008333333333333333,0.005392156862745098,0.0,0.014705882352941176,0.0,0.0,0.018855077672616908,0.020588235294117647,0.023421588594704685,0.0,0.00980392156862745,0.0,0.012254901960784314,0.022058823529411766,0.016293279022403257,0.0,0.02085379976837986,0.004073319755600814,0.02107843137254902,0.0,0.035148356695020165,0.018329938900203666,0.0,0.0,0.0004901960784313725,0.008823529411764706,0.008823529411764706,0.008146639511201629,0.026094205502975122,0.02104348867856715,0.0467263687552414,0.0,0.015385767341559841,0.030736591989137814,0.0,0.0058823529411764705,0.0,0.022549019607843137,0.023342717942574177,0.0029411764705882353
caudalmiddlefrontal-rh,0.0,0.003094606542882405,0.010796221322537112,0.0,0.007422402159244264,0.17083158825445577,0.008841732979664015,0.018893387314439947,0.011936339522546418,0.003094606542882405,0.01856763925729443,0.03650705011866536,0.006631299734748011,0.007119921820466285,0.057029177718832896,0.023570198706314858,0.0,0.0,0.0,0.01349527665317139,0.01417004048582996,0.002699055330634278,0.0,0.023035041183861512,0.0,0.03441295546558704,0.0,0.0,0.01282051282051282,0.007515473032714412,0.009283819628647215,0.032318860812508725,0.00828330773884313,0.03190004188189306,0.0,0.007841221089859927,0.008399646330680813,0.0,0.0,0.007073386383731211,0.0,0.01282051282051282,0.012611103355204987,0.02380287588999023,0.014844804318488529,0.024407836567546186,0.022709293126715994,0.020754804783842895,0.0,0.05174740564940202,0.00865559123272372,0.017846339987900785,0.0,0.009446693657219974,0.0,0.016799292661361626,0.0,0.010610079575596816,0.03171390013495277,0.010167992926613616,0.01282051282051282,0.015822048489925078,0.010167992926613616,0.009725906277630416,0.011052166224580018,0.024338033412443574,0.012750709665410209,0.016799292661361626
cuneus-lh,0.024623115577889446,0.0,0.007832031060892128,0.017587939698492462,0.01451331803526302,0.008670520231213872,0.15531172238843544,0.0403912626717402,0.04560955064339037,0.0,0.005780346820809248,0.030346820809248554,0.040920401622757334,0.0,0.004522613065326633,0.0038535645472061657,0.011557788944723618,0.0,0.016080402010050253,0.0,0.0,0.0,0.02230081041043367,0.020712909441233142,0.0,0.0038535645472061657,0.007035175879396985,0.018928941431628276,0.0019267822736030828,0.030828516377649325,0.03420038535645472,0.006262042389210019,0.01507537688442211,0.004020100502512563,0.022613065326633167,0.0,0.007707129094412331,0.0,0.0,0.01193539954105789,0.0,0.009045226130653266,0.032312332374783356,0.009152215799614644,0.0009633911368015414,0.0,0.011557788944723618,0.02921398902024574,0.0,0.0,0.017882282317173537,0.019392724702510626,0.0,0.002890173410404624,0.010826289443363252,0.04858299203144818,0.009045226130653266,0.013213950290953805,0.001507537688442211,0.022157996146435453,0.03564256736476215,0.0004816955684007707,0.02023121387283237,0.003015075376884422,0.02763819095477387,0.005423553218888275,0.026633165829145728,0.008188824662813102
cuneus-rh,0.015607148818827653,0.004158004158004158,0.03278493059514957,0.01768452498379506,0.020304414464998408,0.016684045881126174,0.03595708887679691,0.16448342543233055,0.037501707209736404,0.0,0.0,0.004158004158004158,0.027087185846309935,0.0,0.0010427528675703858,0.0,0.034896450954845115,0.0,0.026578816724802126,0.011470281543274244,0.008835758835758836,0.0,0.02963716102402234,0.0072992700729927005,0.0,0.00937827215199478,0.01928767622198279,0.015072765072765074,0.02130977130977131,0.011954261954261955,0.008835758835758836,0.017158270807905846,0.015108535181527882,0.02292592986023643,0.0343523117245745,0.009355509355509356,0.0,0.0,0.0,0.0,0.0,0.005735140771637122,0.03854446007730679,0.0,0.012474012474012475,0.0,0.021373181957123562,0.02810880183142957,0.013008396220075054,0.0046923879040667365,0.006256517205422315,0.0031185031185031187,0.0,0.026520283819553896,0.010914760914760915,0.00884226249189753,0.012993762993762994,0.02598752598752599,0.04428935633315195,0.0,0.01251303441084463,0.0,0.0010395010395010396,0.012491897528393879,0.0031185031185031187,0.025503545576538278,0.0015641293013555788,0.0
entorhinal-lh,0.022748815165876776,0.006675143038779402,0.003178639542275906,0.0,0.012044482876021006,0.008582326764144946,0.031845147528042836,0.03227900922859992,0.14033286833803854,0.00540368722186904,0.0,0.026186566557096502,0.0626508347318343,0.006357279084551812,0.007310870947234584,0.0,0.04646267132264547,0.008264462809917356,0.05402843601895735,0.004450095359186269,0.0,0.0019071837253655435,0.02280033624281793,0.007310870947234584,0.0,0.0,0.043601895734597156,0.0050858232676414495,0.009218054672600126,0.029243483788938335,0.01589319771137953,0.006675143038779402,0.0,0.0,0.04757233288038975,0.007310870947234584,0.009368399803557064,0.012819106787223977,0.008264462809917356,0.007310870947234584,0.0003178639542275906,0.0,0.046219226701777326,0.010171646535282899,0.003178639542275906,0.006675143038779402,0.0,0.008900190718372537,0.019349629259151017,0.007310870947234584,0.004450095359186269,0.002860775588048315,0.007310870947234584,0.00572155117609663,0.0003178639542275906,0.013506355772620313,0.0,0.009218054672600126,0.008536530251308364,0.006675143038779402,0.039907744130062095,0.009853782581055308,0.00635155452044724,0.005692928355573767,0.01492243215638304,0.004132231404958678,0.023938620621085076,0.02129688493324857
entorhinal-rh,0.01717557251908397,0.0,0.04007633587786259,0.009541984732824428,0.0,0.007415254237288136,0.0,0.0,0.015889830508474576,0.2552885237417518,0.026717557251908396,0.014094643550265235,0.0,0.00211864406779661,0.001059322033898305,0.009541984732824428,0.011652542372881356,0.0321112045542761,0.0,0.0,0.0,0.0,0.016221374045801526,0.0,0.0,0.011450381679389313,0.0,0.0,0.009541984732824428,0.009541984732824428,0.011450381679389313,0.0028625954198473282,0.0,0.0,0.0,0.0,0.015889830508474576,0.019083969465648856,0.0057251908396946565,0.0009541984732824427,0.03625954198473282,0.009541984732824428,0.013771186440677966,0.01059322033898305,0.011450381679389313,0.007415254237288136,0.0,0.0,0.019067796610169493,0.007415254237288136,0.029661016949152543,0.0,0.023733665415965843,0.01717557251908397,0.011450381679389313,0.0,0.0,0.0,0.0,0.0,0.006355932203389831,0.06885593220338983,0.01717557251908397,0.016221374045801526,0.0713061198085134,0.0,0.023741751843705524,0.05340276879285807
frontalpole-lh,0.0,0.0040137614678899085,0.0040137614678899085,0.020642201834862386,0.004840207748881644,0.03305785123966942,0.011570247933884297,0.0,0.0,0.017201834862385322,0.2911479263022215,0.020642201834862386,0.0,0.009917355371900827,0.005160550458715597,0.011467889908256881,0.0,0.0022935779816513763,0.003305785123966942,0.00725225566760179,0.018922018348623854,0.004132231404958678,0.0,0.0049586776859504135,0.0194954128440367,0.019008264462809916,0.0,0.0,0.06730798392599895,0.025802752293577983,0.0,0.012396694214876033,0.0,0.0,0.0,0.009917355371900827,0.0049586776859504135,0.04771305633482448,0.006307339449541285,0.017489953749336568,0.0034403669724770644,0.03884297520661157,0.0,0.0,0.0,0.016055045871559634,0.0011467889908256881,0.0,0.02694954128440367,0.023140495867768594,0.011384487072560467,0.0017201834862385322,0.0,0.007454128440366973,0.06326199863522633,0.00909090909090909,0.0,0.01487603305785124,0.0028669724770642203,0.0022935779816513763,0.0,0.0040137614678899085,0.0022935779816513763,0.023223898703465008,0.0,0.019902001668056713,0.008972439153840321,0.014132989612555918
