,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.3257226644323418,0.0,0.0,0.0,0.011311269375785506,0.016129032258064516,0.0,0.009007121910347717,0.056975282781734395,0.0,0.0,0.0,0.0,0.0,0.02618349392542941,0.0,0.0,0.0,0.0,0.0,0.008169250104733976,0.020108923334729786,0.0,0.0,0.060955173858399665,0.0,0.0,0.0,0.0,0.0,0.0,0.1560536237955593,0.0576036866359447,0.0,0.07917888563049853,0.0,0.0,0.017595307917888565,0.02534562211981567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003142019271051529,0.0,0.04000837871805614,0.013615416841223292,0.0,0.0,0.0,0.0,0.0,0.0,0.003979891076665271,0.0,0.0689149560117302,0.0,0.0,0.0
Fz,0.0,0.23762501582478796,0.008861881250791239,0.010001265983035827,0.008861881250791239,0.000253196607165464,0.04633497911127991,0.012913026965438662,0.0,0.039118875807064184,0.0,0.05279149259399924,0.0,0.00569692366122294,0.0,0.04633497911127991,0.0,0.02544625902012913,0.0,0.003671350803899228,0.009241676161539435,0.0,0.017597164197999747,0.0,0.0,0.01645777946575516,0.012913026965438662,0.007849094822129383,0.04329661982529434,0.007849094822129383,0.0,0.0,0.0032915558931510317,0.0,0.0,0.0030383592859855677,0.005190530446892012,0.0186099506266616,0.007469299911381187,0.009621471072287632,0.021268515001898976,0.0,0.0,0.014812001519179644,0.0,0.0,0.0,0.020888720091150777,0.017217369287251552,0.061906570451955946,0.007849094822129383,0.025699455627294594,0.031016584377769336,0.021901506519812635,0.0,0.014938599822762374,0.04063805545005697,0.01139384732244588,0.0050639321433092795,0.010634257500949488,0.01405241169768325,0.011140650715280415,0.009241676161539435,0.0
F3,0.0,0.009159482758620689,0.23855064655172414,0.06721443965517242,0.0,0.053205818965517244,0.007677801724137931,0.017241379310344827,0.01697198275862069,0.03636853448275862,0.0,0.029229525862068964,0.0,0.08337823275862069,0.030576508620689655,0.0,0.0,0.0,0.02087823275862069,0.005522629310344827,0.0,0.0,0.0,0.007408405172413793,0.0,0.0,0.0,0.0,0.0,0.013469827586206896,0.004983836206896552,0.0,0.0,0.0,0.007947198275862068,0.0,0.0,0.02586206896551724,0.0,0.0,0.0412176724137931,0.0,0.013739224137931034,0.0,0.0,0.04781788793103448,0.0,0.003771551724137931,0.00013469827586206896,0.0,0.0,0.0,0.0,0.030441810344827586,0.008351293103448275,0.07718211206896551,0.0,0.05980603448275862,0.0,0.0,0.0,0.0,0.0,0.041891163793103446
F7,0.0,0.009893153937475268,0.06503099854900408,0.3028624192059095,0.0,0.019786307874950535,0.0051444400474871385,0.0,0.015565228861627754,0.024403113045772324,0.0022424482258277274,0.0,0.021369212504946576,0.0,0.0,0.0,0.005672074924152486,0.0,0.02123730378578024,0.01912676427911885,0.029019918216594116,0.00382535285582377,0.0,0.003561535417491096,0.00013190871916633689,0.0022424482258277274,0.0019786307874950534,0.010684606252473288,0.0,0.00844215802664556,0.0,0.0,0.07413270017148134,0.0,0.0,0.01793958580662182,0.0,0.014114232950798047,0.032185727476586205,0.0,0.025326474079936684,0.0,0.009629336499142594,0.0,0.0,0.0,0.0,0.0019786307874950534,0.004484896451655455,0.0,0.0,0.0,0.0,0.005408257485819813,0.0,0.07057116475399024,0.00422107901332278,0.057116475399023876,0.0,0.0022424482258277274,0.0,0.016224772457459437,0.010288880094974277,0.08191531460229522
FT9,0.003968253968253968,0.00510204081632653,0.0,0.0,0.14788832199546487,0.01707766439909297,0.0031179138321995466,0.0,0.010062358276643991,0.04060374149659864,0.003826530612244898,0.012684240362811792,0.013463718820861678,0.0009212018140589569,0.002905328798185941,0.02848639455782313,0.008645124716553288,0.0,0.0,0.004393424036281179,0.029124149659863947,0.026502267573696146,0.01984126984126984,0.0,0.03819444444444445,0.005810657596371882,0.08907312925170068,0.008078231292517007,0.023030045351473922,0.05024092970521542,0.0013463718820861678,0.0,0.008857709750566893,0.0035430839002267575,0.012967687074829932,0.00496031746031746,0.008007369614512472,0.01403061224489796,0.0026218820861678006,0.03337585034013606,0.046201814058956917,0.0,0.0,0.008007369614512472,0.007653061224489796,0.0,0.0,0.008715986394557822,0.0,0.05881519274376417,0.015022675736961451,0.023880385487528345,0.0,0.017573696145124718,0.0,0.04258786848072563,0.003968253968253968,0.0,0.0,0.0,0.0,0.018849206349206348,0.04974489795918367,0.016227324263038547
FC5,0.009273039496279336,0.0,0.04487693188322839,0.01671436748712078,0.02781911848883801,0.25769891242129367,0.0022896393817973667,0.014081282198053807,0.05964510589582141,0.0,0.013279908414424729,0.0,0.005380652547223812,0.052089295935890095,0.016256439610761304,0.04029765311963366,0.0033199771036061822,0.026903262736119062,0.017057813394390383,0.005953062392673154,0.0,0.043961076130509445,0.012135088723526045,0.0,0.04075558099599313,0.0,0.0,0.0,0.0,0.013966800228963938,0.018431597023468804,0.0,0.014997137950772753,0.002633085289066972,0.027704636519748138,0.0,0.0,0.0,0.0012593016599885519,0.021179164281625643,0.0,0.0,0.0,0.0014882655981682885,0.016141957641671437,0.04670864338866629,0.0,0.03629078420148826,0.008013737836290785,0.0019461934745277618,0.0,0.0038923869490555237,0.0,0.011906124785346308,0.024499141385231828,0.011448196908986834,0.0,0.00206067544361763,0.0,0.006296508299942759,0.0,0.00011448196908986835,0.0,0.019232970807097884
FC1,0.0,0.055883266066438994,0.009158646383110836,0.005743557901272896,0.006519714374417882,0.0040360136603539275,0.24712822104936355,0.0012418503570319776,0.0051226327227569075,0.0,0.0035703197764669356,0.008692952499223843,0.0,0.0,0.0,0.037565973300217326,0.0001552312946289972,0.003104625892579944,0.0,0.0,0.004346476249611922,0.0035703197764669356,0.0,0.0,0.0,0.035858429059298355,0.0336851909344924,0.01847252406085067,0.013660353927351754,0.020335299596398633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008382489909965849,0.0,0.0,0.012573734864948774,0.007606333436820863,0.0,0.0,0.010400496740142812,0.0,0.012418503570319777,0.054330953120149024,0.0,0.04687985097795715,0.013660353927351754,0.04004967401428128,0.07497671530580564,0.06488668115492083,0.011797578391803787,0.021887612542688607,0.0,0.009624340266997827,0.0026389320086929527,0.0,0.020180068301769636,0.02949394597950947,0.04036013660353927,0.0
C3,0.006115751789976134,0.015513126491646777,0.019391408114558473,0.0,0.0,0.01864558472553699,0.0008949880668257757,0.2316527446300716,0.053251789976133654,0.0,0.0,0.010590692124105011,0.006861575178997614,0.026551312649164677,0.005817422434367542,0.0,0.0011933174224343676,0.020883054892601432,0.015662291169451073,0.0029832935560859188,0.0,0.021628878281622913,0.0,0.0,0.0016408114558472554,0.0110381861575179,0.02759546539379475,0.02908711217183771,0.0,0.020435560859188545,0.03967780429594272,0.0011933174224343676,0.0,0.012529832935560859,0.0,0.0,0.011933174224343675,0.0,0.0,0.0,0.0,0.0256563245823389,0.0,0.0010441527446300716,0.0,0.0,0.0,0.013573985680190932,0.07428400954653938,0.0,0.031772076372315036,0.0,0.0,0.03729116945107398,0.0659307875894988,0.0,0.004176610978520286,0.029534606205250596,0.0,0.0,0.025208830548926014,0.057130071599045346,0.017601431980906922,0.004027446300715991
T7,0.020087336244541485,0.0,0.009315866084425037,0.00851528384279476,0.010043668122270743,0.03791848617176128,0.0022561863173216883,0.026128093158660843,0.19665211062590976,0.001965065502183406,0.001965065502183406,0.0,0.0227802037845706,0.0,0.03842794759825328,0.00858806404657933,0.0,0.08260553129548763,0.000363901018922853,0.016157205240174673,0.001965065502183406,0.01834061135371179,0.006768558951965066,0.0004366812227074236,0.027001455604075693,0.010189228529839884,0.0,0.008224163027656477,0.0,0.0069868995633187774,0.04344978165938865,0.03165938864628821,0.02292576419213974,0.0,0.018558951965065504,0.0,0.0,0.0,0.01943231441048035,0.0,0.0,0.05138282387190684,0.016812227074235808,0.0,0.017467248908296942,0.001965065502183406,0.007059679767103348,0.0,0.028966521106259097,0.0,0.0,0.0,0.0,0.008806404657933042,0.08682678311499273,0.0,0.007641921397379912,0.0,0.03901018922852984,0.02307132459970888,0.008733624454148471,0.002547307132459971,0.0,0.0
TP9,0.0,0.021095908876457504,0.018467345150636923,0.012738424209745906,0.03835007076902339,0.0,0.00013479813978567096,0.0,0.0018197748871065578,0.1494911370223091,0.011592640021567702,0.029453393543169105,0.00788569117746175,0.011794837231246209,0.01489519444631664,0.018467345150636923,0.008222686526925928,0.006739906989283548,0.0008087888387140257,0.0003369953494641774,0.02311788097324257,0.0,0.0,0.013884208397924109,0.010244658623710993,0.014962593516209476,0.0450225786884141,0.0,0.02493765586034913,0.026420435397991507,0.0006739906989283548,0.0,0.0,0.0062681135000337,0.0,0.0,0.007616094897890409,0.047111949855092,0.0,0.0250724540001348,0.08862977690907865,0.0,0.009503268854889802,0.012199231650603222,0.0,0.025409449349598975,0.00020219720967850643,0.004987531172069825,0.0,0.04037204286580845,0.010649053043068006,0.01833254701085125,0.0,0.029385994473276267,0.0,0.05722181033901732,0.011862236301139044,0.02904899912381209,0.0,0.0036395497742131157,0.013142818629102918,0.013210217698995753,0.03073397587113298,0.0038417469838916223
