,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.10327207109495298,0.009088568486096807,0.018635559251645954,0.019116339760452253,0.0009615610176125964,0.01487617611645874,0.011783403991930952,0.01831903679230052,0.014150194865020383,0.00888402499338031,0.0189623888048938,0.010586635014804037,0.012748295937249462,0.010716426203584154,0.002600411946446962,0.0171054560212517,0.021434753604109777,0.019248032146173835,0.01177484093957766,0.0190503076642615,0.004740715067767705,0.01472291127834489,0.017475530138801175,0.0045801022567974305,0.008676993845794836,0.010880369942260342,0.0007981462409886715,0.004119464469618949,0.010146139949253374,0.001004119464469619,0.009792505818965881,0.08012418572424948,0.044583325092257875,0.006150648085839655,0.039147822201901904,0.007183159013505705,0.003939237899073121,0.01921319347883316,0.018641006027560917,0.010747247825774311,0.005682662325804747,0.020111681521300995,0.011011004403877398,0.007097670313131735,0.02091596065564923,0.005792996910401648,0.014245304541852168,0.013400897119640638,0.01239942246543233,0.0028321318228630276,0.020802137987954078,0.02603658546869181,0.021642842675799773,0.016624675512445404,0.010842514657998435,0.008886140841589358,0.010910662602398237,0.010081322932559485,0.009856264911555244,0.008576966355100352,0.0498875074035522,0.0074407826982492275,0.003990731204943357,0.0009498241929457314
Fz,0.00848269912776766,0.056859857012467374,0.01691569488799074,0.02270945912946977,0.022657507038419303,0.019466128627773905,0.030211712372349556,0.013955886272048777,0.010111254901102627,0.01634854635471614,0.01147509961662407,0.012462039512893257,0.010628464961937395,0.010698451912957901,0.016573840188692412,0.014956703447938272,0.016047564580549505,0.0082088177608792,0.015949361387618426,0.012112566440460675,0.022812247476938316,0.01727031955939754,0.01596436302899168,0.014271425059159824,0.011456741944233089,0.005387632107450607,0.021524325806502494,0.016621651753634257,0.014144003078573133,0.01378557774771976,0.009014692779321536,0.0035704016102750887,0.01438989478132572,0.021824749663352933,0.003977876156710603,0.017932088676810794,0.021696874527216848,0.01348592985883966,0.009421382830666155,0.022981553455522295,0.009717108244091778,0.0069973685257246395,0.017537148997588497,0.01908272979714034,0.007115611670115839,0.011138509805187309,0.013231748576749271,0.016043528816207676,0.013031759582094689,0.019792537057270135,0.0164256985233215,0.025531873906418104,0.02266847291545073,0.012756640564565935,0.011017460019974026,0.015221083166210299,0.015279755846416776,0.026505712491037326,0.004480973833029809,0.017134599472352498,0.00828898609384024,0.01999296215323301,0.02094922756055214,0.011693114944128138
F3,0.010753823801769008,0.01799396493917042,0.06379391384870836,0.007253887664846569,0.017849043650413513,0.02659533160903024,0.016403662547498164,0.014110594884567488,0.008683382827218443,0.02438953284158764,0.004225867739566369,0.012832742599865887,0.014745074560143054,0.01548285276367468,0.02136433885748954,0.014431682472778363,0.012607832806462944,0.011604863173356324,0.014856451767410673,0.00875058275058275,0.016263195708401186,0.01571355813136635,0.01162411789124118,0.006611329309959446,0.0190078391927707,0.00700822237123607,0.0234207778522847,0.022933901714723634,0.018615512341539738,0.029894721716639525,0.020577944886164067,0.008635166203659355,0.00871422869368075,0.008367420250981895,0.026858766803972284,0.007489845770667689,0.010613484688827154,0.025473576651658843,0.007461825845387489,0.020266165341507807,0.011876919883769198,0.007476913497461442,0.019533097039946355,0.019122186033144938,0.004956110099945716,0.019656863684260943,0.016812418175431873,0.00965146725420698,0.009310725803876489,0.018810262796564167,0.018710732190184244,0.023074512245745124,0.021576875179614905,0.013472075869336145,0.010076923076923077,0.01847908484209854,0.013063863077561709,0.013645272535683494,0.004381965066896573,0.005303988249193729,0.018740636076252516,0.005474087556279338,0.021398553501293226,0.02111343679151898
F7,0.014002238977504081,0.030735371445931074,0.009227399862358461,0.07179971234227384,0.02501009213335415,0.013559471161978863,0.021347679448269822,0.014465041428806159,0.004548999602420296,0.009285981661938201,0.025095564503198605,0.016018870507130273,0.015699855641409025,0.018750767987205215,0.004772203374887821,0.006318486410548905,0.016669122247843223,0.006926190079938777,0.010661367255043866,0.013064710897518404,0.02796403245625615,0.01313347448001897,0.014255549525314359,0.015391336439585476,0.017763412377076793,0.006240183856169176,0.010982860920534479,0.014073105132575713,0.013245413895796348,0.016043282277625626,0.0016932395291864462,0.00891524093112508,0.03653363453523863,0.0226374357310426,0.0019272528465285326,0.03396187224997804,0.019278004183422858,0.009661727289423553,0.0164410705191919,0.012436706008508307,0.015359174388805158,0.003404144537735317,0.010088727960535478,0.006401746564467365,0.00766244735818292,0.011729770803164749,0.012997907996188402,0.023200316766961958,0.009083816514399566,0.00985060409231826,0.03312785824639755,0.02283538068435117,0.024646207337028887,0.007887549465599577,0.012806285809680962,0.01086337546209407,0.018854643241720766,0.018873783531700522,0.004072171401165627,0.01872566610853469,0.0016606539540743287,0.024074728972160966,0.02523081710605231,0.006024259542521314
FT9,0.0006659080305988455,0.022816394100405746,0.016577308894874142,0.019264420631989642,0.050010442087051896,0.02133962102433284,0.022474676331891714,0.016541499824682906,0.008039258637729219,0.017099886696581332,0.01612190523992413,0.01327961715683459,0.01066972212675774,0.02286502708989289,0.018293570579845465,0.010526745439500808,0.016807014536999107,0.0075915166997443185,0.020982792441333255,0.00997703393540831,0.02288581929372528,0.016815253540479656,0.01616255881943874,0.01313562681873684,0.02086258828552699,0.004565068037431149,0.03190825743906979,0.02006942751729951,0.01665095433693825,0.026465987089430862,0.007458405801951494,0.0008226283398657939,0.009823354578663814,0.017262465166012472,0.00019557033198063854,0.026172631591459904,0.018371270625272846,0.011294269494572528,0.016759359349725483,0.019804042601737314,0.018357703774080192,0.0041551624713191205,0.009284652311630249,0.01548290716682988,0.0026997947342213427,0.018516934723417505,0.017498252713182342,0.01880130828601117,0.008317727066095335,0.027097182523369942,0.022075390612576594,0.019477211902828126,0.01804479346799838,0.00931196278483292,0.011393728420609758,0.023232381571562682,0.016050416896295668,0.015479606620799412,0.0016234977991217373,0.008691116478746678,5.05663430420712e-05,0.009770760933940107,0.02733063620128681,0.017826403630503716
FC5,0.00814733007827637,0.017989102755726797,0.02309734170347981,0.009185502264146765,0.01979606071677683,0.0555536641534084,0.024064863099389953,0.02613878555374719,0.007588766731989239,0.01603613777526821,0.016987951307005016,0.011577872255621617,0.018040032218420966,0.011190157881334352,0.01220051261611364,0.020652035517764417,0.012075610876761771,0.013496307613954673,0.018063559415861206,0.0141855853013142,0.015134976915667453,0.017877210172606593,0.014041515815812491,0.019040353295468385,0.015432734358565561,0.008237148614386465,0.018162235249831158,0.021014215963065068,0.02163042094308079,0.024166722024778292,0.021161191749427044,0.00858984898307149,0.010725080546052413,0.02018169916187819,0.012202173359462361,0.01528908005890103,0.009903081786074113,0.019304895871392034,0.007562748419525913,0.013262211999424275,0.005845332204027856,0.008829065222927115,0.017482922022563966,0.021384838520388392,0.012791806445898517,0.01689183578569768,0.022174452785066596,0.009616949546617065,0.016454229913309196,0.020501738244704998,0.015222511929673055,0.012539581049811229,0.013987403261699938,0.016123119208157573,0.010532295922321497,0.014162680882629734,0.013158138749570975,0.009281064204337861,0.00887764196587726,0.00815348866819455,0.01206260172053011,0.007031102955015999,0.019741602174466626,0.018166871491679677
FC1,0.00874578579563201,0.03301132667135473,0.017501458528305237,0.017842361879755395,0.0261368336104547,0.02964317476038405,0.06256941118224915,0.01928750605540712,0.007492195707962741,0.014247044373244927,0.019030541401775222,0.010686375203104927,0.016583020110519126,0.007899566986491456,0.017208151633139847,0.020195575950558584,0.009637923867066321,0.008921219679412815,0.016162700712076105,0.014463918925220302,0.01961965731031541,0.0165067594366416,0.017753230565033803,0.014292293669460754,0.014480039129421954,0.006230661736798002,0.02238988044830581,0.019373155369560413,0.020702447066443537,0.01898205925337382,0.0088379950043987,0.003480522389170983,0.010803921587036549,0.02351151456417684,0.0019850304906423497,0.020887502027710822,0.016393984851918095,0.009122798951404948,0.007287942648448706,0.01614496408178167,0.008130369540740017,0.004755408586773221,0.012669866746724726,0.02356397700991198,0.008443416887643811,0.013160789327720518,0.012386601746741027,0.014100025558674154,0.011641405010807251,0.022829475424065816,0.02091008793628362,0.021556033983243877,0.014307838097826722,0.01359251789905529,0.009080705028304457,0.015666602225348995,0.01517365911173722,0.015303998657442672,0.0033513951630351206,0.009940929318788429,0.004686516020555483,0.015871491828596936,0.027546504525517553,0.015277930748301582
C3,0.014737940839351475,0.016457502686852796,0.01578903025081173,0.012832512092421172,0.019204956120797752,0.03320238208494669,0.019703607110662564,0.06799981290113695,0.011381393620585153,0.01293044571835135,0.013217154076861382,0.009962929666139755,0.009382594999582378,0.018210367453648017,0.008936374785158263,0.015590110522299007,0.018284125663999708,0.01617637557241793,0.018066252649083382,0.010719190732178122,0.02188187839078658,0.019472711192904186,0.02205084693907467,0.010548680982443001,0.017114473470671042,0.006874137519479863,0.013526352006001368,0.019049000499937817,0.012655927315623004,0.01670141153203933,0.014831999016982813,0.016756884808718495,0.01841249427772851,0.012973584395747334,0.012699046042191192,0.014342650100576611,0.014077094607234388,0.016217992999194675,0.009455994095033794,0.007778563408124897,0.009076255026523778,0.012659299005520066,0.010405254481437236,0.02161699125017543,0.015193123963161713,0.019746725837230753,0.017277017852409704,0.017748420999215864,0.0113350578230353,0.018647779377601405,0.014489139053648643,0.015166903587734419,0.0197384412559896,0.015449222764129933,0.014437880389340803,0.011766210174768553,0.012302234052797092,0.012248272051323266,0.008186547861083224,0.010417259892061832,0.017754680571435998,0.004869912273317323,0.017535645420800716,0.011724941887478189
T7,0.013517090831509754,0.017438607493430222,0.01435495489144066,0.006773752932845339,0.015131649297676627,0.01453372442244194,0.012112333351727539,0.0165390422549352,0.06781740201348264,0.013977819541031966,0.01633021942195563,0.009779444862876735,0.007917210572251117,0.01192055622601102,0.023975927829257972,0.021215892667411418,0.006549541716673991,0.03489145542398059,0.02799808355755501,0.021705187147507195,0.013494943961960538,0.010367783834741537,0.01770315923248547,0.015944369278379323,0.019719997128289247,0.022855849901806318,0.0138446614878673,0.01830248674279161,0.007002703579100221,0.010924135344687419,0.021454429217036185,0.01753167971271081,0.006830437845456561,0.014044260149679619,0.012239858717736855,0.019312531640032903,0.020177197103263284,0.0056987549583611165,0.009162093491902458,0.022218200924890186,0.0019708646857645278,0.02356644328472772,0.020006249108357806,0.009168512392926806,0.030442939236556804,0.012415206557392781,0.0037278902725965896,0.010564130597875046,0.015244317805363344,0.0136664234817352,0.007113098341513219,0.014679273649119395,0.011678321149171531,0.011479955329764119,0.02912343243995938,0.004180967238689548,0.012822225417113219,0.011836176653028501,0.020711571536326495,0.01484072063698826,0.015755844051341613,0.0048283719116421105,0.015904475384031332,0.01096315812883314
TP9,0.005277393282068488,0.017038093736775645,0.024535292912671612,0.007359297050051507,0.0178764653220463,0.018557282648462646,0.013405241524187823,0.011320598048653834,0.0073086862217156805,0.05663790043987059,0.009673580705040557,0.012391760477063168,0.0188303471926006,0.01673400727329131,0.017147155171977766,0.02068375935083262,0.01834496585059911,0.016440500295888415,0.015190751084502697,0.013784891229395291,0.011738192703442254,0.016065033913364547,0.017561156594939717,0.01845602937978079,0.019593303058862407,0.006381611335813962,0.024277107088002778,0.014851606901702664,0.014899920590630368,0.024390910324735428,0.0259853990447272,0.0037592054173712633,0.0032172596517789556,0.014847866147161916,0.013776524584028095,0.01645620092762283,0.022402188225495633,0.02328395256343898,0.01620564413474978,0.02168672413589624,0.01898731136059778,0.004796195262750599,0.020647995629955708,0.014476846520740008,0.011369649351152953,0.017812830345506625,0.011685548169116669,0.008496391594408636,0.00876368167801608,0.024688484714117838,0.012746489380893532,0.013363260774637557,0.013043916247561661,0.01629475839151348,0.012777184642801144,0.019342862176693433,0.010363091334262867,0.016893268580696612,0.006819237467734675,0.008932869156625287,0.018621181058420682,0.0023419757759273276,0.014323802242008063,0.02403736160261933
