,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.06519065190651907,0.0,0.0,0.0,0.06519065190651907,0.06642066420664207,0.0,0.06273062730627306,0.06642066420664207,0.0,0.04920049200492005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06642066420664207,0.02952029520295203,0.0,0.06642066420664207,0.0,0.0,0.0,0.0,0.0,0.0,0.06642066420664207,0.06642066420664207,0.0,0.06273062730627306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06642066420664207,0.013530135301353014,0.0,0.06642066420664207,0.0,0.06642066420664207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05412054120541206,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.05625,0.04375,0.0,0.0,0.00625,0.0,0.0,0.0625,0.0,0.0,0.04375,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0625,0.0,0.0,0.0625,0.05625,0.0625,0.0,0.0,0.0625,0.0,0.03125,0.0,0.0,0.01875,0.0,0.01875,0.0625,0.04375,0.0625,0.025,0.0625,0.0,0.0,0.0,0.00625,0.0,0.05
F7,0.0,0.0,0.05714285714285714,0.05,0.0,0.0,0.007142857142857143,0.0,0.0,0.05714285714285714,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.05714285714285714,0.0,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0,0.0,0.05714285714285714,0.0,0.03571428571428571,0.0,0.0,0.02142857142857143,0.0,0.02142857142857143,0.05714285714285714,0.05,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.0,0.0,0.0,0.007142857142857143,0.0,0.05714285714285714
FT9,0.065,0.0,0.0,0.0,0.065,0.06625,0.0,0.0625,0.06625,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06625,0.03,0.0,0.06625,0.0,0.0,0.0,0.0,0.0,0.0,0.06625,0.06625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06625,0.01375,0.0,0.06625,0.0,0.06625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0
FC5,0.06060606060606061,0.0,0.0,0.0,0.05948372615039282,0.0707070707070707,0.0,0.058361391694725026,0.0718294051627385,0.0,0.04489337822671156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0718294051627385,0.026936026936026935,0.0,0.0718294051627385,0.0,0.0,0.0,0.0,0.0,0.0,0.06285072951739619,0.06846240179573512,0.0,0.058361391694725026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0718294051627385,0.012345679012345678,0.0,0.06846240179573512,0.0,0.0718294051627385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04938271604938271,0.0,0.0,0.0
FC1,0.0,0.0,0.046511627906976744,0.046511627906976744,0.0,0.0,0.023255813953488372,0.0,0.0,0.046511627906976744,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.046511627906976744,0.0,0.0,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.0,0.0,0.046511627906976744,0.0,0.046511627906976744,0.0,0.0,0.046511627906976744,0.0,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.0,0.0,0.0,0.023255813953488372,0.0,0.046511627906976744
C3,0.06557377049180328,0.0,0.0,0.0,0.06557377049180328,0.06557377049180328,0.0,0.06431273644388398,0.06557377049180328,0.0,0.05044136191677175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557377049180328,0.03026481715006305,0.0,0.06557377049180328,0.0,0.0,0.0,0.0,0.0,0.0,0.06557377049180328,0.06557377049180328,0.0,0.06431273644388398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557377049180328,0.013871374527112233,0.0,0.06557377049180328,0.0,0.06557377049180328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05548549810844893,0.0,0.0,0.0
T7,0.05993340732519423,0.0,0.0,0.0,0.058823529411764705,0.06992230854605994,0.0,0.05771365149833518,0.07436182019977802,0.0,0.04439511653718091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07436182019977802,0.026637069922308545,0.0,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.06215316315205328,0.06770255271920089,0.0,0.05771365149833518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07103218645948946,0.01220865704772475,0.0,0.06770255271920089,0.0,0.07103218645948946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048834628190899,0.0,0.0,0.0
TP9,0.0,0.0,0.01592920353982301,0.012389380530973451,0.0,0.0,0.0017699115044247787,0.0,0.0,0.09380530973451327,0.0,0.0,0.012389380530973451,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.06725663716814159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017699115044247787,0.0,0.09734513274336283,0.0,0.0,0.09734513274336283,0.047787610619469026,0.07787610619469026,0.0,0.0,0.0831858407079646,0.0,0.008849557522123894,0.0,0.0,0.005309734513274336,0.0,0.005309734513274336,0.09557522123893805,0.05309734513274336,0.09734513274336283,0.007079646017699115,0.09380530973451327,0.0,0.0,0.0,0.0017699115044247787,0.0,0.01415929203539823
