,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.197520751419834,0.03211009174311927,0.0,0.0,0.0,0.055919615552643076,0.08865771079073831,0.07972913936216688,0.07377675840978593,0.11779161205766711,0.06094364351245085,0.03669724770642202,0.02522935779816514,0.0,0.03211009174311927,0.041666666666666664,0.06323722149410223,0.0,0.09461009174311927
caudalmiddlefrontal-rh,0.028925619834710745,0.13341204250295158,0.0,0.08539944903581267,0.0,0.12052341597796143,0.1246556473829201,0.03925619834710744,0.04132231404958678,0.030991735537190084,0.0,0.12150728059818969,0.022727272727272728,0.0,0.0935655253837072,0.08539944903581267,0.026859504132231406,0.008264462809917356,0.0371900826446281
inferiorparietal-rh,0.0,0.0,0.8269230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.1346153846153846,0.0,0.0,0.0,0.0,0.0
parsopercularis-lh,0.0,0.03896103896103896,0.0,0.3966450216450217,0.0,0.05194805194805195,0.11688311688311688,0.21482683982683984,0.041666666666666664,0.0,0.0,0.032467532467532464,0.0,0.0,0.01948051948051948,0.08712121212121213,0.0,0.0,0.0
parstriangularis-rh,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcentral-lh,0.07509009963960145,0.06767012931948271,0.0,0.05056179775280899,0.0,0.1540809836760653,0.10523637905448378,0.04892940428238287,0.054589781640873435,0.04515581937672249,0.020754716981132074,0.06205215179139283,0.020754716981132074,0.0,0.05081619673521306,0.08255246979012083,0.060250158999364,0.0,0.10150519397922408
postcentral-rh,0.07621070518266779,0.05492778249787596,0.0,0.051338147833474936,0.0,0.08251911639762106,0.16416737468139336,0.09464740866610025,0.08731945624468988,0.07614698385726423,0.014018691588785047,0.052591333899745116,0.025,0.0,0.04791843670348343,0.032646559048428204,0.06459218351741716,0.0,0.07595581988105352
precentral-lh,0.08717701813513079,0.04477611940298507,0.0,0.022115230300112344,0.0,0.05196597656876906,0.12293371850425293,0.14827475525597816,0.10680468624618841,0.10828117477130476,0.0,0.04477611940298507,0.02736318407960199,0.0,0.04477611940298507,0.0024875621890547263,0.0904028245867437,0.0,0.09786551115390787
precentral-rh,0.09440231130371976,0.04225352112676056,0.0,0.004694835680751174,0.0,0.06083423618634886,0.1116829180209462,0.12537016973636692,0.1324124232574937,0.10059588299024919,0.0,0.04225352112676056,0.025821596244131457,0.0,0.04225352112676056,0.002347417840375587,0.1035933550018057,0.0,0.1114842903575298
rostralmiddlefrontal-lh,0.1285534816941852,0.03768844221105527,0.014285714285714285,0.0,0.0,0.04840272792534099,0.10197415649676955,0.11268844221105527,0.09125987078248385,0.19535175879396985,0.0,0.03768844221105527,0.02763819095477387,0.0,0.03768844221105527,0.0,0.079091888011486,0.0,0.08768844221105528
rostralmiddlefrontal-rh,0.15362844702467343,0.0,0.0,0.0,0.0,0.05188679245283019,0.046153846153846156,0.0,0.0,0.0,0.3621190130624093,0.0,0.0,0.07692307692307693,0.0,0.15362844702467343,0.05660377358490566,0.03773584905660377,0.06132075471698113
superiorfrontal-lh,0.031746031746031744,0.13847117794486213,0.0,0.07894736842105263,0.0,0.11466165413533834,0.11862990810359231,0.03571428571428571,0.037698412698412696,0.02976190476190476,0.0,0.14713868003341687,0.021825396825396824,0.0,0.0910609857978279,0.07894736842105263,0.025793650793650792,0.013888888888888888,0.03571428571428571
superiorfrontal-rh,0.03594771241830065,0.03594771241830065,0.0,0.0,0.0,0.03594771241830065,0.03594771241830065,0.03594771241830065,0.03594771241830065,0.052076744676365166,0.0,0.03594771241830065,0.42715580855998314,0.0,0.03594771241830065,0.016129032258064516,0.03594771241830065,0.14516129032258066,0.03594771241830065
superiorparietal-lh,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.075,0.0,0.0,0.8583333333333334,0.0,0.0,0.008333333333333333,0.0,0.0
superiorparietal-rh,0.030303030303030304,0.1325156325156325,0.0,0.07407407407407407,0.0,0.11303511303511303,0.11736411736411737,0.03896103896103896,0.04112554112554113,0.032467532467532464,0.0,0.13035113035113036,0.023809523809523808,0.0,0.12481962481962482,0.07407407407407407,0.02813852813852814,0.0,0.03896103896103896
superiortemporal-lh,0.07920792079207921,0.0297029702970297,0.0,0.05276185513288171,0.0,0.12682386659718603,0.06435643564356436,0.013157894736842105,0.006578947368421052,0.0,0.15151120375195415,0.024752475247524754,0.0049504950495049506,0.0,0.01485148514851485,0.21580250130276185,0.09868421052631579,0.0049504950495049506,0.11190724335591454
superiortemporal-rh,0.07877304147465437,0.029017857142857144,0.0,0.0,0.0,0.06566820276497695,0.08950172811059909,0.10966301843317972,0.10966301843317972,0.08726958525345622,0.026785714285714284,0.029017857142857144,0.020089285714285716,0.0,0.029017857142857144,0.03125,0.16589861751152074,0.0,0.12838421658986177
supramarginal-lh,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0625,0.1875,0.0,0.0,0.020833333333333332,0.0,0.6220238095238095,0.0
supramarginal-rh,0.10411764705882352,0.03333333333333333,0.0,0.0,0.0,0.08490196078431372,0.08529411764705883,0.09333333333333332,0.09333333333333332,0.08274509803921569,0.027450980392156862,0.03333333333333333,0.021568627450980392,0.0,0.03333333333333333,0.0407843137254902,0.10235294117647059,0.0,0.16411764705882353
