,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.0,0.16,0.0,0.0,0.0,0.10857142857142857,0.12571428571428572,0.022857142857142857,0.005714285714285714,0.12,0.0,0.04,0.0,0.0,0.1657142857142857,0.10857142857142857,0.005714285714285714,0.02857142857142857,0.10857142857142857
inferiorparietal-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parsopercularis-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parstriangularis-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcentral-lh,0.0,0.09782608695652174,0.0,0.0,0.0,0.1793478260869565,0.13043478260869565,0.016304347826086956,0.0,0.10869565217391304,0.0,0.04891304347826087,0.05434782608695652,0.0,0.11413043478260869,0.1358695652173913,0.0,0.0,0.11413043478260869
postcentral-rh,0.0,0.10160427807486631,0.0,0.0,0.0,0.12834224598930483,0.1657754010695187,0.0374331550802139,0.016042780748663103,0.12834224598930483,0.0,0.0213903743315508,0.0,0.0,0.12299465240641712,0.13368983957219252,0.03208556149732621,0.0,0.11229946524064172
precentral-lh,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.1323529411764706,0.17647058823529413,0.04411764705882353,0.19117647058823528,0.0,0.058823529411764705,0.0,0.0,0.08823529411764706,0.058823529411764705,0.07352941176470588,0.0,0.058823529411764705
precentral-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.15,0.15,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0
rostralmiddlefrontal-lh,0.0,0.10052910052910052,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.06349206349206349,0.015873015873015872,0.17989417989417988,0.0,0.021164021164021163,0.0,0.0,0.12169312169312169,0.1111111111111111,0.021164021164021163,0.0,0.1111111111111111
rostralmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiorfrontal-lh,0.0,0.08450704225352113,0.0,0.0,0.0,0.15492957746478872,0.07042253521126761,0.04225352112676056,0.0,0.07042253521126761,0.0,0.22535211267605634,0.08450704225352113,0.0,0.07042253521126761,0.07042253521126761,0.0,0.056338028169014086,0.07042253521126761
superiorfrontal-rh,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.125,0.65,0.0,0.0,0.0,0.0,0.0,0.0
superiorparietal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiorparietal-rh,0.0,0.13402061855670103,0.0,0.0,0.0,0.1134020618556701,0.12886597938144329,0.030927835051546393,0.015463917525773196,0.11855670103092783,0.0,0.02577319587628866,0.0,0.0,0.17010309278350516,0.1134020618556701,0.015463917525773196,0.02577319587628866,0.10824742268041238
superiortemporal-lh,0.0,0.10828025477707007,0.0,0.0,0.0,0.1464968152866242,0.1464968152866242,0.012738853503184714,0.0,0.12101910828025478,0.0,0.01910828025477707,0.0,0.0,0.12738853503184713,0.1910828025477707,0.0,0.0,0.12738853503184713
superiortemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.41379310344827586,0.0,0.0
supramarginal-lh,0.0,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.1724137931034483,0.0,0.0,0.5172413793103449,0.0
supramarginal-rh,0.0,0.11320754716981132,0.0,0.0,0.0,0.13836477987421383,0.14465408805031446,0.025157232704402517,0.006289308176100629,0.1320754716981132,0.0,0.025157232704402517,0.0,0.0,0.13836477987421383,0.13836477987421383,0.006289308176100629,0.0,0.1320754716981132
