,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.24369747899159663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2605042016806723,0.2689075630252101,0.0,0.21008403361344538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01680672268907563,0.0,0.0,0.0
Fz,0.0,0.06382978723404255,0.04559270516717325,0.0121580547112462,0.0,0.04559270516717325,0.0425531914893617,0.0121580547112462,0.0,0.0,0.0121580547112462,0.0,0.0,0.00303951367781155,0.02735562310030395,0.0121580547112462,0.015197568389057751,0.0,0.0121580547112462,0.00911854103343465,0.00911854103343465,0.0,0.0,0.0,0.0,0.0,0.057750759878419454,0.02127659574468085,0.0121580547112462,0.0425531914893617,0.0729483282674772,0.0,0.0,0.0729483282674772,0.0,0.0,0.04559270516717325,0.0425531914893617,0.0121580547112462,0.02735562310030395,0.0,0.0,0.00303951367781155,0.0,0.0,0.03951367781155015,0.00303951367781155,0.00911854103343465,0.0,0.0729483282674772,0.0,0.0,0.00911854103343465,0.0,0.0,0.00303951367781155,0.0121580547112462,0.00911854103343465,0.03343465045592705,0.0121580547112462,0.0060790273556231,0.057750759878419454,0.0,0.0
F3,0.0,0.04964539007092199,0.04964539007092199,0.014184397163120567,0.0,0.04964539007092199,0.04609929078014184,0.014184397163120567,0.0,0.0,0.014184397163120567,0.0,0.0,0.0035460992907801418,0.031914893617021274,0.014184397163120567,0.01773049645390071,0.0,0.014184397163120567,0.010638297872340425,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.024822695035460994,0.014184397163120567,0.04609929078014184,0.05673758865248227,0.0,0.0,0.05319148936170213,0.0,0.0,0.04964539007092199,0.04609929078014184,0.014184397163120567,0.031914893617021274,0.0,0.0,0.0035460992907801418,0.0,0.0,0.04609929078014184,0.0035460992907801418,0.010638297872340425,0.0,0.05319148936170213,0.0,0.0,0.010638297872340425,0.0,0.0,0.0035460992907801418,0.014184397163120567,0.010638297872340425,0.03900709219858156,0.014184397163120567,0.010638297872340425,0.04964539007092199,0.0,0.0
F7,0.0,0.03424657534246575,0.03424657534246575,0.0273972602739726,0.0,0.03424657534246575,0.03424657534246575,0.0273972602739726,0.0,0.0,0.0273972602739726,0.0,0.0,0.00684931506849315,0.03424657534246575,0.0273972602739726,0.03424657534246575,0.0,0.0273972602739726,0.02054794520547945,0.02054794520547945,0.0,0.0,0.0,0.0,0.0,0.03424657534246575,0.03424657534246575,0.0273972602739726,0.03424657534246575,0.03424657534246575,0.0,0.0,0.03424657534246575,0.0,0.0,0.03424657534246575,0.03424657534246575,0.0273972602739726,0.03424657534246575,0.0,0.0,0.00684931506849315,0.0,0.0,0.03424657534246575,0.00684931506849315,0.02054794520547945,0.0,0.03424657534246575,0.0,0.0,0.02054794520547945,0.0,0.0,0.00684931506849315,0.0273972602739726,0.02054794520547945,0.03424657534246575,0.0273972602739726,0.00684931506849315,0.03424657534246575,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.04964539007092199,0.04964539007092199,0.014184397163120567,0.0,0.04964539007092199,0.04609929078014184,0.014184397163120567,0.0,0.0,0.014184397163120567,0.0,0.0,0.0035460992907801418,0.031914893617021274,0.014184397163120567,0.01773049645390071,0.0,0.014184397163120567,0.010638297872340425,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.024822695035460994,0.014184397163120567,0.04609929078014184,0.05673758865248227,0.0,0.0,0.05319148936170213,0.0,0.0,0.04964539007092199,0.04609929078014184,0.014184397163120567,0.031914893617021274,0.0,0.0,0.0035460992907801418,0.0,0.0,0.04609929078014184,0.0035460992907801418,0.010638297872340425,0.0,0.05319148936170213,0.0,0.0,0.010638297872340425,0.0,0.0,0.0035460992907801418,0.014184397163120567,0.010638297872340425,0.03900709219858156,0.014184397163120567,0.010638297872340425,0.04964539007092199,0.0,0.0
FC1,0.0,0.05,0.05,0.014285714285714285,0.0,0.05,0.04642857142857143,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0,0.0,0.0035714285714285713,0.03214285714285714,0.014285714285714285,0.017857142857142856,0.0,0.014285714285714285,0.010714285714285714,0.010714285714285714,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.025,0.014285714285714285,0.04642857142857143,0.05357142857142857,0.0,0.0,0.05357142857142857,0.0,0.0,0.05,0.04642857142857143,0.014285714285714285,0.03214285714285714,0.0,0.0,0.0035714285714285713,0.0,0.0,0.04642857142857143,0.0035714285714285713,0.010714285714285714,0.0,0.05357142857142857,0.0,0.0,0.010714285714285714,0.0,0.0,0.0035714285714285713,0.014285714285714285,0.010714285714285714,0.039285714285714285,0.014285714285714285,0.007142857142857143,0.05,0.0,0.0
C3,0.0,0.03424657534246575,0.03424657534246575,0.0273972602739726,0.0,0.03424657534246575,0.03424657534246575,0.0273972602739726,0.0,0.0,0.0273972602739726,0.0,0.0,0.00684931506849315,0.03424657534246575,0.0273972602739726,0.03424657534246575,0.0,0.0273972602739726,0.02054794520547945,0.02054794520547945,0.0,0.0,0.0,0.0,0.0,0.03424657534246575,0.03424657534246575,0.0273972602739726,0.03424657534246575,0.03424657534246575,0.0,0.0,0.03424657534246575,0.0,0.0,0.03424657534246575,0.03424657534246575,0.0273972602739726,0.03424657534246575,0.0,0.0,0.00684931506849315,0.0,0.0,0.03424657534246575,0.00684931506849315,0.02054794520547945,0.0,0.03424657534246575,0.0,0.0,0.02054794520547945,0.0,0.0,0.00684931506849315,0.0273972602739726,0.02054794520547945,0.03424657534246575,0.0273972602739726,0.00684931506849315,0.03424657534246575,0.0,0.0
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
