,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.05084745762711865,0.059322033898305086,0.059322033898305086,0.059322033898305086,0.0,0.059322033898305086,0.0,0.059322033898305086,0.059322033898305086,0.059322033898305086,0.059322033898305086,0.059322033898305086,0.059322033898305086,0.059322033898305086,0.059322033898305086,0.059322033898305086,0.059322033898305086,0.059322033898305086,0.059322033898305086
caudalmiddlefrontal-rh,0.01812688821752266,0.06646525679758308,0.0634441087613293,0.0634441087613293,0.0,0.0634441087613293,0.02416918429003021,0.05740181268882175,0.05740181268882175,0.0634441087613293,0.03927492447129909,0.0634441087613293,0.06646525679758308,0.0634441087613293,0.0634441087613293,0.05740181268882175,0.0513595166163142,0.0634441087613293,0.054380664652567974
inferiorparietal-rh,0.01639344262295082,0.05737704918032787,0.06557377049180328,0.06557377049180328,0.0,0.06830601092896176,0.03278688524590164,0.060109289617486336,0.05191256830601093,0.06284153005464481,0.03551912568306011,0.06830601092896176,0.06557377049180328,0.06557377049180328,0.05737704918032787,0.06284153005464481,0.04644808743169399,0.06557377049180328,0.05191256830601093
parsopercularis-lh,0.015665796344647518,0.05483028720626632,0.06266318537859007,0.0835509138381201,0.0,0.06527415143603134,0.031331592689295036,0.057441253263707574,0.04960835509138381,0.06005221932114883,0.033942558746736295,0.07049608355091384,0.06266318537859007,0.06266318537859007,0.05483028720626632,0.07049608355091384,0.044386422976501305,0.07049608355091384,0.04960835509138381
parstriangularis-rh,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
postcentral-lh,0.016304347826086956,0.057065217391304345,0.06521739130434782,0.06521739130434782,0.0,0.06793478260869565,0.035326086956521736,0.059782608695652176,0.051630434782608696,0.0625,0.035326086956521736,0.06793478260869565,0.06521739130434782,0.06521739130434782,0.057065217391304345,0.06521739130434782,0.04619565217391304,0.06521739130434782,0.051630434782608696
postcentral-rh,0.0,0.043209876543209874,0.06790123456790123,0.06790123456790123,0.0,0.07407407407407407,0.08024691358024691,0.06790123456790123,0.04938271604938271,0.06172839506172839,0.0,0.07407407407407407,0.06172839506172839,0.06790123456790123,0.043209876543209874,0.08641975308641975,0.030864197530864196,0.06790123456790123,0.05555555555555555
precentral-lh,0.017045454545454544,0.05397727272727273,0.06534090909090909,0.06534090909090909,0.0,0.06818181818181818,0.03409090909090909,0.0625,0.05397727272727273,0.0625,0.03409090909090909,0.06818181818181818,0.0625,0.06534090909090909,0.05397727272727273,0.06534090909090909,0.048295454545454544,0.06534090909090909,0.05397727272727273
precentral-rh,0.018292682926829267,0.057926829268292686,0.06402439024390244,0.06402439024390244,0.0,0.06402439024390244,0.027439024390243903,0.06097560975609756,0.057926829268292686,0.06402439024390244,0.036585365853658534,0.06402439024390244,0.06402439024390244,0.06402439024390244,0.057926829268292686,0.06097560975609756,0.051829268292682924,0.06402439024390244,0.057926829268292686
rostralmiddlefrontal-lh,0.016574585635359115,0.058011049723756904,0.06629834254143646,0.06629834254143646,0.0,0.06629834254143646,0.03038674033149171,0.06077348066298342,0.052486187845303865,0.06353591160220995,0.03591160220994475,0.06629834254143646,0.06629834254143646,0.06629834254143646,0.058011049723756904,0.06077348066298342,0.04696132596685083,0.06629834254143646,0.052486187845303865
