,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.3778112516596328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036699941280093954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22610287843243884,0.047945237179246133,0.0,0.06317755684694353,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003082795067527892,0.0,0.012477980035231944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23987023768545224,0.0,0.0064039408866995075,0.01083743842364532
Fz,0.0,0.3324221073217778,0.05353792161170198,0.012427197470999544,0.003930131004366812,0.0037117903930131003,0.008951965065502183,0.015022548468043687,0.012663755458515284,0.0023289665211062593,0.023548548414463168,0.008369723435225618,0.0,0.0,0.0,0.0,0.014209821308972057,0.0,0.007304364133201168,0.004483439154856627,0.0,0.031157785695787678,0.04468204427536815,0.025162750823800466,0.0,0.0027656477438136825,0.009243085880640467,0.01264509157803556,0.0023289665211062593,0.013461301470785222,0.028430626624159454,0.0005094614264919942,0.0,0.002782436306159081,0.0,0.0,0.010649217277931076,0.0017467248908296944,0.0046663273233852175,0.0,0.015053089363374144,0.012445414847161572,0.03173556228288728,0.0010189228529839884,0.004294478527607362,0.013385217135049695,0.0,0.03016359918200409,0.047750243344853144,0.00516364383243586,0.050712710191907553,0.0,0.0029839883551673945,0.03372840035363142,0.008369723435225618,0.0,0.014617836954483349,0.0,0.0027656477438136825,0.008167010474991293,0.015432171529098686,0.009068591993284575,0.0,0.0
F3,0.0,0.07265613351926399,0.15747581585848222,0.0,0.0,0.027524798063514613,0.014560651108129204,0.032204243078029486,0.0,0.0,0.05023074696766385,0.01778852141272222,0.0,0.0,0.004764473211075153,0.0024271844660194173,0.0,0.0,0.0093042071197411,0.0,0.0,0.011461704422869472,0.031657545539856696,0.017080186983099606,0.0,0.0,0.03902439024390244,0.02823137843028916,0.009888529306005034,0.04038365739644452,0.0844921111023408,0.0,0.0,0.015147428982380438,0.0,0.0,0.005975609756097561,0.016226177633944624,0.016960998412573123,0.023408056410661196,0.0038655160014383315,0.0,0.014764122398505539,0.02813665903649328,0.0,0.0,0.0,0.04700669174976539,0.03670280036133695,0.005753326141675656,0.022241122249410196,0.003550880978065444,0.015012585400934916,0.014810122696696223,0.011707317073170732,0.0,0.04000039466414082,0.004359942466738583,0.0,0.0,0.012965857166662282,0.010248112189859764,0.0,0.0
F7,0.0,0.015157336097700244,0.0,0.13635358455182156,0.037887181648666717,0.0,0.01970853823419893,0.0,0.0,0.0,0.0,0.020711499343913777,0.014309301045679693,0.005531095211887727,0.0,0.00255916345624656,0.013401210787011557,0.0018436984039625756,0.044205509130740936,0.01648321408915795,0.0,0.005778756191524491,0.013108018918636052,0.01213538800220143,0.008943313153549808,0.0018987341772151898,0.0,0.043749701859895865,0.03456282159082576,0.04357573043435542,0.0,0.0,0.0,0.003082003302146395,0.0,0.0061045565775580775,0.09963390175153307,0.04641010835568346,0.026931823278921727,0.008645066252960932,0.014611713008021839,0.006080206985769728,0.012025316455696202,0.0003577325261419923,0.0006329113924050633,0.011612548156301595,0.0,0.011639781252380672,0.005200880572372042,0.003409690425555395,0.0013208585580627408,0.0009356081452944414,0.024472300915388018,0.004890601271162608,0.0,0.0,0.033065820079299924,0.0005778756191524491,0.013324708926261319,0.0801198754610937,0.0,0.08546913190857369,0.004139395005200987,0.003401787487869703
FT9,0.0,0.0037399309551208286,0.0,0.02691327959211386,0.15940309036791228,0.0,0.006688722669735328,0.02217545140344669,0.04177433247200689,0.0,0.007665805340223945,0.008613264427217916,0.011541774332472008,0.007006900523238468,0.00863060989643268,0.0,0.018604651162790697,0.008918296892980437,0.014602184141483524,0.0,0.026159234876485395,0.012349726288495792,0.008183468479317758,0.0024978466838931957,0.0069767441860465115,0.03238587424633936,0.010151708429600687,0.01237054085155351,0.006976409666283084,0.013373108972166965,0.0,0.0014642549526270457,0.017915590008613265,0.0,0.011544041633090795,0.01726121979286536,0.030210938251120763,0.0232307249712313,0.008271001150747987,0.016648218521194677,0.0,0.043259736507455085,0.0005167958656330749,0.0,0.011541774332472008,0.01580370479399034,0.022997416020671835,0.02570221893153892,0.0,0.028361390868750305,0.005753739930955121,0.028431578070965767,0.02513498491935348,0.0367786391042205,0.003273040482342808,0.016363666098726446,0.020210011507479864,0.0,0.011429487198548135,0.03620192703207128,0.0,0.021485188456045096,0.023158803222094362,0.019346950517836595
FC5,0.0,0.010367024908757915,0.038666653962246014,0.0,0.0,0.25856240064796415,0.03362953657852604,0.04202753750891527,0.0,0.0,0.0339236568146464,0.018384255972536782,0.006282158669378964,0.0,0.008615531889434008,0.004648342764753436,0.0,0.0,0.043892910826865285,0.0,0.0,0.03940243822338415,0.04324377619621714,0.018427665430178295,0.009692473375613258,0.0,0.0,0.012564317338757928,0.0053248773483307405,0.00879502213713055,0.07724789165463697,0.0,0.0,0.13684731159787528,0.0,0.0,0.0,0.006461648917075505,0.013359931682461584,0.012504487256192414,0.0,0.00444624090541633,0.006162498504247936,0.02739037624657694,0.0,0.0,0.0065162795381407835,0.005803518008854852,0.010307194826192401,0.007119779825296159,0.010307194826192401,0.0,0.004307765944717004,0.004367596027282518,0.0,0.0,0.027707349929756486,0.0,0.0,0.0,0.0,0.002692353715448127,0.0,0.0
FC1,0.0,0.01391444342226311,0.016406066047792288,0.02609470127278177,0.010579576816927323,0.023099429856938997,0.1580265017996222,0.014787800049556227,0.0,0.013454461821527139,0.004576403616475053,0.02439296445331605,0.004576403616475053,0.004254829806807727,0.010924563017479301,0.007589696412143515,0.01183167764259404,0.0008049678012879485,0.03821827649273759,0.016463891059270007,0.003627637013059493,0.0045205938162741375,0.018014422854272346,0.02461212188860364,0.0,0.01816927322907084,0.005908869014142214,0.029962456485555733,0.022411254459521364,0.03280695929211609,0.04709159830950216,0.0,0.0,0.046474532915100404,0.0,0.009376046433753768,0.028215473680416554,0.025693905272028878,0.01289701844228943,0.002176582207835696,0.0012836254046210516,0.003564857405703772,0.0046322134166759685,0.010148835033315935,0.0,0.005636789820292443,0.0,0.011829662431317237,0.008146433825647309,0.002489389206661893,0.01139173263296056,0.006182745211678306,0.03277592247130519,0.02541082584847069,0.004109452208584276,0.001785913606429289,0.030570755069116357,0.022769525651611507,0.012811968824963934,0.02253300145926968,0.0,0.0301026612803107,0.010548052237972987,0.009320236633552852
C3,0.0,0.02238485150929308,0.032330070970839855,0.0,0.03227011154715426,0.02781815576377244,0.011242203389404404,0.19220150388793494,0.0044566067240031275,0.0,0.025820513916368547,0.014483531899167608,0.009695074276778733,0.0028537920250195467,0.013881046537060456,0.0012861736334405145,0.0044566067240031275,0.0,0.005746677091477717,0.0,0.055524814653731186,0.0073885848318999215,0.02161216686066536,0.013799843627834246,0.00875684128225176,0.0044566067240031275,0.0,0.011376075058639561,0.008678655199374512,0.011141516810007818,0.022673964034401875,0.0,0.0018373729476153244,0.022947615324472245,0.021507206443941083,0.028445781345454273,0.0,0.010855672513443732,0.0,0.008795934323690384,0.0,0.0044566067240031275,0.002032838154808444,0.01872556684910086,0.0044566067240031275,0.0,0.00617670054730258,0.02488089820976496,0.02238485150929308,0.0712979141159819,0.023596735793890423,0.0044566067240031275,0.03929705432047243,0.009421422986708367,0.0,0.027813504823151126,0.0050820953870211105,0.0,0.0,0.0,0.0008600469116497264,0.005903049257232213,0.033894421133874184,0.03453750795059444
T7,0.0,0.03424930306650737,0.0,0.0,0.04887901434053726,0.0,0.0,0.011411835992728742,0.2175768971604721,0.011150935882118677,0.008988083215512017,0.00888709351646132,0.013633609371844073,0.007372248030700869,0.002190362405416169,0.0,0.03572493510878935,0.014934289127837515,0.007170268632599475,0.012345679012345678,0.005756412845889719,0.026566283468875105,0.009089072914562714,0.047988849064117885,0.008180165623106443,0.07402211123410056,0.00444354675823066,0.008562325766626843,0.0,0.0,0.0,0.0017168248838618462,0.02100585740254494,0.0,0.0038376085639264795,0.0,0.0,0.0,0.0,0.013633609371844073,0.0,0.07277673248814084,0.030266825965750695,0.0,0.045095178467821774,0.017722023098367186,0.019289032518683094,0.00989699050696829,0.007566706491437674,0.029971096273548475,0.006969334926324173,0.029388002423752776,0.014138557867097556,0.03554837406584528,0.008151610192470841,0.005655423146839022,0.0015929908403026682,0.0,0.00665389796509175,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.004457262716308337,0.0,0.0,0.0,0.0,0.015600419507079182,0.0,0.007603565810173046,0.20894687149715924,0.0,0.015076035658101731,0.0,0.0,0.0,0.0,0.048898793917147354,0.0,0.0,0.009701101206082852,0.05365648641075932,0.0,0.0,0.024777136864184583,0.0,0.055503951391718265,0.05757915382460073,0.015076035658101731,0.0,0.007472469847928684,0.04370946548844615,0.0,0.0,0.030106119775500824,0.0,0.0,0.0,0.00865233350812795,0.007865757734661772,0.004202857943401513,0.0,0.0026219192448872575,0.06253450038737406,0.0,0.0008405715886803026,0.05479811221814368,0.0,0.0,0.0,0.02081483578733906,0.0,0.0008405715886803026,0.04786706979623963,0.0082398348653697,0.05687867750070048,0.056178201176800224,0.0,0.012060828526481384,0.05743905855982068,0.0,0.0,0.0,0.0,0.0
