,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.05963302752293578,0.02522935779816514,0.0,0.06422018348623854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05963302752293578,0.020642201834862386,0.0022935779816513763,0.0,0.05733944954128441,0.006880733944954129,0.0481651376146789,0.022935779816513763,0.0,0.0,0.05504587155963303,0.0389908256880734,0.0022935779816513763,0.0,0.0,0.0,0.0022935779816513763,0.0,0.0,0.06422018348623854,0.0,0.0045871559633027525,0.0,0.0,0.0,0.05963302752293578,0.0045871559633027525,0.0045871559633027525,0.06192660550458716,0.009174311926605505,0.0022935779816513763,0.006880733944954129,0.0,0.0045871559633027525,0.0022935779816513763,0.0022935779816513763,0.0,0.0,0.0,0.0,0.0022935779816513763,0.0,0.06192660550458716,0.022935779816513763,0.05963302752293578,0.05963302752293578,0.0389908256880734,0.0,0.06192660550458716,0.0,0.0
Fz,0.04932735426008968,0.04484304932735426,0.0,0.04932735426008968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04932735426008968,0.03587443946188341,0.004484304932735426,0.0,0.04484304932735426,0.013452914798206279,0.04484304932735426,0.04035874439461883,0.0,0.0,0.04484304932735426,0.053811659192825115,0.004484304932735426,0.0,0.0,0.0,0.004484304932735426,0.0,0.0,0.04932735426008968,0.0,0.008968609865470852,0.0,0.0,0.0,0.04932735426008968,0.008968609865470852,0.008968609865470852,0.04932735426008968,0.017937219730941704,0.004484304932735426,0.013452914798206279,0.0,0.008968609865470852,0.004484304932735426,0.004484304932735426,0.0,0.0,0.0,0.0,0.004484304932735426,0.0,0.04932735426008968,0.04035874439461883,0.04484304932735426,0.04932735426008968,0.04932735426008968,0.0,0.04932735426008968,0.0,0.0
F3,0.0,0.0,0.045989304812834225,0.0,0.0,0.03208556149732621,0.0,0.026737967914438502,0.020320855614973262,0.047058823529411764,0.0481283422459893,0.0,0.0,0.0,0.044919786096256686,0.0106951871657754,0.0,0.0,0.0,0.0,0.0074866310160427805,0.03529411764705882,0.0,0.0,0.022459893048128343,0.03529411764705882,0.039572192513368985,0.03529411764705882,0.033155080213903745,0.031016042780748664,0.045989304812834225,0.0,0.0481283422459893,0.0,0.0213903743315508,0.019251336898395723,0.026737967914438502,0.0,0.0,0.0,0.0,0.0053475935828877,0.03529411764705882,0.006417112299465241,0.033155080213903745,0.0213903743315508,0.0021390374331550803,0.0213903743315508,0.009625668449197862,0.009625668449197862,0.033155080213903745,0.0481283422459893,0.0374331550802139,0.009625668449197862,0.0,0.0,0.0,0.0,0.0,0.039572192513368985,0.0,0.0053475935828877,0.0053475935828877
F7,0.05363984674329502,0.0210727969348659,0.0,0.08045977011494253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05363984674329502,0.017241379310344827,0.0019157088122605363,0.0,0.05938697318007663,0.005747126436781609,0.040229885057471264,0.019157088122605363,0.0,0.0,0.04980842911877394,0.032567049808429116,0.0019157088122605363,0.0,0.0,0.0,0.0019157088122605363,0.0,0.0,0.08237547892720307,0.0,0.0038314176245210726,0.0,0.0,0.0,0.05363984674329502,0.0038314176245210726,0.0038314176245210726,0.07854406130268199,0.007662835249042145,0.0019157088122605363,0.005747126436781609,0.0,0.0038314176245210726,0.0019157088122605363,0.0019157088122605363,0.0,0.0,0.0,0.0,0.0019157088122605363,0.0,0.06896551724137931,0.019157088122605363,0.07088122605363985,0.05363984674329502,0.032567049808429116,0.0,0.06513409961685823,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.03929024081115336,0.0,0.0,0.035487959442332066,0.0,0.030418250950570342,0.024081115335868188,0.03929024081115336,0.03929024081115336,0.0,0.0,0.0,0.03802281368821293,0.012674271229404309,0.0,0.0,0.0,0.0,0.008871989860583017,0.036755386565272496,0.0,0.0,0.025348542458808618,0.036755386565272496,0.03929024081115336,0.036755386565272496,0.034220532319391636,0.034220532319391636,0.03929024081115336,0.0,0.03929024081115336,0.0,0.025348542458808618,0.022813688212927757,0.030418250950570342,0.0,0.0,0.0,0.0,0.0063371356147021544,0.034220532319391636,0.0076045627376425855,0.035487959442332066,0.024081115335868188,0.0025348542458808617,0.024081115335868188,0.011406844106463879,0.011406844106463879,0.035487959442332066,0.03929024081115336,0.036755386565272496,0.011406844106463879,0.0,0.0,0.0,0.0,0.0,0.03929024081115336,0.0,0.0063371356147021544,0.0063371356147021544
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.036775106082036775,0.0,0.0,0.03536067892503536,0.0,0.033946251768033946,0.026874115983026876,0.036775106082036775,0.036775106082036775,0.0,0.0,0.0,0.036775106082036775,0.01272984441301273,0.0,0.0,0.0,0.0,0.009900990099009901,0.03536067892503536,0.0,0.0,0.028288543140028287,0.03536067892503536,0.036775106082036775,0.03536067892503536,0.03253182461103253,0.033946251768033946,0.036775106082036775,0.0,0.036775106082036775,0.0,0.028288543140028287,0.02545968882602546,0.033946251768033946,0.0,0.0,0.0,0.0,0.007072135785007072,0.03253182461103253,0.008486562942008486,0.033946251768033946,0.026874115983026876,0.002828854314002829,0.026874115983026876,0.01272984441301273,0.01272984441301273,0.03536067892503536,0.036775106082036775,0.03536067892503536,0.01272984441301273,0.0,0.0,0.0,0.0,0.0,0.036775106082036775,0.0,0.007072135785007072,0.007072135785007072
T7,0.0,0.0,0.033928571428571426,0.0,0.0,0.033928571428571426,0.0,0.033928571428571426,0.030357142857142857,0.033928571428571426,0.033928571428571426,0.0,0.0,0.0,0.033928571428571426,0.0125,0.0,0.0,0.0,0.0,0.0125,0.033928571428571426,0.0,0.0,0.030357142857142857,0.033928571428571426,0.033928571428571426,0.033928571428571426,0.033928571428571426,0.033928571428571426,0.033928571428571426,0.0,0.033928571428571426,0.0,0.03214285714285714,0.02857142857142857,0.033928571428571426,0.0,0.0,0.0,0.0,0.007142857142857143,0.033928571428571426,0.008928571428571428,0.033928571428571426,0.02857142857142857,0.0017857142857142857,0.02857142857142857,0.01607142857142857,0.01607142857142857,0.033928571428571426,0.033928571428571426,0.033928571428571426,0.01607142857142857,0.0,0.0,0.0,0.0,0.0,0.033928571428571426,0.0,0.008928571428571428,0.008928571428571428
TP9,0.0,0.0,0.04584221748400853,0.0,0.0,0.031982942430703626,0.0,0.026652452025586353,0.02025586353944563,0.046908315565031986,0.04904051172707889,0.0,0.0,0.0,0.04477611940298507,0.010660980810234541,0.0,0.0,0.0,0.0,0.007462686567164179,0.035181236673773986,0.0,0.0,0.022388059701492536,0.035181236673773986,0.039445628997867806,0.035181236673773986,0.03304904051172708,0.03091684434968017,0.04584221748400853,0.0,0.04904051172707889,0.0,0.021321961620469083,0.019189765458422176,0.026652452025586353,0.0,0.0,0.0,0.0,0.005330490405117271,0.035181236673773986,0.006396588486140725,0.03304904051172708,0.021321961620469083,0.0021321961620469083,0.021321961620469083,0.009594882729211088,0.009594882729211088,0.03304904051172708,0.04904051172707889,0.03731343283582089,0.009594882729211088,0.0,0.0,0.0,0.0,0.0,0.039445628997867806,0.0,0.005330490405117271,0.005330490405117271
