,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.13487251243781095,0.055892412935323384,0.0,0.0,0.036458333333333336,0.07462686567164178,0.11473880597014925,0.005208333333333333,0.06040111940298507,0.07377176616915423,0.057291666666666664,0.014925373134328358,0.0,0.14458955223880599,0.06630907960199005,0.048429726368159204,0.026041666666666668,0.0,0.08644278606965174
caudalmiddlefrontal-rh,0.09231069476971115,0.19359875097580015,0.0,0.0,0.0,0.10655737704918032,0.07142857142857142,0.0,0.0,0.0,0.09523809523809523,0.05737704918032787,0.0,0.17798594847775173,0.09836065573770492,0.10714285714285714,0.0,0.0,0.0
inferiorparietal-rh,0.0,0.0,0.6000744047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,0.0,0.0,0.0,0.0,0.25930059523809523,0.0
parsopercularis-lh,0.0,0.0,0.0,0.4980769230769231,0.0,0.0,0.0,0.22307692307692306,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.125,0.0
parstriangularis-rh,0.043689320388349516,0.0,0.0,0.0,0.4719940253920837,0.0,0.05825242718446602,0.009708737864077669,0.014563106796116505,0.05825242718446602,0.16878267363704258,0.0,0.0,0.04854368932038835,0.038834951456310676,0.0,0.02912621359223301,0.0,0.05825242718446602
postcentral-lh,0.04824561403508772,0.05263157894736842,0.0,0.0,0.0,0.08771929824561403,0.03508771929824561,0.0,0.03070175438596491,0.021929824561403508,0.0,0.03508771929824561,0.0,0.09649122807017543,0.05263157894736842,0.013157894736842105,0.0,0.0,0.02631578947368421
postcentral-rh,0.12232829866058706,0.024793388429752067,0.0,0.0,0.04132231404958678,0.0603448275862069,0.14370190937589056,0.008264462809917356,0.07274152180108293,0.09753491023083499,0.06198347107438017,0.0,0.0,0.14819036762610432,0.03305785123966942,0.06789683670561414,0.02066115702479339,0.0,0.09717868338557994
precentral-lh,0.03333333333333333,0.0,0.0,0.18184818481848183,0.03333333333333333,0.0,0.03333333333333333,0.3547854785478548,0.0,0.03333333333333333,0.03333333333333333,0.0891089108910891,0.07425742574257425,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333
precentral-rh,0.1538095238095238,0.0,0.0,0.0,0.03571428571428571,0.04666666666666667,0.12476190476190477,0.0,0.17142857142857143,0.06904761904761905,0.0,0.0,0.0,0.12476190476190477,0.03571428571428571,0.07333333333333333,0.05333333333333334,0.0,0.11142857142857143
rostralmiddlefrontal-lh,0.08533653846153846,0.0,0.0,0.0,0.0625,0.038461538461538464,0.1109775641025641,0.010416666666666666,0.054086538461538464,0.2171474358974359,0.036458333333333336,0.0,0.0,0.12379807692307693,0.041666666666666664,0.10256410256410256,0.03125,0.0,0.08533653846153846
rostralmiddlefrontal-rh,0.046762589928057555,0.03237410071942446,0.0,0.0,0.3122956180510137,0.0,0.06115107913669065,0.007194244604316547,0.007194244604316547,0.03237410071942446,0.3172007848266841,0.0,0.0,0.0539568345323741,0.02877697841726619,0.04316546762589928,0.017985611510791366,0.0,0.039568345323741004
superiorfrontal-lh,0.0,0.02252252252252252,0.0,0.05855855855855856,0.0,0.02702702702702703,0.0,0.08558558558558559,0.0,0.0,0.0,0.6666666666666666,0.06756756756756757,0.04504504504504504,0.02702702702702703,0.0,0.0,0.0,0.0
superiorfrontal-rh,0.0,0.0,0.08849557522123894,0.05752212389380531,0.0,0.0,0.0,0.061946902654867256,0.0,0.0,0.0,0.061946902654867256,0.668141592920354,0.0,0.0,0.0,0.0,0.061946902654867256,0.0
superiorparietal-lh,0.10742264003133568,0.07412847630238935,0.0,0.0,0.036036036036036036,0.07971014492753623,0.09929494712103407,0.009009009009009009,0.04249902075989033,0.06502154328241284,0.05855855855855856,0.043478260869565216,0.0,0.1717587152369761,0.07951429690560124,0.04876615746180964,0.02252252252252252,0.0,0.06227967097532315
superiorparietal-rh,0.09126984126984126,0.08928571428571429,0.0,0.0,0.04861111111111111,0.09821428571428571,0.05555555555555555,0.006944444444444444,0.020833333333333332,0.04861111111111111,0.041666666666666664,0.07142857142857142,0.0,0.16269841269841268,0.1746031746031746,0.0,0.034722222222222224,0.0,0.05555555555555555
superiortemporal-lh,0.060000000000000005,0.09,0.0,0.0,0.0,0.01,0.09,0.0,0.09,0.06,0.1,0.0,0.0,0.1,0.0,0.31000000000000005,0.08,0.0,0.01
superiortemporal-rh,0.049019607843137254,0.0,0.0,0.0,0.06862745098039216,0.0,0.049019607843137254,0.0,0.15980392156862744,0.06862745098039216,0.049019607843137254,0.0,0.0,0.049019607843137254,0.049019607843137254,0.15,0.25882352941176473,0.0,0.049019607843137254
supramarginal-lh,0.0,0.0,0.21101694915254238,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016949152542373,0.0,0.0,0.0,0.0,0.5372881355932203,0.0
supramarginal-rh,0.11931818181818182,0.0,0.0,0.0,0.056818181818181816,0.0625,0.1375,0.011363636363636364,0.07954545454545454,0.11363636363636365,0.05113636363636364,0.0,0.0,0.1318181818181818,0.045454545454545456,0.0375,0.028409090909090908,0.0,0.125
