,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.051587301587301584,0.01984126984126984,0.05555555555555555,0.041666666666666664,0.0,0.0,0.00992063492063492,0.00992063492063492,0.0,0.05555555555555555,0.041666666666666664,0.01984126984126984,0.0,0.0,0.027777777777777776,0.003968253968253968,0.0,0.0,0.01984126984126984,0.0,0.0,0.05555555555555555,0.0,0.02976190476190476,0.003968253968253968,0.00992063492063492,0.05357142857142857,0.051587301587301584,0.0,0.01984126984126984,0.0,0.0,0.005952380952380952,0.05357142857142857,0.0,0.005952380952380952,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.013888888888888888,0.0,0.007936507936507936,0.015873015873015872,0.01984126984126984,0.01984126984126984,0.03373015873015873,0.0,0.0496031746031746,0.01984126984126984,0.027777777777777776,0.01984126984126984,0.0,0.015873015873015872,0.05555555555555555,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.02631578947368421,0.03508771929824561,0.038011695906432746,0.038011695906432746,0.0,0.0,0.014619883040935672,0.014619883040935672,0.0,0.038011695906432746,0.029239766081871343,0.03508771929824561,0.0,0.0,0.038011695906432746,0.005847953216374269,0.0,0.0,0.03216374269005848,0.0,0.0,0.038011695906432746,0.0,0.038011695906432746,0.0,0.023391812865497075,0.038011695906432746,0.038011695906432746,0.0,0.038011695906432746,0.0,0.0,0.008771929824561403,0.038011695906432746,0.0,0.008771929824561403,0.0,0.0,0.038011695906432746,0.0,0.0,0.0,0.02046783625730994,0.0,0.011695906432748537,0.023391812865497075,0.029239766081871343,0.03216374269005848,0.038011695906432746,0.0,0.038011695906432746,0.029239766081871343,0.017543859649122806,0.038011695906432746,0.0,0.03216374269005848,0.038011695906432746,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.03828483920367534,0.018376722817764167,0.05666156202143951,0.03828483920367534,0.0,0.0,0.007656967840735069,0.007656967840735069,0.0,0.05819295558958652,0.03215926493108729,0.018376722817764167,0.0,0.0,0.027565084226646247,0.0030627871362940277,0.0,0.0,0.016845329249617153,0.0,0.0,0.05819295558958652,0.0,0.04134762633996937,0.0015313935681470138,0.013782542113323124,0.05972434915773354,0.055130168453292494,0.0,0.021439509954058193,0.0,0.0,0.004594180704441042,0.05972434915773354,0.0,0.004594180704441042,0.0,0.0,0.05972434915773354,0.0,0.0,0.0,0.010719754977029096,0.0,0.006125574272588055,0.01225114854517611,0.015313935681470138,0.016845329249617153,0.0444104134762634,0.0,0.05666156202143951,0.015313935681470138,0.019908116385911178,0.021439509954058193,0.0,0.018376722817764167,0.05972434915773354,0.0,0.0,0.0,0.0
FC5,0.0,0.0,0.03529411764705882,0.023529411764705882,0.047058823529411764,0.047058823529411764,0.0,0.0,0.00980392156862745,0.00980392156862745,0.0,0.047058823529411764,0.03333333333333333,0.023529411764705882,0.0,0.0,0.03529411764705882,0.00392156862745098,0.0,0.0,0.021568627450980392,0.0,0.0,0.047058823529411764,0.0,0.041176470588235294,0.0,0.0196078431372549,0.050980392156862744,0.049019607843137254,0.0,0.029411764705882353,0.0,0.0,0.0058823529411764705,0.050980392156862744,0.0,0.0058823529411764705,0.0,0.0,0.050980392156862744,0.0,0.0,0.0,0.013725490196078431,0.0,0.00784313725490196,0.01568627450980392,0.0196078431372549,0.021568627450980392,0.045098039215686274,0.0,0.050980392156862744,0.0196078431372549,0.011764705882352941,0.029411764705882353,0.0,0.025490196078431372,0.050980392156862744,0.0,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.125,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.017857142857142856,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.03571428571428571,0.0,0.0,0.08928571428571429,0.0,0.125,0.0,0.07142857142857142,0.0,0.0,0.0
T7,0.0,0.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.0,0.0273224043715847,0.0273224043715847,0.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.0,0.03278688524590164,0.01092896174863388,0.0,0.0,0.03278688524590164,0.0,0.0,0.03278688524590164,0.0,0.03278688524590164,0.0,0.00546448087431694,0.03278688524590164,0.03278688524590164,0.0,0.03278688524590164,0.0,0.0,0.01639344262295082,0.03278688524590164,0.0,0.01639344262295082,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.03278688524590164,0.0,0.02185792349726776,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.02185792349726776,0.03278688524590164,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.0,0.0273224043715847,0.0273224043715847,0.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.0,0.03278688524590164,0.01092896174863388,0.0,0.0,0.03278688524590164,0.0,0.0,0.03278688524590164,0.0,0.03278688524590164,0.0,0.00546448087431694,0.03278688524590164,0.03278688524590164,0.0,0.03278688524590164,0.0,0.0,0.01639344262295082,0.03278688524590164,0.0,0.01639344262295082,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.03278688524590164,0.0,0.02185792349726776,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.02185792349726776,0.03278688524590164,0.0,0.0,0.0,0.0
