,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.029835152078012538,0.026410494543765962,0.01059322033898305,0.00847457627118644,0.02217320640817274,0.0,0.00847457627118644,0.00423728813559322,0.027716508010215926,0.02429185047596935,0.010273972602739725,0.006355932203389831,0.027716508010215926,0.027716508010215926,0.012711864406779662,0.017123287671232876,0.0136986301369863,0.0,0.00847457627118644,0.012711864406779662,0.019561179475272812,0.02902252147666589,0.011899233805433016,0.017123287671232876,0.01059322033898305,0.012711864406779662,0.027716508010215926,0.017123287671232876,0.01059322033898305,0.00847457627118644,0.00847457627118644,0.029835152078012538,0.0,0.0,0.025597863942419315,0.025597863942419315,0.010273972602739725,0.01059322033898305,0.016629904806129556,0.00847457627118644,0.01059322033898305,0.012711864406779662,0.02054794520547945,0.03325980961225911,0.02429185047596935,0.027716508010215926,0.0,0.0,0.02429185047596935,0.0136986301369863,0.01059322033898305,0.0,0.00847457627118644,0.01059322033898305,0.0,0.012711864406779662,0.0,0.010273972602739725,0.01059322033898305,0.00847457627118644,0.012711864406779662,0.029835152078012538,0.014017877873229626,0.006355932203389831,0.027716508010215926,0.029835152078012538,0.0136986301369863,0.027716508010215926
bankssts-rh,0.027789533079418817,0.02909437156157427,0.007352941176470588,0.004901960784313725,0.01929044999294682,0.0,0.004901960784313725,0.00980392156862745,0.025338552687261956,0.021741430385103684,0.007194244604316547,0.012254901960784314,0.025338552687261956,0.025338552687261956,0.00980392156862745,0.017985611510791366,0.014388489208633094,0.0,0.004901960784313725,0.00980392156862745,0.015852024262942587,0.02288757229510509,0.004901960784313725,0.017985611510791366,0.007352941176470588,0.00980392156862745,0.025338552687261956,0.017985611510791366,0.01715686274509804,0.014705882352941176,0.014705882352941176,0.027789533079418817,0.0,0.0,0.02288757229510509,0.02288757229510509,0.01079136690647482,0.007352941176470588,0.00964522499647341,0.014705882352941176,0.012254901960784314,0.00980392156862745,0.017985611510791366,0.027789533079418817,0.031545351953731135,0.032691493863732546,0.0,0.0,0.02909437156157427,0.014388489208633094,0.007352941176470588,0.0,0.012254901960784314,0.014705882352941176,0.0,0.014705882352941176,0.0,0.01079136690647482,0.007352941176470588,0.014705882352941176,0.00980392156862745,0.027789533079418817,0.020753985047256313,0.012254901960784314,0.032691493863732546,0.027789533079418817,0.014388489208633094,0.03514247425588941
caudalanteriorcingulate-lh,0.013888888888888888,0.011574074074074073,0.026649450958496183,0.02433463614368137,0.009259259259259259,0.01507537688442211,0.021822073329611016,0.017390191699236925,0.011574074074074073,0.011574074074074073,0.005025125628140704,0.017192443699981387,0.011574074074074073,0.011574074074074073,0.026451702959240646,0.0,0.0,0.007537688442211055,0.02433463614368137,0.026451702959240646,0.01911176251628513,0.009259259259259259,0.019309510515540668,0.0,0.026649450958496183,0.028964265773310998,0.011574074074074073,0.0,0.02433463614368137,0.019507258514796205,0.006944444444444444,0.013888888888888888,0.01507537688442211,0.01507537688442211,0.009259259259259259,0.009259259259259259,0.0,0.026649450958496183,0.014482132886655499,0.022019821328866554,0.02433463614368137,0.028964265773310998,0.0,0.013888888888888888,0.009259259259259259,0.009259259259259259,0.01507537688442211,0.01507537688442211,0.009259259259259259,0.0,0.026649450958496183,0.01256281407035176,0.022019821328866554,0.02433463614368137,0.01507537688442211,0.026649450958496183,0.01507537688442211,0.0,0.026649450958496183,0.019507258514796205,0.026451702959240646,0.013888888888888888,0.009259259259259259,0.01970500651405174,0.009259259259259259,0.013888888888888888,0.0,0.009259259259259259
caudalanteriorcingulate-rh,0.012987012987012988,0.008658008658008658,0.028062389871435098,0.030226892035937262,0.015151515151515152,0.01507537688442211,0.02771432922186691,0.01507537688442211,0.015151515151515152,0.012987012987012988,0.005025125628140704,0.014727316234853923,0.012987012987012988,0.015151515151515152,0.02338532489286258,0.0,0.0,0.007537688442211055,0.030226892035937262,0.02338532489286258,0.016195697100219713,0.012987012987012988,0.02520176640779656,0.0,0.028062389871435098,0.02589788770693293,0.015151515151515152,0.0,0.021568883377928602,0.01689181839935609,0.004329004329004329,0.010822510822510822,0.01507537688442211,0.01507537688442211,0.015151515151515152,0.015151515151515152,0.0,0.028062389871435098,0.020524701429224045,0.019404381213426438,0.021568883377928602,0.02589788770693293,0.0021645021645021645,0.012987012987012988,0.006493506493506494,0.006493506493506494,0.01507537688442211,0.01507537688442211,0.006493506493506494,0.0,0.032391394200439426,0.01256281407035176,0.019404381213426438,0.021568883377928602,0.01507537688442211,0.02373338554243077,0.01507537688442211,0.0,0.028062389871435098,0.01689181839935609,0.02338532489286258,0.012987012987012988,0.006493506493506494,0.017239879048924274,0.006493506493506494,0.010822510822510822,0.0,0.006493506493506494
caudalmiddlefrontal-lh,0.030972624497804354,0.02304649786664175,0.012987012987012988,0.015151515151515152,0.029540004360148246,0.0,0.015151515151515152,0.0,0.03313712666230652,0.027375502195646082,0.007194244604316547,0.0021645021645021645,0.030972624497804354,0.03313712666230652,0.010822510822510822,0.017985611510791366,0.014388489208633094,0.0,0.015151515151515152,0.010822510822510822,0.012255130960166932,0.030972624497804354,0.015151515151515152,0.017985611510791366,0.012987012987012988,0.010822510822510822,0.03313712666230652,0.017985611510791366,0.006493506493506494,0.004329004329004329,0.004329004329004329,0.02880812233330219,0.0,0.0,0.03313712666230652,0.03313712666230652,0.01079136690647482,0.012987012987012988,0.020181257591329535,0.004329004329004329,0.006493506493506494,0.010822510822510822,0.02015011367529353,0.030972624497804354,0.02088199570213959,0.024479118004297862,0.0,0.0,0.02088199570213959,0.014388489208633094,0.017316017316017316,0.0,0.004329004329004329,0.006493506493506494,0.0,0.008658008658008658,0.0,0.01079136690647482,0.012987012987012988,0.004329004329004329,0.010822510822510822,0.030972624497804354,0.010090628795664768,0.0021645021645021645,0.024479118004297862,0.02880812233330219,0.014388489208633094,0.024479118004297862
caudalmiddlefrontal-rh,0.0,0.0,0.01507537688442211,0.01507537688442211,0.0,0.05353691534596057,0.01256281407035176,0.01507537688442211,0.0,0.0,0.02040974101275609,0.01256281407035176,0.0,0.0,0.01256281407035176,0.03076923076923077,0.038461538461538464,0.04599922690374952,0.01507537688442211,0.01256281407035176,0.007537688442211055,0.0,0.010050251256281407,0.0,0.01507537688442211,0.01507537688442211,0.0,0.0,0.01507537688442211,0.01256281407035176,0.0,0.0,0.05353691534596057,0.05353691534596057,0.0,0.0,0.03076923076923077,0.01507537688442211,0.02292230382682644,0.01507537688442211,0.01507537688442211,0.01507537688442211,0.046153846153846156,0.0,0.0,0.0,0.05353691534596057,0.05353691534596057,0.0,0.0,0.01507537688442211,0.035639737147274836,0.01507537688442211,0.01507537688442211,0.01507537688442211,0.01507537688442211,0.01507537688442211,0.03076923076923077,0.01507537688442211,0.01256281407035176,0.01256281407035176,0.0,0.0,0.01507537688442211,0.0,0.0,0.038461538461538464,0.0
cuneus-lh,0.013574660633484163,0.00904977375565611,0.028037470550839536,0.028037470550839536,0.013574660633484163,0.014462809917355372,0.028037470550839536,0.012396694214876033,0.01583710407239819,0.013574660633484163,0.008264462809917356,0.0167252533562694,0.013574660633484163,0.01583710407239819,0.019576680004487493,0.0,0.0,0.004132231404958678,0.025971354848360197,0.02577502711192551,0.019380352268052806,0.013574660633484163,0.025971354848360197,0.0,0.028037470550839536,0.02577502711192551,0.01583710407239819,0.0,0.021250140234097454,0.018987696795183428,0.004524886877828055,0.011312217194570135,0.014462809917355372,0.014462809917355372,0.013574660633484163,0.013574660633484163,0.0,0.028037470550839536,0.02164279570696683,0.021053812497662767,0.021250140234097454,0.02577502711192551,0.0,0.013574660633484163,0.006787330316742082,0.006787330316742082,0.014462809917355372,0.014462809917355372,0.006787330316742082,0.0,0.03029991398975356,0.014462809917355372,0.018987696795183428,0.021250140234097454,0.014462809917355372,0.023512583673011483,0.014462809917355372,0.0,0.028037470550839536,0.018987696795183428,0.02577502711192551,0.013574660633484163,0.006787330316742082,0.0167252533562694,0.006787330316742082,0.011312217194570135,0.0,0.006787330316742082
cuneus-rh,0.0,0.016666666666666666,0.01524390243902439,0.01524390243902439,0.0,0.01524390243902439,0.012195121951219513,0.06524390243902439,0.0,0.0,0.003048780487804878,0.05386178861788618,0.0,0.0,0.01524390243902439,0.0,0.0,0.009146341463414634,0.01524390243902439,0.012195121951219513,0.01443089430894309,0.0,0.009146341463414634,0.0,0.01524390243902439,0.01524390243902439,0.0,0.0,0.04024390243902439,0.04552845528455285,0.025,0.0,0.01524390243902439,0.01524390243902439,0.0,0.0,0.0,0.01524390243902439,0.006097560975609756,0.04857723577235772,0.02357723577235772,0.01524390243902439,0.0,0.0,0.03333333333333333,0.016666666666666666,0.01524390243902439,0.01524390243902439,0.016666666666666666,0.0,0.01524390243902439,0.012195121951219513,0.03191056910569105,0.03191056910569105,0.01524390243902439,0.03191056910569105,0.01524390243902439,0.0,0.01524390243902439,0.03719512195121952,0.012195121951219513,0.0,0.025,0.06524390243902439,0.016666666666666666,0.0,0.0,0.025
entorhinal-lh,0.031829170024174055,0.02420283181765857,0.012605042016806723,0.01050420168067227,0.02420283181765857,0.0,0.01050420168067227,0.0021008403361344537,0.0297283296880396,0.026303672153793024,0.010273972602739725,0.004201680672268907,0.0297283296880396,0.0297283296880396,0.012605042016806723,0.017123287671232876,0.0136986301369863,0.0,0.01050420168067227,0.012605042016806723,0.01735351674916542,0.03105214688615172,0.013928859214918845,0.017123287671232876,0.012605042016806723,0.012605042016806723,0.0297283296880396,0.017123287671232876,0.008403361344537815,0.0063025210084033615,0.0063025210084033615,0.0297283296880396,0.0,0.0,0.027627489351905146,0.027627489351905146,0.010273972602739725,0.012605042016806723,0.01867733394727754,0.0063025210084033615,0.008403361344537815,0.012605042016806723,0.02054794520547945,0.03525382755842063,0.022101991481524114,0.02552664901577069,0.0,0.0,0.022101991481524114,0.0136986301369863,0.012605042016806723,0.0,0.0063025210084033615,0.008403361344537815,0.0,0.01050420168067227,0.0,0.010273972602739725,0.012605042016806723,0.0063025210084033615,0.012605042016806723,0.031829170024174055,0.01182801887878439,0.004201680672268907,0.02552664901577069,0.0297283296880396,0.0136986301369863,0.02552664901577069
entorhinal-rh,0.031874500399680254,0.025962563282707168,0.011574074074074073,0.009259259259259259,0.023647748467892353,0.0,0.009259259259259259,0.0023148148148148147,0.02955968558486544,0.025962563282707168,0.007194244604316547,0.004629629629629629,0.02955968558486544,0.02955968558486544,0.013888888888888888,0.017985611510791366,0.014388489208633094,0.0,0.009259259259259259,0.013888888888888888,0.015171196376232347,0.027244870770050625,0.009259259259259259,0.017985611510791366,0.011574074074074073,0.013888888888888888,0.02955968558486544,0.017985611510791366,0.009259259259259259,0.006944444444444444,0.006944444444444444,0.031874500399680254,0.0,0.0,0.027244870770050625,0.027244870770050625,0.01079136690647482,0.011574074074074073,0.014138689048760991,0.006944444444444444,0.009259259259259259,0.013888888888888888,0.017985611510791366,0.031874500399680254,0.023647748467892353,0.027244870770050625,0.0,0.0,0.023647748467892353,0.014388489208633094,0.011574074074074073,0.0,0.006944444444444444,0.009259259259259259,0.0,0.011574074074074073,0.0,0.01079136690647482,0.011574074074074073,0.006944444444444444,0.013888888888888888,0.031874500399680254,0.012856381561417532,0.004629629629629629,0.027244870770050625,0.031874500399680254,0.014388489208633094,0.027244870770050625
