,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
Fp1,-0.4188230053780966,-0.06816311893652191,0.0793077332571499,-0.04914942521340153,0.1630555190197954,-0.05087961702967146,0.21461844408252484,-0.08664375942606946,0.23424153851084828,0.029892527693305162,-0.038745370592388764,-0.009186749248558732,-0.2453648797762446,-0.1047279419660634,-0.07284707665432141,-0.018016492635961914,0.09548630984030447,-0.08579106670780896,-0.22795314165816474,-0.09625866684383498,-0.07139879586835164,-0.014731371186038386,0.12020030041217017,0.16542557726788013,0.07471800136451012,0.024952719723158386,0.109723286050707,-0.11004399693546768,-0.07027958209495581,0.09512047052642437,-0.08801986154272587,-0.05704246639275979,0.2398380699385272,-0.12581493685549247,0.030987808166751916,-0.08775533928498816,-0.11273347734783262,0.12296129188228079,0.11245179476927537,-0.05953295234897175,-0.05330620725900594,-0.018041521430248612,-0.056535941042766644,-0.03611662831005529,0.0883034298780348,-0.2800778170451676,0.10021968956688694,0.24559865294767522,0.18111405182298734,0.1769613521197195,0.0658422628888327,-0.15677272244947682,-0.019263066998601,0.04163297896074364,-0.10308314304726515,0.008063345909647386,0.33970903945683284,0.0637661594964756,-0.13109221604616958
Fz,-0.04097018666094857,-0.08268874067208216,0.11350055367422066,0.09552476524085589,0.15495060667017266,-0.058400241347862356,0.049188036708079134,0.08128154549532754,-0.17446311896839145,-0.15141676057634218,0.08728722918394748,-0.03922770950090956,0.006831412718499089,0.1317813371944266,0.0522954849464184,-0.11425647998751776,0.021996550220619894,-0.009683981596041943,-0.0379439199700457,0.0209074877100617,-0.015688816920462898,0.018113112212121304,0.1707671900477006,-0.005973896632025905,-0.16513435950569483,-0.2390184632037103,-0.09614805282794602,0.17323752641181092,-0.05236338983917383,-0.024622307261810035,-0.056437625871044596,0.01688269341253952,0.08246005399932144,0.054390545973960515,-0.036911359379748744,0.02458067450165646,-0.044698518438936276,-0.019425507770864155,-0.06479712150062095,0.025638245046998596,0.012094910611122054,-0.1249317839782961,0.041342429880841684,-0.027840343044619388,-0.035863288774637285,0.06440080858352856,-0.027674536812768095,-0.10510422314472852,0.05118630871281859,-0.0439341667105986,0.00906929163705951,0.20621861136051703,0.11137787432555468,0.009119778612992615,-0.07390322207158974,0.05122942680414448,0.0336257940162876,-0.12772465137495412,0.12596648843076694
F3,-0.01720855333041632,0.10666438755625356,-0.10010258550225049,0.039968982431320944,0.12250132692753811,-0.01601735854449138,0.05000698534586779,0.10457600031938807,-0.04413729527071095,-0.20075203903358343,0.04541743088812865,-0.1703790562927224,0.07728090978630885,0.10824294659728284,-0.026647434618604148,-0.016935317305913238,0.08791180854350972,0.1575390784770042,-0.10561870610936905,-0.038765009501441884,-0.17418681068839312,-0.10696495593726776,0.1421800104431136,0.00383557062064196,0.059005736809487515,-0.01975909558537442,0.26894420715373263,-0.10999884701454801,-0.007449508927960672,-0.05659453367260765,0.024180258056020774,0.043565187543632936,0.03265222608227639,-0.10861291816372037,-0.13103169837076933,-0.030818802942914454,-0.004194785777572095,0.010873601662797354,0.038944990886937224,0.0379713128795315,-0.06695850537542296,0.014750695167481747,0.029036457409644258,0.01785257496658737,0.04405467974087449,-0.08967390245149362,0.13136888890738607,0.13305882000467775,-0.056039824382371074,-0.04198420182001737,-0.09182410063614466,0.1626868236425477,-0.06951776678318859,-0.030003625304684825,0.16028316393690678,-0.021202210478679834,-0.002772926439317657,-0.08826478708298163,-0.21093789944194735
FT9,-0.051034164889049334,0.08509271227022959,0.025550089850163778,-0.4764023758395331,0.036045246191299896,-0.10335628891797599,-0.007688129383361647,0.11788630783639119,0.05641439771730699,-0.05033683090614486,0.12250806217027109,0.0739290819089767,0.021555327274226325,0.0943325766389832,-0.031220152804856568,0.10496796762347207,0.03075303208308089,-0.03855815579301028,-0.004385492070319891,-0.032633973151002776,-0.1016374687532988,0.08472924825404911,0.152795976575323,-0.062481917783177444,0.08109518742559328,-0.0006953525741698088,-0.008804049239479906,-0.10680699176900513,0.06550514926222911,-0.08160992063708669,-0.08686694812738409,-0.05679553061040196,-0.016729412190429276,0.06802089952984366,0.036408168236163975,-0.04923321473308229,-0.08805165638403861,0.04498076252616746,-0.05230189740285176,-0.009010920940456588,0.03211382553737178,-0.06728389364100716,0.10663589888418487,-0.08864889944587809,0.01167914796588228,0.007359224594608398,0.030640625277964097,0.01731199202085512,-0.02747015655689098,-0.07017182522248103,-0.029866383873464755,0.11158968862728438,0.024542210005366133,0.04564492221518436,0.018090439016101797,0.045719460677585866,0.0616948939617193,0.061230392672000165,-0.07674091119004102
FC5,0.0496045197032546,0.14873840274004152,0.11337416265260299,0.05909162516676034,-0.015138087118239623,0.0008846264834425204,0.06370110771340666,0.04825621648231915,-0.04972273968381924,0.05896327917465308,0.12573676094104327,0.16863013236906169,-0.08529983181437023,-0.12056877411471005,0.04154199486283398,0.012902382142917654,-0.035491046537567815,0.04442171037849579,-0.03635694056396754,-0.03465439962474483,0.005624979393751225,-0.003776678882290669,0.05734980293743058,0.10141847101185972,-0.009773168555868557,-0.05348622246321273,0.03343362273564236,-0.04775383977936191,-0.15120026419352248,-0.010408971943914722,-0.015519779689114983,0.0708938590411726,-0.06107208197868308,-0.0426538123233348,-0.03364044837583607,-0.062176268211062084,-0.011047233647987126,0.04798661396395079,-0.07406482551580729,-0.09075148626536356,-0.008874297570327368,0.0080175992642135,0.10380492485006372,-0.03730290601271054,0.0037529223943838547,0.04916723706484676,-0.04818643671494316,-0.0038895677354553616,-0.0930691359659661,-0.051859057246120034,-0.03848678268331945,-0.05762165312477966,0.023212695484982677,-0.08106037744576179,0.07077754943260772,0.02586933705816398,-0.0030179308913877646,-0.033501052970053104,-0.035730435800298804
FC1,-0.02733428818847209,0.04746301380354762,0.07613984820286382,0.006548465203807755,0.11679266133975028,0.23546804970157972,0.15630279445754072,0.016409393269409933,-0.07730626226323771,0.09090188091467742,0.012810755345695297,0.05138573907435505,0.12608574923537882,0.12734362353668335,-0.0626003058360206,0.028410609108590158,-0.008737442910205772,-0.007006996785975421,0.01129925546128935,0.021550163286414348,0.034272201535960604,0.010824460954195713,0.22456436038757538,0.01666663117968999,-0.05173816613140503,-0.08839196740435176,-0.11196630821460875,0.061395766397308614,-0.02403316582951189,-0.0491558895227157,0.019504165491813958,-0.07570373919517634,-0.04028053936575072,-0.01239230409264868,-0.1593897683350519,-0.027022673510310388,0.07702617968238072,-0.08114727838746699,-0.19965853199968203,0.09604025747479147,-0.09459973597812099,-0.19269957040685967,-0.07976284074369218,0.0035910430493989514,-0.03221274869879534,0.12443459323709201,0.03329887960331552,-0.13770635902193432,-0.2193370938620195,-0.12341864890457885,0.018438210655199322,0.23766935320677515,0.04334064120440279,-0.04385297599280916,0.06494212696845836,0.02588939484755,-0.02669597443205125,-0.17527375274414042,0.012615060940101392
C3,0.044625586711981455,0.11734110074120101,0.12982963724504304,0.008927212541345039,0.1429472628541041,0.10098184261389928,0.11508266899804365,-0.04963014749865698,0.08341205423967994,0.04781366811271416,0.056431241117088596,-0.03633941256595977,-0.006345539851643885,0.049391257822841796,0.03727723616071244,0.028826102342882517,-0.0991432125765449,0.020601684379311452,0.020369821989353252,-0.0991901347562275,-0.012161468839053122,-0.024311078624307276,0.15323094942109342,-0.0067549544173471756,-0.029383173993083777,-0.08536522618402366,0.07915937830172007,0.04851722413822844,-0.12137539740994639,-0.07492574641646081,0.08142123179616155,-0.005875377769398526,-0.10583582319189282,-0.04201828235730207,-0.2090988925757911,0.0018401284473207023,0.10474716804947376,0.07441895983519789,-0.014086939371417768,0.03509706546529942,-0.028260352216255294,-0.13227882632603913,0.04768445619979701,0.015316152056147921,-0.05447105403230306,0.022685674021564437,-0.0768462832059996,0.05572023861883543,-0.059788581723520876,0.04711042675464723,-0.16797774605867133,0.09747430783608065,-0.049907873483518744,-0.02805487353695624,0.006371386312850607,0.05321192114184274,-0.1900402171025866,-0.040234399536622445,-0.07816403064493213
T7,-0.11044357313199658,0.023369800393454987,0.07785004127287336,0.08767391393663641,0.009256405624174562,-0.11453813277892201,-0.12097330459661043,-0.1711376197770834,-0.10432160178098761,-0.2071368899579889,0.036215651506821094,0.1729293307009351,-0.052940376074568626,0.07864757145867098,0.03714131001705899,-0.12058889580487012,0.026160778838064648,-0.08994582548837743,0.10141355757507442,-0.0031135874996152274,0.03673791779468521,-0.08655881160842438,0.14929208217942272,0.05828088638032154,-0.17800247095956084,-0.1963638084560627,-0.10676153703280963,0.18210757497204896,-0.1480101979707809,-0.1393624778269,-0.06483484193525692,0.009157517401893477,0.04237047533225646,0.06002802295254817,0.17794915024541674,0.16065226296785823,-0.028561806175571285,0.01401512694190816,-0.03379880171396117,0.13754005059502133,-0.0018746728314123573,-0.1217458585019907,0.013078336500610428,0.18397436051826024,-0.015479675870534408,0.05188884459374464,0.024591812761489876,-0.09813077300773622,0.05636889537467772,-0.06642251790580947,0.06924178815087122,0.18368951628497543,0.12581140451697317,0.09634836289780821,-0.10777568964083893,-0.08166658899458887,0.016181856738622925,-0.059508900016547996,0.13003462991462805
TP9,0.12111616598895832,-0.21289803372897548,-0.025018274713411552,0.06345028111711355,-0.07608626084232924,-0.17947907686008435,0.01854244952957996,-0.09040305604768226,0.028281108380585143,-0.10538216907251166,0.039906230035016345,0.037089984863580346,-0.13818936157297457,0.014700557035572957,-0.10693644924384206,0.12110006283283377,-0.08046385864399555,-0.07053479814721211,0.002701746535610022,-0.08948470299488774,-0.10758262382950667,0.012771636659187915,0.2707821632319411,0.03341534711414187,0.07457436245044215,0.004284163651441477,0.1333990845372015,-0.1651282933313899,0.038191893962338165,0.07370485887229279,-0.12796898583946298,-0.08894063205500972,0.03918721967717393,0.07819236878795247,0.0030806251026741726,0.04407952172018224,0.08590617328066384,0.08896274069724797,-0.04031885341152795,-0.03487180008117811,0.12724768308653533,-0.04932048130325471,-0.03469942417824863,-0.05013503046825332,-0.054198584315086146,0.1882623167116134,0.003573257771836554,0.12845733215938648,0.08971800466438641,0.13705496386989535,-0.0993115597892085,0.1482043734232624,-0.13064064991840785,-0.11087514557821854,0.021023678417282726,0.02411422161682119,0.06480982871540429,-0.019551362597168425,-0.07146693793632809
CP5,0.0016694959444870149,-0.10427486127387284,-0.06582843582072895,0.03853831424011312,0.16897455629212588,0.126862611996676,0.13434150695065203,-0.016113633286034632,-0.0486161204464601,-0.05160820018733205,-0.17250159194575543,0.06185611104843307,0.11375834544891916,-0.029112000944065398,0.050044211743290365,-0.2723691539674181,0.2099019164896038,-0.06836270586934373,-0.16965971621034043,-0.03953171962369522,0.12176643400910903,-0.022463088092559588,0.12983375037288133,0.24396652688008474,0.02013197251130391,-0.2694603128486585,-0.10996310770983785,0.0695180785708841,0.01044436092839778,0.020868298943379358,-0.1745298043684464,-0.06316570137593107,0.18452044855726335,-0.04779453897148211,0.02224902847681031,-0.15864313004603794,-0.10211765753940807,-0.041048550833329145,-0.06678865017010677,0.21775226237873013,-0.11138251414796843,-0.0389095963351892,-0.08318778298171943,0.08261392123705812,0.0418560210225923,-0.15386707054497556,0.039350836075339395,-0.02107424863834443,0.05784808581496124,-0.036780817372884134,0.18257931660848328,0.21097909881799662,-0.0683346859046173,0.2412095357578967,-0.20280925249403245,-0.1494293287489877,0.23194090695948197,-0.16950377359515995,0.09385579821776872
