,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
Fp1,0.45293152186696684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013357079252003561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3814905744384146,0.018867924528301886,0.0,0.009349955476402494,0.0,0.0,0.0,0.018699910952804988,0.0,0.0,0.051647373107747106,0.0,0.0,0.0,0.0,0.0,0.0,0.04658018867924528,0.007075471698113208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.20124804201534696,0.051919001648222274,0.07914154438910694,0.0,0.017188603720273133,0.01683541323287026,0.0,0.03167596976734065,0.0,0.0,0.02843601895734597,0.0,0.0,0.02646129541864139,0.00671061926065458,0.0,0.0,0.03179304897314376,0.0,0.01824817518248175,0.017541794207676008,0.0,0.0,0.006475158935719331,0.0025671406003159557,0.003885095361431599,0.013428120063191154,0.011066635271956676,0.0,0.0,0.03902861828682341,0.0,0.0063574287732517075,0.0726375573725306,0.0,0.009300682834942313,0.019549763033175356,0.020014127619496114,0.0,0.025664849939609817,0.006121642969984202,0.05667456556082148,0.009771603484812808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015600315955766192,0.0,0.0,0.054509065222510006,0.0,0.10014810194055762,0.0
F3,0.0,0.0680198326619151,0.23974467597278026,0.0,0.0,0.03036876355748373,0.022466687325689495,0.03757225433526012,0.03901734104046243,0.10260115606936417,0.004183452122714595,0.0,0.0,0.019267822736030827,0.0,0.021382088627207932,0.0001549426712116517,0.0,0.0,0.0,0.024016114037806013,0.02835450883173226,0.0,0.0,0.009761388286334056,0.0,0.006352649519677719,0.0,0.0,0.0,0.008741125128596447,0.0,0.0,0.00836690424542919,0.01657886581964673,0.0,0.0,0.04672447013487476,0.028819336845367215,0.0,0.025720483421134182,0.0,0.0,0.0,0.0001549426712116517,0.0,0.0,0.003563681437867989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054691628259393735,0.0,0.056554074992252866,0.0968208092485549
FT9,0.0,0.08847514167606671,0.0,0.2294255195914866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03252977054893988,0.0,0.0,0.021638106302643043,0.0,0.0,0.0,0.030787104269532385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06241187461583665,0.0,0.0,0.0,0.08434549118872806,0.0,0.0,0.10917975214287162,0.0,0.046875,0.002543604651162791,0.0,0.0,0.012343886145803078,0.012343886145803078,0.03311065930874237,0.0,0.018087444866226723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040674877912042634,0.023982558139534885,0.0,0.030159883720930234,0.0,0.12108543877364927,0.0
FC5,0.0,0.0,0.0,0.0,0.18897946761448245,0.0,0.030460900787310282,0.03974358974358974,0.01314116150911403,0.0,0.0,0.0,0.037307384340025285,0.15186193628330127,0.0,0.0,0.025646460364561256,0.0,0.00042735042735042735,0.0,0.0,0.000211954217888936,0.0,0.0641025641025641,0.040695209834675714,0.018863925392115302,0.0,0.0,0.057863501483679525,0.04957264957264957,0.0,0.0,0.09362271424585965,0.0,0.0,0.00042735042735042735,0.0,0.0,0.035184400169563375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006782534972445952,0.0,0.0,0.0,0.0,0.0,0.13302355409180333,0.0,0.012081390419669352
FC1,0.0,0.04147982062780269,0.0554932735426009,0.0,0.0,0.45993391224636426,0.020739910313901346,0.0,0.0,0.0,0.010089686098654708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03503363228699551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04568385650224215,0.08895987661967644,0.0,0.0,0.0,0.0,0.0,0.06906077348066299,0.0,0.0,0.0,0.0,0.013733183856502242,0.02998878923766816,0.0,0.016574585635359115,0.0,0.05605381165919283,0.0,0.05717488789237668,0.0
C3,0.0,0.035092085614733697,0.03608760577401692,0.0,0.07808739727274462,0.017919362867098058,0.1385836009344381,0.0471976401179941,0.0,0.0,0.0,0.0,0.023643603782976606,0.07808739727274462,0.0,0.0,0.03086112493777999,0.0,0.0,0.0,0.025634644101543057,0.026381284221005476,0.0,0.08231835794969833,0.01020408163265306,0.0,0.0,0.0,0.03957192633150821,0.06489675516224189,0.0,0.0,0.08903811902486011,0.0,0.0,0.0,0.0,0.0,0.023892483822797413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03409656545545047,0.0,0.0,0.0,0.0,0.016674962667994026,0.08406051822844397,0.01767048282727725,0.0
T7,0.0,0.0,0.022041763341067284,0.0,0.027552204176334107,0.0,0.009860788863109048,0.3719929173281231,0.0,0.1105612850941951,0.014354066985645933,0.0,0.07416267942583732,0.0658352668213457,0.0,0.0,0.0,0.014211136890951276,0.0,0.0,0.0,0.0,0.0,0.0095707656612529,0.05624229842693636,0.024361948955916472,0.0,0.0,0.008700696055684454,0.013921113689095127,0.0,0.0,0.03915313225058004,0.0,0.0,0.023923444976076555,0.0,0.0,0.0,0.0,0.0,0.0020301624129930394,0.0,0.03827751196172249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287122969837587,0.014952153110047847,0.029582366589327145
TP9,0.0,0.10453431372549019,0.05646258503401361,0.0,0.022058823529411766,0.0,0.0,0.0,0.3050270108043217,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042279411764705885,0.06582883153261304,0.0,0.0,0.08161764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15570728291316527,0.03566176470588235,0.0,0.0,0.0055147058823529415,0.09111644657863147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021691176470588235,0.0,0.0
CP5,0.015438247011952191,0.0,0.06726457399103139,0.0,0.0,0.0,0.0,0.10439121157905215,0.0,0.3416526080176412,0.0069721115537848604,0.012948207171314742,0.0,0.033952594490711085,0.0,0.0,0.0,0.0,0.05079681274900399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015438247011952191,0.06962923450337025,0.0,0.014942472263412717,0.02242152466367713,0.0,0.06904540709678901,0.053286852589641436,0.00032030749519538755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04228058936579116,0.0,0.007470119521912351,0.07174887892376682
CP1,0.0,0.0,0.013266239707227814,0.0,0.0,0.01738334858188472,0.0,0.010064043915827997,0.0,0.0054894784995425435,0.38925587069228423,0.09011893870082342,0.034761904761904765,0.0,0.0,0.023809523809523808,0.0,0.005714285714285714,0.0,0.03796889295516926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07952380952380952,0.0,0.014761904761904763,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0036596523330283625,0.0,0.09571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03796889295516926,0.0,0.0,0.057998518712150914,0.0,0.06587374199451052,0.0
