,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.23728813559322035,0.0,0.07864406779661016,0.02711864406779661,0.0,0.04474576271186441,0.0,0.0,0.0,0.0,0.0,0.017627118644067796,0.031186440677966103,0.0,0.031186440677966103,0.0,0.0,0.0,0.0013559322033898306,0.0,0.006101694915254237,0.015593220338983051,0.0,0.008135593220338983,0.0,0.0,0.013559322033898305,0.0,0.04474576271186441,0.01966101694915254,0.0,0.0,0.0,0.0,0.0,0.006779661016949152,0.0,0.0,0.0,0.0,0.006101694915254237,0.06169491525423729,0.0,0.0,0.015593220338983051,0.0,0.05288135593220339,0.0,0.06644067796610169,0.0,0.0,0.0,0.0,0.006101694915254237,0.002711864406779661,0.031186440677966103,0.02711864406779661,0.0,0.0,0.02305084745762712,0.08542372881355932,0.0,0.0,0.0,0.031186440677966103,0.006779661016949152,0.0,0.0
bankssts-rh,0.0,0.46835443037974683,0.0,0.0,0.07249712313003452,0.02761795166858458,0.0,0.0,0.0,0.01611047180667434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07710011507479862,0.0,0.0,0.02761795166858458,0.02761795166858458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12313003452243959,0.0,0.0,0.0,0.0023014959723820483,0.0,0.0,0.15765247410817032,0.0,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-lh,0.0425531914893617,0.0,0.15407190022010273,0.05099046221570066,0.0,0.04952311078503301,0.0,0.0,0.0,0.0,0.0,0.0,0.01210564930300807,0.0062362435803374906,0.0,0.009537784299339692,0.0,0.01210564930300807,0.02971386647101981,0.01210564930300807,0.0,0.0,0.0,0.0,0.0,0.0,0.01210564930300807,0.01210564930300807,0.045854732208363905,0.0,0.0,0.0,0.01210564930300807,0.01210564930300807,0.01210564930300807,0.01210564930300807,0.04438738077769626,0.0,0.01210564930300807,0.0,0.03815113719735877,0.0,0.0,0.0,0.0,0.037050623624358035,0.08107116654438738,0.020176082171680116,0.07410124724871607,0.046221570066030816,0.0,0.0,0.0,0.003301540719002201,0.02421129860601614,0.00586940572267058,0.04952311078503301,0.0,0.0,0.0,0.0491562729273661,0.0,0.0,0.0,0.0,0.0,0.004402054292002935,0.012839325018341893
caudalanteriorcingulate-rh,0.014020329477742727,0.0,0.048720644935155974,0.15422362425517,0.0,0.014020329477742727,0.0,0.0,0.0,0.0,0.0858745180511742,0.02874167542937259,0.0318962495618647,0.016123378899404135,0.0,0.00385559060637925,0.0,0.008412197686645636,0.0,0.0,0.0,0.012618296529968454,0.0,0.0,0.05853487556957589,0.03224675779880827,0.02103049421661409,0.016473887136347704,0.014020329477742727,0.02909218366631616,0.0,0.0,0.0028040658955485456,0.006309148264984227,0.030494216614090432,0.012968804766912022,0.060637924991237296,0.0,0.01892744479495268,0.0,0.016473887136347704,0.0,0.0,0.0,0.0,0.033298282509638975,0.014020329477742727,0.0077111812127585,0.012267788293024886,0.03470031545741325,0.0,0.0,0.023834560112162635,0.043463021381002456,0.012618296529968454,0.0014020329477742728,0.01331931300385559,0.048370136698212406,0.0,0.0,0.008762705923589204,0.0,0.0,0.0077111812127585,0.0,0.0,0.0,0.0
caudalmiddlefrontal-lh,0.0,0.04149659863945578,0.0,0.0,0.18979591836734694,0.0,0.03333333333333333,0.0,0.0,0.03605442176870748,0.0,0.0,0.02312925170068027,0.0707482993197279,0.009523809523809525,0.01020408163265306,0.0,0.0,0.006122448979591836,0.02312925170068027,0.06870748299319727,0.05918367346938776,0.0,0.0,0.0,0.0,0.009523809523809525,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01904761904761905,0.0,0.0,0.021768707482993196,0.05238095238095238,0.0,0.0,0.050340136054421766,0.0673469387755102,0.006122448979591836,0.004761904761904762,0.0,0.017687074829931974,0.0,0.0,0.0,0.03877551020408163,0.0,0.0,0.04353741496598639,0.0,0.0,0.0,0.0,0.0380952380952381,0.0,0.0,0.014965986394557823,0.0,0.0013605442176870747,0.0,0.009523809523809525,0.0
caudalmiddlefrontal-rh,0.031000469704086424,0.011272898074213245,0.0615312353217473,0.018788163457022077,0.0,0.2522310944105214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004697040864255519,0.0,0.010333489901362142,0.0,0.0,0.01925786754344763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11366838891498356,0.0,0.007515265382808831,0.01972757162987318,0.028182245185533115,0.0,0.0,0.0,0.0,0.007045561296383279,0.0,0.0028182245185533112,0.02254579614842649,0.0,0.025833724753405354,0.02160638797557539,0.0,0.0,0.1113198684828558,0.0028182245185533112,0.040864255519023014,0.0,0.0014091122592766556,0.023954908407703146,0.0,0.0,0.020197275716298733,0.0,0.0371066228276186,0.0,0.0,0.0,0.028651949271958667,0.0,0.005166744950681071,0.0,0.0,0.0,0.035697510568341945,0.03475810239549084
cuneus-lh,0.0,0.0,0.0,0.0,0.01625172890733057,0.0,0.156984785615491,0.012448132780082987,0.0,0.030774550484094054,0.0,0.00034578146611341634,0.058091286307053944,0.017289073305670817,0.022821576763485476,0.0,0.012448132780082987,0.0,0.0017289073305670815,0.024896265560165973,0.08748271092669432,0.08921161825726141,0.05359612724757953,0.0,0.0,0.0,0.0487551867219917,0.032157676348547715,0.0,0.007952973720608575,0.0,0.0,0.0,0.0,0.0,0.029391424619640387,0.0,0.0,0.020401106500691563,0.0,0.0,0.010719225449515906,0.0,0.06396957123098201,0.0017289073305670815,0.0,0.0,0.0,0.0,0.0,0.01037344398340249,0.03630705394190872,0.0,0.0,0.0,0.010719225449515906,0.0,0.00656984785615491,0.0,0.027662517289073305,0.011756569847856155,0.03112033195020747,0.001037344398340249,0.0,0.06500691562932227,0.0,0.0,0.0
cuneus-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0188953488372093,0.24563953488372092,0.0,0.0,0.046027131782945735,0.03391472868217054,0.0,0.0,0.0,0.01986434108527132,0.0,0.0,0.0,0.0,0.03197674418604651,0.003875968992248062,0.008236434108527133,0.0,0.03827519379844961,0.03343023255813953,0.0,0.0,0.0,0.02810077519379845,0.02567829457364341,0.01986434108527132,0.040213178294573645,0.0,0.0,0.0,0.0029069767441860465,0.015988372093023256,0.08624031007751938,0.044573643410852716,0.0,0.0,0.0,0.027616279069767442,0.0,0.01695736434108527,0.0,0.0,0.0,0.011143410852713179,0.030523255813953487,0.029069767441860465,0.035852713178294575,0.0188953488372093,0.0,0.0,0.0,0.0,0.0,0.02131782945736434,0.0,0.02180232558139535,0.0,0.012596899224806201,0.0,0.0,0.030523255813953487,0.0
entorhinal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2378892733564014,0.031141868512110725,0.019896193771626297,0.02162629757785467,0.006055363321799308,0.0,0.018166089965397925,0.0,0.03676470588235294,0.0,0.06877162629757785,0.0,0.0,0.0,0.003027681660899654,0.0,0.029411764705882353,0.03373702422145329,0.0,0.0,0.0,0.025086505190311418,0.0,0.0,0.0012975778546712802,0.0,0.03503460207612457,0.0,0.0,0.01124567474048443,0.0,0.012543252595155709,0.04195501730103806,0.0,0.0,0.0,0.006055363321799308,0.04930795847750865,0.0,0.0,0.014273356401384083,0.0,0.0,0.0,0.025951557093425604,0.014705882352941176,0.009083044982698962,0.022058823529411766,0.02162629757785467,0.0,0.0,0.0,0.0,0.01384083044982699,0.0,0.0722318339100346,0.0,0.01643598615916955,0.037197231833910036,0.06358131487889274
entorhinal-rh,0.0,0.00686106346483705,0.0,0.0,0.021869639794168096,0.0,0.03902229845626072,0.0,0.030017152658662092,0.17495711835334476,0.0,0.0038593481989708405,0.032590051457975985,0.02144082332761578,0.009433962264150943,0.0,0.027015437392795882,0.0,0.0,0.030874785591766724,0.04030874785591767,0.05703259005145798,0.012435677530017153,0.0,0.009005145797598629,0.013293310463121783,0.024013722126929673,0.045454545454545456,0.0,0.008576329331046312,0.0,0.0,0.0,0.0,0.0,0.04759862778730703,0.0,0.0,0.011578044596912522,0.0,0.0,0.00686106346483705,0.0,0.038593481989708404,0.0,0.030874785591766724,0.0,0.0,0.0,0.0,0.0,0.03216123499142367,0.005574614065180103,0.0,0.009005145797598629,0.00686106346483705,0.0,0.0,0.0,0.036020583190394515,0.014579759862778732,0.060891938250428816,0.0,0.04245283018867924,0.018867924528301886,0.0,0.0,0.030017152658662092
