,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1_D3 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D1 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D2 hbo,0.0,0.0,0.0,0.02830188679245283,0.03773584905660377,0.0,0.0,0.03773584905660377,0.0,0.02830188679245283,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.0,0.0,0.0,0.03773584905660377,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.02830188679245283,0.0,0.0,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.0,0.0,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.0,0.03773584905660377,0.009433962264150943,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.0,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.0,0.03773584905660377,0.0,0.0,0.03773584905660377,0.0
S2_D4 hbo,0.0,0.0,0.0,0.01764705882352941,0.03529411764705882,0.0,0.0,0.041176470588235294,0.0,0.01764705882352941,0.041176470588235294,0.041176470588235294,0.041176470588235294,0.0,0.0,0.0,0.041176470588235294,0.0,0.041176470588235294,0.0,0.0,0.0,0.0,0.01764705882352941,0.0,0.0,0.041176470588235294,0.041176470588235294,0.041176470588235294,0.041176470588235294,0.0,0.0,0.041176470588235294,0.041176470588235294,0.041176470588235294,0.041176470588235294,0.0,0.023529411764705882,0.0058823529411764705,0.03529411764705882,0.041176470588235294,0.041176470588235294,0.0,0.041176470588235294,0.041176470588235294,0.029411764705882353,0.0,0.041176470588235294,0.0,0.0,0.03529411764705882,0.0
S3_D1 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_D3 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_D4 hbo,0.0,0.0,0.0,0.016129032258064516,0.03225806451612903,0.0,0.0,0.03763440860215054,0.0,0.016129032258064516,0.043010752688172046,0.043010752688172046,0.043010752688172046,0.0,0.0,0.0,0.043010752688172046,0.0,0.03763440860215054,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.043010752688172046,0.043010752688172046,0.043010752688172046,0.03763440860215054,0.0,0.0,0.043010752688172046,0.043010752688172046,0.043010752688172046,0.043010752688172046,0.0,0.021505376344086023,0.005376344086021506,0.03225806451612903,0.043010752688172046,0.043010752688172046,0.0,0.043010752688172046,0.043010752688172046,0.026881720430107527,0.0,0.043010752688172046,0.0,0.0,0.03225806451612903,0.0
S3_D5 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4_D2 hbo,0.0,0.0,0.0,0.02830188679245283,0.03773584905660377,0.0,0.0,0.03773584905660377,0.0,0.02830188679245283,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.0,0.0,0.0,0.03773584905660377,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.02830188679245283,0.0,0.0,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.0,0.0,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.0,0.03773584905660377,0.009433962264150943,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.0,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.0,0.03773584905660377,0.0,0.0,0.03773584905660377,0.0
S4_D4 hbo,0.0,0.0,0.0,0.014423076923076924,0.028846153846153848,0.0,0.0,0.03365384615384615,0.0,0.014423076923076924,0.04326923076923077,0.04807692307692308,0.04807692307692308,0.0,0.0,0.0,0.038461538461538464,0.0,0.03365384615384615,0.0,0.0,0.0,0.0,0.014423076923076924,0.0,0.0,0.04326923076923077,0.04807692307692308,0.04807692307692308,0.03365384615384615,0.0,0.0,0.04807692307692308,0.04807692307692308,0.04326923076923077,0.04807692307692308,0.0,0.019230769230769232,0.004807692307692308,0.028846153846153848,0.04326923076923077,0.038461538461538464,0.0,0.04326923076923077,0.04326923076923077,0.02403846153846154,0.0,0.04807692307692308,0.0,0.0,0.028846153846153848,0.0
S4_D6 hbo,0.0,0.0,0.0,0.014018691588785047,0.028037383177570093,0.0,0.0,0.03271028037383177,0.0,0.014018691588785047,0.04205607476635514,0.04672897196261682,0.04672897196261682,0.0,0.0,0.0,0.037383177570093455,0.0,0.03271028037383177,0.0,0.0,0.0,0.0,0.014018691588785047,0.0,0.0,0.04205607476635514,0.0514018691588785,0.0514018691588785,0.03271028037383177,0.0,0.0,0.0514018691588785,0.0514018691588785,0.04205607476635514,0.0514018691588785,0.0,0.018691588785046728,0.004672897196261682,0.028037383177570093,0.04205607476635514,0.037383177570093455,0.0,0.04205607476635514,0.04205607476635514,0.02336448598130841,0.0,0.0514018691588785,0.0,0.0,0.028037383177570093,0.0
S4_D11 hbo,0.0,0.0,0.0,0.014018691588785047,0.028037383177570093,0.0,0.0,0.03271028037383177,0.0,0.014018691588785047,0.04205607476635514,0.04672897196261682,0.04672897196261682,0.0,0.0,0.0,0.037383177570093455,0.0,0.03271028037383177,0.0,0.0,0.0,0.0,0.014018691588785047,0.0,0.0,0.04205607476635514,0.0514018691588785,0.0514018691588785,0.03271028037383177,0.0,0.0,0.0514018691588785,0.0514018691588785,0.04205607476635514,0.0514018691588785,0.0,0.018691588785046728,0.004672897196261682,0.028037383177570093,0.04205607476635514,0.037383177570093455,0.0,0.04205607476635514,0.04205607476635514,0.02336448598130841,0.0,0.0514018691588785,0.0,0.0,0.028037383177570093,0.0
