,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.03740648379052369,0.0,0.0,0.04239401496259352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04239401496259352,0.0,0.0,0.0,0.007481296758104738,0.0,0.04239401496259352,0.0,0.0,0.04239401496259352,0.0,0.0,0.04239401496259352,0.04239401496259352,0.0,0.0,0.0,0.0,0.04239401496259352,0.0,0.04239401496259352,0.04239401496259352,0.0,0.012468827930174564,0.04239401496259352,0.032418952618453865,0.04239401496259352,0.04239401496259352,0.04239401496259352,0.0024937655860349127,0.022443890274314215,0.0399002493765586,0.0,0.032418952618453865,0.0,0.0,0.04239401496259352,0.04239401496259352,0.04239401496259352,0.0,0.012468827930174564,0.04239401496259352,0.03740648379052369,0.0,0.0,0.0,0.0,0.04239401496259352,0.0,0.0,0.0,0.0
Fz,0.0,0.045368620037807186,0.022684310018903593,0.0,0.026465028355387523,0.04914933837429111,0.04914933837429111,0.04914933837429111,0.04914933837429111,0.007561436672967864,0.02835538752362949,0.0,0.022684310018903593,0.015122873345935728,0.015122873345935728,0.0,0.017013232514177693,0.0,0.007561436672967864,0.04725897920604915,0.0,0.0,0.04914933837429111,0.0,0.0,0.005671077504725898,0.04914933837429111,0.0,0.0,0.0,0.04914933837429111,0.0,0.0,0.04914933837429111,0.0,0.0,0.0,0.0,0.0,0.0,0.001890359168241966,0.0,0.0,0.04914933837429111,0.0,0.0,0.00945179584120983,0.0,0.0,0.0,0.005671077504725898,0.0,0.0,0.0,0.04914933837429111,0.045368620037807186,0.0,0.017013232514177693,0.0,0.045368620037807186,0.04914933837429111,0.024574669187145556,0.04914933837429111
F3,0.0,0.03761755485893417,0.034482758620689655,0.0,0.03761755485893417,0.04075235109717868,0.04075235109717868,0.04075235109717868,0.04075235109717868,0.012539184952978056,0.04075235109717868,0.0,0.034482758620689655,0.025078369905956112,0.025078369905956112,0.0,0.02821316614420063,0.0,0.012539184952978056,0.03761755485893417,0.0,0.0,0.04075235109717868,0.0,0.0,0.009404388714733543,0.04075235109717868,0.0,0.0,0.0,0.04075235109717868,0.0,0.0,0.04075235109717868,0.0,0.0,0.0,0.0,0.0,0.0,0.003134796238244514,0.0,0.0,0.04075235109717868,0.0,0.0,0.01567398119122257,0.0,0.0,0.0,0.009404388714733543,0.0,0.0,0.0,0.04075235109717868,0.04075235109717868,0.0,0.02821316614420063,0.0,0.04075235109717868,0.04075235109717868,0.03761755485893417,0.04075235109717868
F7,0.03184713375796178,0.0,0.0,0.04246284501061571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04670912951167728,0.0,0.0,0.0,0.004246284501061571,0.0,0.03821656050955414,0.0,0.0,0.04670912951167728,0.0,0.0,0.036093418259023353,0.04670912951167728,0.0,0.0,0.0,0.0,0.03821656050955414,0.0,0.044585987261146494,0.04670912951167728,0.0,0.008492569002123142,0.04670912951167728,0.03184713375796178,0.04670912951167728,0.04670912951167728,0.04670912951167728,0.004246284501061571,0.01910828025477707,0.03397027600849257,0.0,0.03397027600849257,0.0,0.0,0.03821656050955414,0.04670912951167728,0.03821656050955414,0.0,0.008492569002123142,0.04670912951167728,0.03397027600849257,0.0,0.0,0.0,0.0,0.04670912951167728,0.0,0.0,0.0,0.0
FT9,0.0,0.03932584269662921,0.033707865168539325,0.0,0.03651685393258427,0.042134831460674156,0.042134831460674156,0.042134831460674156,0.042134831460674156,0.011235955056179775,0.03932584269662921,0.0,0.033707865168539325,0.02247191011235955,0.02247191011235955,0.0,0.025280898876404494,0.0,0.011235955056179775,0.03932584269662921,0.0,0.0,0.042134831460674156,0.0,0.0,0.008426966292134831,0.042134831460674156,0.0,0.0,0.0,0.042134831460674156,0.0,0.0,0.042134831460674156,0.0,0.0,0.0,0.0,0.0,0.0,0.0028089887640449437,0.0,0.0,0.042134831460674156,0.0,0.0,0.014044943820224719,0.0,0.0,0.0,0.008426966292134831,0.0,0.0,0.0,0.042134831460674156,0.042134831460674156,0.0,0.025280898876404494,0.0,0.042134831460674156,0.042134831460674156,0.03651685393258427,0.042134831460674156
FC5,0.0,0.04100946372239748,0.01892744479495268,0.0,0.022082018927444796,0.061514195583596214,0.052050473186119876,0.05362776025236593,0.055205047318611984,0.006309148264984227,0.02365930599369085,0.0,0.01892744479495268,0.012618296529968454,0.012618296529968454,0.0031545741324921135,0.014195583596214511,0.0031545741324921135,0.006309148264984227,0.04574132492113565,0.0015772870662460567,0.0,0.04416403785488959,0.0015772870662460567,0.0015772870662460567,0.00473186119873817,0.052050473186119876,0.0,0.0,0.0015772870662460567,0.0583596214511041,0.0015772870662460567,0.0015772870662460567,0.050473186119873815,0.0,0.0015772870662460567,0.0,0.0015772870662460567,0.0015772870662460567,0.0,0.0015772870662460567,0.0,0.0,0.04574132492113565,0.0,0.0,0.007886435331230283,0.0015772870662460567,0.0,0.0031545741324921135,0.00473186119873817,0.0015772870662460567,0.0,0.0031545741324921135,0.04416403785488959,0.03943217665615142,0.0,0.014195583596214511,0.0,0.03943217665615142,0.04416403785488959,0.02050473186119874,0.05362776025236593
FC1,0.0,0.0415944540727903,0.02079722703639515,0.0,0.024263431542461005,0.05719237435008666,0.05199306759098787,0.053726169844020795,0.053726169844020795,0.006932409012131715,0.025996533795493933,0.0,0.02079722703639515,0.01386481802426343,0.01386481802426343,0.0017331022530329288,0.01559792027729636,0.0017331022530329288,0.006932409012131715,0.04679376083188908,0.0,0.0,0.045060658578856154,0.0,0.0,0.005199306759098787,0.05199306759098787,0.0,0.0,0.0,0.05545927209705372,0.0,0.0,0.05199306759098787,0.0,0.0,0.0,0.0,0.0,0.0,0.0017331022530329288,0.0,0.0,0.04852686308492201,0.0,0.0,0.008665511265164644,0.0,0.0,0.0017331022530329288,0.005199306759098787,0.0,0.0,0.0017331022530329288,0.045060658578856154,0.0415944540727903,0.0,0.01559792027729636,0.0,0.0415944540727903,0.045060658578856154,0.022530329289428077,0.053726169844020795
C3,0.0,0.04145077720207254,0.02072538860103627,0.0,0.024179620034542316,0.05872193436960276,0.05181347150259067,0.0535405872193437,0.0535405872193437,0.0069084628670120895,0.025906735751295335,0.0,0.02072538860103627,0.013816925734024179,0.013816925734024179,0.0017271157167530224,0.015544041450777202,0.0017271157167530224,0.0069084628670120895,0.046632124352331605,0.0,0.0,0.044905008635578586,0.0,0.0,0.0051813471502590676,0.05181347150259067,0.0,0.0,0.0,0.05699481865284974,0.0,0.0,0.05181347150259067,0.0,0.0,0.0,0.0,0.0,0.0,0.0017271157167530224,0.0,0.0,0.04835924006908463,0.0,0.0,0.008635578583765112,0.0,0.0,0.0017271157167530224,0.0051813471502590676,0.0,0.0,0.0017271157167530224,0.044905008635578586,0.04145077720207254,0.0,0.015544041450777202,0.0,0.04145077720207254,0.044905008635578586,0.022452504317789293,0.0535405872193437
T7,0.0,0.041736227045075125,0.02003338898163606,0.0,0.02337228714524207,0.06010016694490818,0.05342237061769616,0.05509181969949917,0.05509181969949917,0.00667779632721202,0.025041736227045076,0.0,0.02003338898163606,0.01335559265442404,0.01335559265442404,0.001669449081803005,0.015025041736227046,0.001669449081803005,0.00667779632721202,0.04674457429048414,0.0,0.0,0.045075125208681135,0.0,0.0,0.005008347245409015,0.05342237061769616,0.0,0.0,0.0,0.05843071786310518,0.0,0.0,0.05175292153589316,0.0,0.0,0.0,0.0,0.0,0.0,0.001669449081803005,0.0,0.0,0.04674457429048414,0.0,0.0,0.008347245409015025,0.0,0.0,0.001669449081803005,0.005008347245409015,0.0,0.0,0.001669449081803005,0.045075125208681135,0.04006677796327212,0.0,0.015025041736227046,0.0,0.04006677796327212,0.045075125208681135,0.021702838063439065,0.05509181969949917
TP9,0.0,0.03496503496503497,0.03496503496503497,0.0,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.027972027972027972,0.03496503496503497,0.0,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.0,0.027972027972027972,0.0,0.027972027972027972,0.03496503496503497,0.0,0.0,0.03496503496503497,0.0,0.0,0.02097902097902098,0.03496503496503497,0.0,0.0,0.0,0.03496503496503497,0.0,0.0,0.03496503496503497,0.0,0.0,0.0,0.0,0.0,0.0,0.006993006993006993,0.0,0.0,0.03496503496503497,0.0,0.0,0.03496503496503497,0.0,0.0,0.0,0.02097902097902098,0.0,0.0,0.0,0.03496503496503497,0.03496503496503497,0.0,0.027972027972027972,0.0,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497
