,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.07242990654205607,0.04439252336448598,0.0630841121495327,0.030373831775700934,0.0630841121495327,0.030373831775700934,0.06542056074766354,0.0630841121495327,0.06542056074766354,0.0630841121495327,0.02570093457943925,0.06775700934579439,0.0630841121495327,0.030373831775700934,0.06074766355140187,0.030373831775700934,0.06542056074766354,0.030373831775700934,0.06542056074766354
caudalmiddlefrontal-rh,0.06583072100313479,0.09090909090909091,0.06583072100313479,0.009404388714733543,0.06583072100313479,0.009404388714733543,0.08150470219435736,0.05956112852664577,0.07210031347962383,0.05956112852664577,0.012539184952978056,0.09090909090909091,0.08150470219435736,0.009404388714733543,0.06583072100313479,0.009404388714733543,0.06896551724137931,0.009404388714733543,0.07210031347962383
inferiorparietal-rh,0.055327868852459015,0.0389344262295082,0.07377049180327869,0.045081967213114756,0.06967213114754098,0.028688524590163935,0.06147540983606557,0.06147540983606557,0.06352459016393443,0.06762295081967214,0.01639344262295082,0.05942622950819672,0.06147540983606557,0.028688524590163935,0.05942622950819672,0.03483606557377049,0.07172131147540983,0.03278688524590164,0.06967213114754098
parsopercularis-lh,0.03821656050955414,0.006369426751592357,0.05732484076433121,0.12420382165605096,0.06050955414012739,0.044585987261146494,0.03821656050955414,0.044585987261146494,0.041401273885350316,0.06050955414012739,0.050955414012738856,0.03503184713375796,0.03821656050955414,0.044585987261146494,0.03821656050955414,0.07006369426751592,0.08917197452229299,0.050955414012738856,0.06687898089171974
parstriangularis-rh,0.05432595573440644,0.03822937625754527,0.06438631790744467,0.04024144869215292,0.07243460764587525,0.028169014084507043,0.060362173038229376,0.060362173038229376,0.06237424547283702,0.07042253521126761,0.02012072434607646,0.05835010060362173,0.060362173038229376,0.028169014084507043,0.05835010060362173,0.04024144869215292,0.07847082494969819,0.03219315895372234,0.07243460764587525
postcentral-lh,0.04938271604938271,0.00823045267489712,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.05761316872427984,0.04938271604938271,0.05761316872427984,0.053497942386831275,0.06172839506172839,0.02880658436213992,0.04526748971193416,0.04938271604938271,0.05761316872427984,0.04938271604938271,0.06172839506172839,0.06172839506172839,0.06172839506172839,0.06172839506172839
postcentral-rh,0.06147540983606557,0.05122950819672131,0.06147540983606557,0.02663934426229508,0.06147540983606557,0.02663934426229508,0.0778688524590164,0.05942622950819672,0.06762295081967214,0.05942622950819672,0.020491803278688523,0.07991803278688525,0.07172131147540983,0.02663934426229508,0.06557377049180328,0.02663934426229508,0.06352459016393443,0.02663934426229508,0.06557377049180328
precentral-lh,0.060810810810810814,0.038288288288288286,0.06756756756756757,0.033783783783783786,0.06756756756756757,0.03153153153153153,0.06306306306306306,0.06531531531531531,0.06531531531531531,0.06756756756756757,0.015765765765765764,0.060810810810810814,0.06306306306306306,0.03153153153153153,0.060810810810810814,0.033783783783783786,0.06981981981981981,0.033783783783783786,0.06981981981981981
precentral-rh,0.056962025316455694,0.04219409282700422,0.06751054852320675,0.029535864978902954,0.06751054852320675,0.029535864978902954,0.06962025316455696,0.06329113924050633,0.07172995780590717,0.06329113924050633,0.014767932489451477,0.06751054852320675,0.06540084388185655,0.029535864978902954,0.06118143459915612,0.029535864978902954,0.06962025316455696,0.029535864978902954,0.07172995780590717
rostralmiddlefrontal-lh,0.056842105263157895,0.035789473684210524,0.06315789473684211,0.042105263157894736,0.07157894736842105,0.029473684210526315,0.05894736842105263,0.061052631578947365,0.061052631578947365,0.07157894736842105,0.021052631578947368,0.056842105263157895,0.05894736842105263,0.029473684210526315,0.056842105263157895,0.042105263157894736,0.07789473684210527,0.03368421052631579,0.07157894736842105
