,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.01913099870298314,0.011932555123216601,0.01549935149156939,0.0188715953307393,0.01906614785992218,0.008560311284046693,0.0185473411154345,0.01926070038910506,0.016861219195849545,0.0191958495460441,0.0191958495460441,0.01880674448767834,0.01841763942931258,0.01913099870298314,0.018936446173800258,0.01926070038910506,0.018223086900129703,0.0,0.004150453955901427,0.003761348897535668,0.0025940337224383916,0.01926070038910506,0.017574578469520104,0.016861219195849545,0.017769130998702982,0.01906614785992218,0.016926070038910505,0.018158236057068743,0.017120622568093387,0.01926070038910506,0.018158236057068743,0.017120622568093387,0.019001297016861218,0.01926070038910506,0.017769130998702982,0.01926070038910506,0.01549935149156939,0.01841763942931258,0.017704280155642023,0.01913099870298314,0.014526588845654994,0.011738002594033722,0.016926070038910505,0.017250324254215306,0.01848249027237354,0.017444876783398185,0.01926070038910506,0.018158236057068743,0.0178988326848249,0.0,0.017833981841763942,0.01926070038910506,0.0031128404669260703,0.018936446173800258,0.016990920881971464,0.01874189364461738,0.013683527885862516,0.017315175097276266,0.013099870298313878,0.01848249027237354,0.01926070038910506,0.0188715953307393
Fz,0.017843289371605897,0.01764934057408844,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.012800620636152055,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.0,0.0006788207913110939,0.0029092319627618307,0.0011636927851047323,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.01726144297905353,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.0,0.017843289371605897,0.017843289371605897,0.001939487975174554,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.017843289371605897,0.01774631497284717,0.017843289371605897,0.017843289371605897,0.017843289371605897
F3,0.01808961550105964,0.01392673327278232,0.017938237965485923,0.01808961550105964,0.01808961550105964,0.009990917347865577,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.0,0.002800484408113836,0.0031032394792612776,0.00174084165909779,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.017938237965485923,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.016954283984256736,0.013699666969421738,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.0,0.01808961550105964,0.01808961550105964,0.002346351801392673,0.01808961550105964,0.01808961550105964,0.01808961550105964,0.015970330003027552,0.01808961550105964,0.015289131092945807,0.01808961550105964,0.01808961550105964,0.01808961550105964
F7,0.019082235347569285,0.011942623482832478,0.015512429415200884,0.019017329785162587,0.019147140909975983,0.00856753423768417,0.0186278964107224,0.019147140909975983,0.016875446225741546,0.019147140909975983,0.019147140909975983,0.018692801973129097,0.0185629908483157,0.019147140909975983,0.019082235347569285,0.019147140909975983,0.01823846303628221,0.0,0.004283767118842085,0.003569805932368404,0.002401505809047835,0.019147140909975983,0.01758940741221523,0.016875446225741546,0.017784124099435323,0.019082235347569285,0.016940351788148244,0.01817355747387551,0.01713506847536834,0.019147140909975983,0.01817355747387551,0.01713506847536834,0.019147140909975983,0.019147140909975983,0.017784124099435323,0.019147140909975983,0.015512429415200884,0.018433179723502304,0.017719218537028625,0.019147140909975983,0.014538845979100408,0.011747906795612384,0.016940351788148244,0.017264879600181735,0.018498085285909002,0.01745959628740183,0.019147140909975983,0.01817355747387551,0.01791393522424872,0.0,0.01784902966184202,0.019147140909975983,0.0029207503083014215,0.019082235347569285,0.017005257350554942,0.018822613097942493,0.013695073667813331,0.017329785162588433,0.013110923606153048,0.0186278964107224,0.019147140909975983,0.019017329785162587
FT9,0.019125507115718976,0.011848799021186168,0.015390559598171163,0.018996715822010433,0.019318694056281796,0.00850022538476399,0.01848155064717625,0.01944748534999034,0.01674286818211089,0.01944748534999034,0.01944748534999034,0.01867473758773907,0.01867473758773907,0.019318694056281796,0.019061111468864706,0.01944748534999034,0.018095176766050616,0.0,0.004507695279799086,0.0036705518706935413,0.0025114302273166332,0.01944748534999034,0.01745122029750789,0.01674286818211089,0.017644407238070706,0.018996715822010433,0.016807263828965163,0.018030781119196343,0.01700045076952798,0.01944748534999034,0.018030781119196343,0.01700045076952798,0.019254298409427523,0.01944748534999034,0.017644407238070706,0.01944748534999034,0.015390559598171163,0.018288363706613433,0.017580011591216433,0.01938308970313607,0.014424624895357074,0.01165561208062335,0.016807263828965163,0.017129242063236527,0.018352759353467706,0.017322429003799343,0.01944748534999034,0.018030781119196343,0.017773198531779253,0.0,0.01770880288492498,0.01944748534999034,0.003026595402150815,0.01893232017515616,0.016871659475819433,0.01867473758773907,0.013587481486251529,0.017193637710090796,0.013007920664563076,0.01848155064717625,0.01944748534999034,0.01893232017515616
FC5,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017494280715919797,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.0,0.0,0.003095141972816579,0.0006728569506122998,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.0,0.017763423496164714,0.017763423496164714,0.0017494280715919794,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714,0.017763423496164714
FC1,0.018864204022610753,0.012094123833311423,0.015709215196529513,0.018864204022610753,0.018864204022610753,0.008676219271723414,0.018732746154857368,0.018864204022610753,0.017089522807940054,0.018864204022610753,0.018864204022610753,0.018732746154857368,0.0184698304193506,0.018864204022610753,0.018864204022610753,0.018864204022610753,0.018404101485473907,0.0,0.004009464966478244,0.003549362429341396,0.0023662416195609306,0.018864204022610753,0.017812541080583673,0.017089522807940054,0.01800972788221375,0.018864204022610753,0.017155251741816747,0.018404101485473907,0.017352438543446827,0.018864204022610753,0.018404101485473907,0.017352438543446827,0.018864204022610753,0.018864204022610753,0.01800972788221375,0.018864204022610753,0.015709215196529513,0.01853555935322729,0.017943998948337057,0.018864204022610753,0.014723281188379124,0.011896937031681347,0.017155251741816747,0.01748389641120021,0.018601288287103983,0.01768108321283029,0.018864204022610753,0.018404101485473907,0.018075456816090442,0.0,0.018075456816090442,0.018864204022610753,0.002892073090574471,0.018864204022610753,0.01722098067569344,0.01879847508873406,0.013868805047982121,0.017549625345076904,0.01327724464309189,0.01853555935322729,0.018864204022610753,0.018864204022610753
C3,0.018909970711829874,0.01171526805042659,0.015217114478543231,0.018782630841716542,0.019228320387113206,0.008404431427479944,0.01827327136126321,0.020247039348019864,0.016554183114733223,0.019610339997453204,0.019674009932509867,0.01846428116643321,0.01846428116643321,0.01916465045205654,0.018846300776773208,0.019674009932509867,0.017891251750923213,0.0,0.005029924869476633,0.003947535973513307,0.0028014771424933146,0.02031070928307653,0.017254552400356553,0.016554183114733223,0.017445562205526552,0.018782630841716542,0.01661785304978989,0.017827581815866547,0.01680886285495989,0.020183369412963198,0.017827581815866547,0.01680886285495989,0.019037310581943207,0.020374379218133197,0.017445562205526552,0.02011969947790653,0.015217114478543231,0.018082261556093212,0.017381892270469886,0.019291990322169873,0.014262065452693238,0.01152425824525659,0.01661785304978989,0.01693620272507322,0.01814593149114988,0.01712721253024322,0.020374379218133197,0.017827581815866547,0.01757290207563988,0.0,0.017509232140583218,0.020374379218133197,0.0033108366229466445,0.018718960906659875,0.016681522984846556,0.01846428116643321,0.013434356296956577,0.016999872660129887,0.012861326881446582,0.01827327136126321,0.0199923596077932,0.018718960906659875
T7,0.018260991712319145,0.012923163365641241,0.01678606545863183,0.018260991712319145,0.018260991712319145,0.009270965023177412,0.018260991712319145,0.018260991712319145,0.018120522545301308,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.0,0.0033010254249192304,0.0033010254249192304,0.002036802921758674,0.018260991712319145,0.018260991712319145,0.018050287961792387,0.018260991712319145,0.018260991712319145,0.018050287961792387,0.018260991712319145,0.018190757128810225,0.018260991712319145,0.018260991712319145,0.017980053378283466,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.01678606545863183,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.015732546705998034,0.012712459615114483,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.018260991712319145,0.0,0.018260991712319145,0.018260991712319145,0.0025986795898300325,0.018260991712319145,0.018190757128810225,0.018260991712319145,0.014819497120382077,0.018260991712319145,0.014187385868801798,0.018260991712319145,0.018260991712319145,0.018260991712319145
TP9,0.01903724120248702,0.01179411576181014,0.015319530799307736,0.01890904429203256,0.019357733478623164,0.008460996089994231,0.01839625665021473,0.01974232420998654,0.016665598359079548,0.01961412729953208,0.01961412729953208,0.018588552015896417,0.018588552015896417,0.019293635023395934,0.01897314274725979,0.01967822575475931,0.018011665918851356,0.0,0.004679187231587719,0.0037177104031792833,0.002563938209089161,0.01974232420998654,0.017370681366579065,0.016665598359079548,0.017562976732260753,0.01890904429203256,0.016729696814306774,0.017947567463624126,0.016921992179988462,0.01974232420998654,0.017947567463624126,0.016921992179988462,0.01916543811294148,0.01974232420998654,0.017562976732260753,0.01974232420998654,0.015319530799307736,0.018203961284533044,0.017498878277033524,0.019421831933850393,0.014358053970899301,0.011601820396128453,0.016729696814306774,0.01705018909044292,0.01826805973976027,0.017242484456124606,0.01974232420998654,0.017947567463624126,0.017691173642715212,0.0,0.017627075187487982,0.01974232420998654,0.003076725850906993,0.01884494583680533,0.016793795269534003,0.018588552015896417,0.013524774052945323,0.01711428754567015,0.012947887955900263,0.01839625665021473,0.01974232420998654,0.01884494583680533
