,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.01709885577998441,0.016608929660758463,0.01680559909512997,0.017113206188362082,0.01709885577998441,0.016430105568170265,0.017048814688040127,0.017181092622089673,0.016902186345612906,0.017131051530145387,0.01709885577998441,0.017048814688040127,0.017016618937879147,0.01709885577998441,0.017113206188362082,0.017131051530145387,0.017016618937879147,3.219575016097875e-05,0.009827223201274275,0.008461021960890635,0.00753470574778866,0.01724548412241163,0.017016618937879147,0.016902186345612906,0.016952227437557192,0.016823444436913276,0.01698442318771817,0.017016618937879147,0.016952227437557192,0.017131051530145387,0.017113206188362082,0.016819949503507643,0.017016618937879147,0.01719544303046735,0.01698442318771817,0.017066660029823433,0.016837794845290948,0.017163247280306368,0.01698442318771817,0.017213288372250654,0.016641125410919444,0.016594579252380788,0.017016618937879147,0.01698442318771817,0.017034464279662452,0.016902186345612906,0.017131051530145387,0.017016618937879147,0.01692003168739621,0.015221388145185888,0.01698442318771817,0.017181092622089673,0.007910199274748364,0.01698442318771817,0.016952227437557192,0.017048814688040127,0.016562383502219814,0.016869990595451925,0.01658022884400312,0.01709885577998441,0.017131051530145387,0.017016618937879147
Fz,0.01705754311397808,0.01674232483002685,0.016909214015607625,0.01712242761955815,0.01705754311397808,0.016561553478866363,0.017025100861188046,0.017025100861188046,0.016941656268397658,0.01705754311397808,0.017025100861188046,0.01705754311397808,0.01705754311397808,0.017025100861188046,0.01712242761955815,0.01705754311397808,0.01705754311397808,0.0,0.009715783342232935,0.008366939291319129,0.007463082535516686,0.017089985366768114,0.01705754311397808,0.016941656268397658,0.016992658608398013,0.016862889597237876,0.017025100861188046,0.01705754311397808,0.016992658608398013,0.01705754311397808,0.01712242761955815,0.016858211675607273,0.01705754311397808,0.017038983026767762,0.017025100861188046,0.016992658608398013,0.016876771762817593,0.017089985366768114,0.017025100861188046,0.01705754311397808,0.01674232483002685,0.01672844266444714,0.01705754311397808,0.017025100861188046,0.016992658608398013,0.016941656268397658,0.01697409852118769,0.01705754311397808,0.016895331850027912,0.015453687363062506,0.017025100861188046,0.017025100861188046,0.007843185325047984,0.017025100861188046,0.016992658608398013,0.01705754311397808,0.016696000411657103,0.016909214015607625,0.016747002751657455,0.01705754311397808,0.01705754311397808,0.017025100861188046
F3,0.017100335926156056,0.016673206171972526,0.01690310771507749,0.01705073181865637,0.017067662594129653,0.016492908736367246,0.01701805848662997,0.017149940033655737,0.01690310771507749,0.017165682590208856,0.017100335926156056,0.01701805848662997,0.01701805848662997,0.017100335926156056,0.01708340515068277,0.017100335926156056,0.01701805848662997,3.267333202640005e-05,0.009848340145806397,0.008389029885490859,0.007454869375438048,0.017182613365682137,0.01701805848662997,0.01690310771507749,0.01698538515460357,0.016920038490550772,0.01698538515460357,0.01701805848662997,0.016952711822577172,0.017100335926156056,0.01705073181865637,0.016788156943525007,0.01701805848662997,0.017165682590208856,0.016952711822577172,0.017034989262103256,0.01687043438305109,0.017133009258182452,0.01698538515460357,0.017182613365682137,0.016640532839946126,0.016657463615419407,0.01701805848662997,0.01698538515460357,0.017034989262103256,0.01690310771507749,0.017067662594129653,0.01701805848662997,0.016887365158524372,0.015376074352868824,0.01701805848662997,0.017149940033655737,0.007832395022121894,0.01698538515460357,0.016952711822577172,0.01701805848662997,0.016657463615419407,0.01690310771507749,0.01673974105494549,0.017100335926156056,0.017100335926156056,0.01701805848662997
F7,0.01710250879881521,0.01661499178743542,0.01677796440803516,0.017117965550623532,0.01710250879881521,0.01643656241502736,0.01708565119658747,0.017216309463151145,0.016907221824179412,0.017134823152851274,0.01707019444477915,0.017053336842551406,0.017021022488515343,0.01707019444477915,0.01708565119658747,0.017134823152851274,0.017021022488515343,3.231435403606282e-05,0.009684310669104301,0.008483076168092275,0.007558614952015923,0.01728093817122327,0.017021022488515343,0.016907221824179412,0.016924079426407154,0.016794822010262903,0.01698870813447928,0.017021022488515343,0.016956393780443217,0.017167137506887337,0.017117965550623532,0.016858049867915604,0.017021022488515343,0.017231766214959462,0.01698870813447928,0.01710250879881521,0.016810278762071224,0.017167137506887337,0.01698870813447928,0.017248623817187208,0.016647306141471484,0.016599535035627104,0.017021022488515343,0.01698870813447928,0.01703788009074309,0.01687490747014335,0.017167137506887337,0.017021022488515343,0.016924079426407154,0.01512012639925998,0.016956393780443217,0.017183995109115082,0.007932331299059783,0.01698870813447928,0.016956393780443217,0.01708565119658747,0.016534906327554978,0.016842593116107286,0.01655176392978272,0.01710250879881521,0.017167137506887337,0.01698870813447928
FT9,0.017134208031229857,0.0165682540174175,0.016810619504572126,0.017118224149600167,0.017134208031229857,0.016390258600566504,0.017053419535511646,0.017182594219903806,0.016940228732749175,0.017101805724185595,0.017069403417141332,0.017053419535511646,0.017053419535511646,0.017069403417141332,0.017085821842555908,0.017134208031229857,0.017053419535511646,3.240230704426155e-05,0.009800517283015718,0.00834458618494839,0.007422206793649156,0.017247398833992327,0.017053419535511646,0.016940228732749175,0.016956212614378862,0.016826603386201816,0.017021017228467383,0.017053419535511646,0.016988614921423124,0.017134208031229857,0.017118224149600167,0.016891842544075227,0.017053419535511646,0.017199012645318378,0.017021017228467383,0.017069403417141332,0.016843021811616392,0.017166610338274116,0.017021017228467383,0.017214996526948065,0.01660065632446176,0.016551835592002927,0.017053419535511646,0.017021017228467383,0.017069403417141332,0.016907826425704913,0.017134208031229857,0.017053419535511646,0.0169238103073346,0.015080355156090797,0.016988614921423124,0.017182594219903806,0.007794181508980832,0.017021017228467383,0.016988614921423124,0.017053419535511646,0.01656781947363261,0.01687542411866065,0.01650301485954409,0.017134208031229857,0.017134208031229857,0.016988614921423124
FC5,0.01703788510627543,0.016801874738488584,0.016886822071142338,0.01710400080875477,0.01703788510627543,0.01661775385211582,0.017004827255035763,0.017004827255035763,0.017004827255035763,0.01703788510627543,0.017004827255035763,0.01703788510627543,0.01703788510627543,0.017004827255035763,0.01710400080875477,0.01703788510627543,0.01703788510627543,0.0,0.00980906647795722,0.008402215089454455,0.007481610657590641,0.0170709429575151,0.01703788510627543,0.017004827255035763,0.01697176940379609,0.016839537998837414,0.017004827255035763,0.01703788510627543,0.01697176940379609,0.01703788510627543,0.01710400080875477,0.01691987992238201,0.01703788510627543,0.017019053476101016,0.017004827255035763,0.01697176940379609,0.016938711552556423,0.0170709429575151,0.017004827255035763,0.01703788510627543,0.016801874738488584,0.01678764851742333,0.01703788510627543,0.017004827255035763,0.01697176940379609,0.017004827255035763,0.016952937773621675,0.01703788510627543,0.016872595850077082,0.015522649345835336,0.017004827255035763,0.017004827255035763,0.007868684060510583,0.017004827255035763,0.01697176940379609,0.01703788510627543,0.01675459066618366,0.01697176940379609,0.01672153281494399,0.01703788510627543,0.01703788510627543,0.017004827255035763
FC1,0.017084622408037438,0.01659622346614266,0.01679168682688146,0.01710060831815475,0.017084622408037438,0.016417264935425606,0.01713309905829381,0.01719859945847637,0.016889159047298638,0.01714960388831556,0.017084622408037438,0.01706811757801569,0.01700313609773757,0.017084622408037438,0.01710060831815475,0.0171171131481765,0.01700313609773757,3.249074013906037e-05,0.00986493213840835,0.008498245372950065,0.007570961979225751,0.01729607167889355,0.01700313609773757,0.016889159047298638,0.01693815461745945,0.016808191656903206,0.016970645357598506,0.01700313609773757,0.01693815461745945,0.017182094628454617,0.01713309905829381,0.016840163477137828,0.01700313609773757,0.017247076108732738,0.016970645357598506,0.017084622408037438,0.016824177567020517,0.01714960388831556,0.016970645357598506,0.017231090198615427,0.016628714206281717,0.01658023755602535,0.01700313609773757,0.016970645357598506,0.017019640927759316,0.016889159047298638,0.017182094628454617,0.01700313609773757,0.016905663877320388,0.015163517380597376,0.016970645357598506,0.017166108718337306,0.007945383870681602,0.016970645357598506,0.01693815461745945,0.01706811757801569,0.016547746815886284,0.01685666830715958,0.016564251645908037,0.017084622408037438,0.017182094628454617,0.01700313609773757
C3,0.017075843570680788,0.01651112584989247,0.016785151868276938,0.01709250925470017,0.017075843570680788,0.016333377691646285,0.01706010694765591,0.017269328351951857,0.016882358789409725,0.017140648184769312,0.017075843570680788,0.017027704640611648,0.016995302333567386,0.017075843570680788,0.01709250925470017,0.017188787114838452,0.016995302333567386,3.240230704426155e-05,0.009780736594631105,0.008666108715084844,0.007744965616809648,0.017334132966040378,0.016995302333567386,0.016882358789409725,0.016930497719478865,0.01680088849130182,0.016962900026523127,0.016995302333567386,0.016930497719478865,0.017140648184769312,0.01709250925470017,0.016801817552296323,0.016995302333567386,0.0173989375801289,0.016962900026523127,0.017075843570680788,0.0168175541753212,0.017140648184769312,0.016962900026523127,0.017301730658996116,0.01654352815693673,0.01649446016587309,0.016995302333567386,0.016962900026523127,0.017011038956592266,0.016882358789409725,0.017301730658996116,0.016995302333567386,0.016898095412434602,0.015058596398867724,0.016962900026523127,0.017317467282020996,0.008116198556326901,0.016962900026523127,0.016930497719478865,0.01706010694765591,0.01654259909594223,0.016849956482365463,0.016477794481853707,0.017075843570680788,0.017140648184769312,0.016995302333567386
T7,0.017048106839876523,0.016638424532293868,0.016835739269729304,0.01711308409783624,0.01713051989410431,0.016458545591126507,0.017015618210896664,0.017098031265124457,0.016933205156668876,0.01713051989410431,0.017098031265124457,0.017048106839876523,0.017048106839876523,0.017098031265124457,0.01711308409783624,0.01713051989410431,0.017048106839876523,3.248862897985705e-05,0.009774547014692872,0.008333132521797692,0.00740124918698103,0.01716300852308417,0.017048106839876523,0.016933205156668876,0.01698312958191681,0.01685317506599738,0.017015618210896664,0.017048106839876523,0.01698312958191681,0.01713051989410431,0.01711308409783624,0.016850792102441087,0.017048106839876523,0.01711308409783624,0.017015618210896664,0.0170655426361446,0.016868227898709162,0.01716300852308417,0.017015618210896664,0.01713051989410431,0.016670913161273726,0.016623371699582088,0.017048106839876523,0.017015618210896664,0.0170655426361446,0.016933205156668876,0.017048106839876523,0.017048106839876523,0.016918152323957096,0.015244551501090326,0.017015618210896664,0.017098031265124457,0.007778442865583827,0.017015618210896664,0.01698312958191681,0.017048106839876523,0.016590883070602233,0.01690071652768902,0.016608318866870305,0.01713051989410431,0.01713051989410431,0.017015618210896664
TP9,0.017092193647897946,0.016524574332852794,0.016865145921879883,0.017076875886761378,0.017059458280607124,0.01634557973526212,0.017076875886761378,0.017205717510906975,0.016897881289170705,0.01722313511706123,0.017124929015188764,0.017044140519470556,0.017011405152179734,0.017124929015188764,0.0171096112540522,0.017124929015188764,0.017011405152179734,3.2735367290821005e-05,0.009867557855702163,0.008470436287285287,0.007542727932041102,0.017238452878197797,0.017011405152179734,0.016897881289170705,0.016978669784888913,0.016913199050307273,0.016978669784888913,0.017011405152179734,0.01694593441759809,0.017157664382479586,0.017076875886761378,0.016784357426161675,0.017011405152179734,0.01725587048435205,0.01694593441759809,0.017092193647897946,0.016865145921879883,0.017157664382479586,0.016978669784888913,0.017238452878197797,0.016524574332852794,0.016507156726698537,0.017011405152179734,0.016978669784888913,0.017026722913316302,0.016897881289170705,0.017124929015188764,0.017011405152179734,0.016913199050307273,0.015162287976744421,0.017011405152179734,0.017172982143616157,0.007916034888359015,0.016978669784888913,0.01694593441759809,0.017076875886761378,0.016587945222416748,0.016897881289170705,0.016587945222416748,0.017092193647897946,0.017157664382479586,0.017044140519470556
