,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.16060020064235028,0.0,0.01995358131371749,0.0,0.09038586443952416,0.051570987171214125,0.0,0.00020689369801795836,0.006682666445980055,2.068936980179584e-05,0.0027723755534406424,0.0,0.06070435198262061,2.068936980179584e-05,2.068936980179584e-05,0.0,0.0,2.068936980179584e-05,0.0,0.014523937600860678,0.04405070490828779,0.0005379236148466917,2.068936980179584e-05,0.0,0.037413668442281556,0.034560357369792405,2.068936980179584e-05,0.005475597596858843,0.0,0.0920053440925614,0.06458864957689632,0.014124159054044764,0.02132665097729538,2.068936980179584e-05,0.05153851579238626,0.034574973539065294,0.0,0.0,0.0,0.034089117496753064,0.0,0.0,0.020501424489428054,0.011441221500393098,0.0,0.034115434699044975,0.020340646627426233,0.00010344684900897918,0.00482062316381843,0.0,0.004055116481151984,2.068936980179584e-05,2.068936980179584e-05,0.0,0.0021103157197831755,0.02797895142063092,0.0,2.068936980179584e-05,2.068936980179584e-05,0.03257733593309503,2.068936980179584e-05,2.068936980179584e-05,0.0
Fz,0.0,0.2015256109024126,0.008726366091834614,0.017712445460211924,0.0006752545190110118,0.0011946810720964056,0.16941021870697193,0.0,0.010804072304176189,0.0,0.0,0.0,0.0,0.0052462081861624765,0.0008830251402451694,5.194265530853937e-05,0.00820693953874922,5.194265530853937e-05,0.0007271971743195513,0.0011946810720964056,0.0025971327654269686,0.0014543943486391025,0.0,0.16256123721726326,0.010076875129856638,0.03288918744317206,5.194265530853937e-05,0.002908788697278205,0.15216532395181057,0.0012985663827134843,0.0,0.013712861001454394,0.00020777062123415748,0.0046228963224600045,0.0015063370039476419,0.014838129316167428,0.0032723872844379804,0.0,0.0024413047995013506,0.0025451901101184293,0.0,0.0065967172241845,0.05652526684495301,0.008414710159983378,0.014595886141699564,0.04168693710696446,0.0,0.0065967172241845,0.003584043216289217,0.005350093496779555,0.0,0.00031165593185123624,0.010959900270101807,0.0,0.0,0.0024413047995013506,0.0,0.0,0.0,0.0036879285269062955,0.0036879285269062955,0.0,0.0
F3,0.03386167041489415,0.006780221597486357,0.3227403218864262,0.015409006670599787,0.05642534914265045,0.003018025467173805,4.134281461881925e-05,0.04956392481370393,0.0032660823548867207,0.0,0.03895749846032038,0.0038592508513053347,0.0,4.134281461881925e-05,4.134281461881925e-05,0.0002480568877129155,0.0020257979163221434,0.02610567392354292,0.021823956757949976,0.0,0.0,0.006697535968248718,0.0015891032917139615,4.134281461881925e-05,0.015023434477598576,0.007317678187531007,0.011948073424838763,0.0562712403989408,0.03067636844716388,0.06469627719451508,0.0,0.003472796427980817,0.06917595182797184,0.0035554820572184552,0.0,0.0,0.0010749131800893005,0.0,0.004258309905738383,0.0,0.0,4.134281461881925e-05,0.0013019279360484378,0.02995959385119252,0.00826114843487648,0.007400363816768646,0.0,4.134281461881925e-05,4.134281461881925e-05,0.005581279973540599,0.0,0.025268296565289644,0.0032660823548867207,0.010170332396229536,0.0,0.0004134281461881925,0.0,0.0,0.0,0.0,0.03828252656498743,0.0032247395402679015,0.0067388787828675375
F7,0.0,0.01144578313253012,0.011920025000105576,0.14015082411665591,0.0,0.0005689424364123159,0.016265060240963854,0.01977901089109329,0.020120861996883434,0.01917881832271251,0.010173501577287067,0.0,0.0,0.0,0.0,0.004871325470124452,0.006157965194109772,0.01088887621991647,0.0016561514195583596,0.0,0.0,0.0,0.013474507915996267,0.010910307898259705,0.004756987994037137,0.009150482054400569,0.03526419030485771,0.013445369279431078,0.013362493084852553,0.0,0.0,0.013167918783440808,0.0,0.08190279519761486,0.0,0.0014725568942436412,0.03311943884898163,0.026920721793588655,0.06212800729732812,0.003045515394912985,0.0023092369477911647,0.003714859437751004,0.0,0.014329346830011951,0.012593697608520306,0.0023092369477911647,0.0,0.0,0.005856760374832664,0.01218206157965194,0.014424364123159304,0.039019062580500766,0.0270448777233012,0.039286800197635974,0.011211512717536815,0.01750334672021419,0.03663455082158286,0.03824667756198295,0.033522417746696564,0.009738955823293172,0.0338872841523824,0.050886511345064805,0.0
FT9,0.08501531498867321,0.00022278932231538866,0.030949641934390877,0.0,0.12214298045675534,0.03991554430826585,0.0,0.0028355004658322195,0.003301332685218941,2.0253574755944424e-05,0.0025114432697371084,0.0,0.05164304179283383,0.0017013002794993317,2.0253574755944424e-05,0.0,0.0,0.0013078603443160818,0.009822983756633047,0.011544537610888321,0.04516669156733315,0.0034836148580224408,2.0253574755944424e-05,0.0,0.04190928772951917,0.030661439263833398,2.0253574755944424e-05,0.03268227965562882,0.0026127111435168306,0.10269736345148885,0.058969906617908935,0.013461642744489608,0.04777433240184593,2.0253574755944424e-05,0.05138125285969024,0.035028820322378265,0.0,0.0,0.0,0.0340536391889776,0.0,0.0,0.0152141274199578,0.007068497589824604,0.0,0.023955185239880716,0.018831985140105444,0.002005103900838498,0.0017823145785231093,0.0,0.0017823145785231093,2.0253574755944424e-05,2.0253574755944424e-05,0.0,0.002187386073641998,0.03034545638960562,0.0,2.0253574755944424e-05,2.0253574755944424e-05,0.029372053875239106,2.0253574755944424e-05,2.0253574755944424e-05,0.004435532871551829
FC5,0.05764922261213667,0.0005071973722345667,0.0017148101632692495,0.0003622838373104048,0.04731846614062017,0.16511974123878387,0.0,0.0013766785817795383,0.04646257033028055,2.4152255820693654e-05,0.0013525263259588445,0.0,0.03821278772407354,2.4152255820693654e-05,2.4152255820693654e-05,0.0,0.003477924838179886,2.4152255820693654e-05,0.0017872669307313304,0.014684571538981742,0.06438853590254556,0.000627958651338035,2.4152255820693654e-05,0.0,0.04236056670549246,0.01643386199354826,2.4152255820693654e-05,0.0017872669307313304,0.0015457443725243939,0.05014618672565084,0.06345120599898656,0.03150525330552338,0.008514451239371305,2.4152255820693654e-05,0.04349028073918165,0.03957806553280237,0.0,0.0,0.0,0.038058830306681266,0.0,0.0,0.019490870447299777,0.04007913185744166,0.004999516954883586,0.03896875059069081,0.008388803914674673,2.4152255820693654e-05,0.016074107311248417,0.002512562814070352,0.004419862815186939,2.4152255820693654e-05,2.4152255820693654e-05,0.0,0.005475875079411944,0.03653914484398708,0.0014589074404279462,2.4152255820693654e-05,2.4152255820693654e-05,0.037552811379737996,2.4152255820693654e-05,2.4152255820693654e-05,0.0017872669307313304
FC1,0.0,0.14777750215371713,3.555429140297234e-05,0.017350494204650502,0.0,0.0,0.16557168618091078,0.0,0.0,0.010417407381070895,0.0,0.0,0.0,0.0035909834317002062,0.0006044229538505298,0.0031998862262675107,0.0,3.555429140297234e-05,0.0,0.00014221716561188937,0.001137737324895115,0.0,0.0,0.1552089401129335,0.0,0.033686554458171696,3.555429140297234e-05,0.0,0.13302572202945714,0.0,0.0,0.00849747564531039,0.0,0.018061580032709947,0.0,0.012703418740621532,0.018061580032709947,0.01443504230960677,0.004622057882386404,0.003128777643461566,0.0024532461068050913,0.004515395008177487,0.0473431419227288,0.0,0.0019199317357605063,0.03788363171355499,0.0,0.004515395008177487,0.008675247102325251,0.003662092014506151,0.014648368058024604,0.00913745289056389,0.019092654483396147,0.007821944108653915,0.011235156083339259,0.018061580032709947,0.01642608262817322,0.01383061935575624,0.014470596601009742,0.0066842067837588,0.00024888003982080636,0.006044229538505298,0.0
C3,0.0005719888870730511,0.0,0.08912909682413242,0.04713473552037834,0.011194639647001145,0.004412485700277823,0.0,0.3198393475123271,0.0,0.0024513809445987906,0.058106539041079,0.002941657133518549,0.0,0.004003922209511358,0.009887236476548456,0.0,0.0,0.021211099050168658,0.010050661872855042,0.005883314267037098,0.0011231748408835642,0.014544829678737242,0.003595358718744893,0.0,0.0270676448369047,0.0,0.01029579996731492,0.011521490439614316,0.009478672985781991,0.006945579343029907,0.0,0.0,0.01299231900637359,0.00784441902271613,0.0,0.0014708285667592745,0.0,0.0036488344942491825,0.056114229885506156,0.0,0.0,0.006551853238487458,0.0,0.06811853193210485,0.03402509408891381,0.0,0.0,0.0004902761889197581,0.0,0.006700441248570028,0.0,0.07449212238806172,0.01029579996731492,0.006700441248570028,0.0,0.0,0.0,0.003595358718744893,0.005066187285504167,0.0,0.011300122755661779,0.01029579996731492,0.00890668409870894
T7,0.015909535931074994,0.010231055414137458,0.0038182886234579987,0.030925774095918252,0.008175053847660074,0.08342710073999954,0.0,0.0,0.21641951845684224,0.0,0.01030609686499114,0.0,0.004552574897199921,4.895241824946152e-05,0.0,0.0004405717642451537,0.015371059330330918,0.007147053064421383,0.0,0.006461719208928921,0.04394213695137036,0.0,0.015460758120966199,0.0027902878402193067,0.04572395852633454,0.0006853338554924614,0.02040474592275644,0.020815177241816894,0.016334418148511675,0.013608772273350304,0.005482670843939691,0.05732142379747107,0.0,0.014779166015946154,0.0025455257489719993,0.0,0.0,0.020815177241816894,0.005226373839167075,0.014056208214324163,4.895241824946152e-05,4.895241824946152e-05,0.010871075381150185,0.09956601887762143,0.021147444683767377,0.057943251115635155,4.895241824946152e-05,0.000771910219871451,0.0,0.0,0.0,0.0015664773839827687,0.0016643822204816918,0.020815177241816894,0.0,0.0,0.0,0.013340837134349692,0.01496749218799917,0.0035735265322106914,0.020815177241816894,0.019583883284635527,0.0
TP9,0.0,0.0,0.0,0.01897481453222126,0.0,0.0,0.0075584058634906096,0.0007889245177380771,0.0,0.20955057027432006,0.0,0.0,0.0,0.028435802518160705,0.017371092822370565,0.003573191638928638,0.003995520944673487,0.005142639688016715,0.0,0.0,0.0,2.5449177991550873e-05,0.023374168824331493,0.004708097928436911,0.0,0.0020868325953071714,0.02974740528690521,0.0,0.0,0.0,0.0,0.002392222731205782,0.0,0.07630436196547075,0.0,0.0018577899933832137,0.08551403439436708,0.01252099557184303,0.029385434064489006,0.0023158751972311292,0.019366824451570213,0.02776088716622379,0.0,0.00033083931389016135,0.00033083931389016135,0.0013488064335521962,0.0018577899933832137,0.00903445818700056,0.011273985850257037,0.005802412582073599,0.008729068051101949,0.00908030905702365,0.03780346371979368,0.012088359545986664,0.008729068051101949,0.008067389423321627,0.07866901803677004,0.06406009665802655,0.03917704961612712,0.0039446225886903856,0.02021172928188723,0.06670935214744575,0.0
