,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0636215334420881,0.04241435562805873,0.0,0.0,0.04241435562805873,0.048939641109298535,0.0,0.0,0.03099510603588907,0.0,0.0,0.0,0.05546492659053834,0.0,0.024469820554649267,0.008156606851549755,0.0,0.0,0.0,0.026101141924959218,0.06525285481239804,0.0,0.0,0.021207177814029365,0.0,0.0,0.0,0.0,0.0032626427406199023,0.04241435562805873,0.0,0.0,0.06525285481239804,0.06525285481239804,0.05057096247960848,0.0,0.0,0.03588907014681892,0.0,0.0,0.040783034257748776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053833605220228384,0.0636215334420881,0.06525285481239804,0.04404567699836868,0.0,0.0,0.040783034257748776,0.0,0.0,0.0
Fz,0.05222437137330754,0.05029013539651837,0.0,0.0,0.05029013539651837,0.05222437137330754,0.0,0.0,0.0367504835589942,0.0,0.0,0.0,0.05222437137330754,0.0,0.029013539651837523,0.009671179883945842,0.0,0.0,0.0,0.030947775628626693,0.05222437137330754,0.0,0.0,0.025145067698259187,0.0,0.0,0.0,0.0,0.0038684719535783366,0.05029013539651837,0.0,0.0,0.05222437137330754,0.05222437137330754,0.05222437137330754,0.0,0.0,0.0425531914893617,0.0,0.0,0.048355899419729204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05222437137330754,0.05222437137330754,0.05222437137330754,0.05222437137330754,0.0,0.0,0.048355899419729204,0.0,0.0,0.0
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.05222437137330754,0.05029013539651837,0.0,0.0,0.05029013539651837,0.05222437137330754,0.0,0.0,0.0367504835589942,0.0,0.0,0.0,0.05222437137330754,0.0,0.029013539651837523,0.009671179883945842,0.0,0.0,0.0,0.030947775628626693,0.05222437137330754,0.0,0.0,0.025145067698259187,0.0,0.0,0.0,0.0,0.0038684719535783366,0.05029013539651837,0.0,0.0,0.05222437137330754,0.05222437137330754,0.05222437137330754,0.0,0.0,0.0425531914893617,0.0,0.0,0.048355899419729204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05222437137330754,0.05222437137330754,0.05222437137330754,0.05222437137330754,0.0,0.0,0.048355899419729204,0.0,0.0,0.0
FC5,0.05575539568345324,0.046762589928057555,0.0,0.0,0.046762589928057555,0.0539568345323741,0.0,0.0,0.0341726618705036,0.0,0.0,0.0,0.05575539568345324,0.0,0.02697841726618705,0.008992805755395683,0.0,0.0,0.0,0.02877697841726619,0.05575539568345324,0.0,0.0,0.023381294964028777,0.0,0.0,0.0,0.0,0.0035971223021582736,0.046762589928057555,0.0,0.0,0.05575539568345324,0.05575539568345324,0.05575539568345324,0.0,0.0,0.039568345323741004,0.0,0.0,0.044964028776978415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05575539568345324,0.05575539568345324,0.05575539568345324,0.048561151079136694,0.0,0.0,0.044964028776978415,0.0,0.0,0.0
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,0.04878048780487805,0.04878048780487805,0.0,0.0,0.04878048780487805,0.04878048780487805,0.0,0.0,0.046341463414634146,0.0,0.0,0.0,0.04878048780487805,0.0,0.036585365853658534,0.012195121951219513,0.0,0.0,0.0,0.03902439024390244,0.04878048780487805,0.0,0.0,0.03170731707317073,0.0,0.0,0.0,0.0,0.004878048780487805,0.04878048780487805,0.0,0.0,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.0,0.0,0.04878048780487805,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.0,0.0,0.04878048780487805,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
