,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.13922036595067622,0.0010607265977194379,0.003447361442588173,0.005568814638027049,0.01882789710952002,0.0,0.02970034473614426,0.03261734287987271,0.021479713603818614,0.011402810925483956,0.010607265977194379,0.008220631132325643,0.0,0.02015380535666932,0.00477326968973747,0.022275258552108195,0.0,0.03341288782816229,0.021479713603818614,0.01617608061522143,0.01007690267833466,0.03341288782816229,0.005833996287456908,0.00477326968973747,0.013524264120922832,0.002916998143728454,0.011667992574913817,0.020418987006099176,0.012463537523203394,0.005833996287456908,0.024661893396976928,0.010872447626624237,0.011137629276054098,0.0,0.0018562715460090163,0.020684168655529037,0.010607265977194379,0.006364359586316627,0.0,0.0098117210289048,0.009016176080615222,0.01405462741978255,0.0294351630867144,0.03261734287987271,0.007425086184036065,0.006894722885176346,0.0013259082471492973,0.007159904534606206,0.005568814638027049,0.012728719172633254,0.015910898965791568,0.010607265977194379,0.004508088040307611,0.0026518164942985947,0.0015910898965791568,0.017501988862370723,0.007159904534606206,0.0042429063908777515,0.024661893396976928,0.021214531954388757,0.04375497215592681,0.01007690267833466,0.021479713603818614,0.03447361442588173,0.00503845133916733,0.0,0.02916998143728454,0.002386634844868735
bankssts-rh,0.0027535566773749425,0.20468104635153742,0.015144561725562184,0.018357044515832952,0.0009178522257916476,0.0,0.0036714089031665903,0.010096374483708122,0.0009178522257916476,0.0073428178063331805,0.021110601193207894,0.008719596145020651,0.015603487838458009,0.016521340064249657,0.03579623680587425,0.0289123451124369,0.024782010096374485,0.008719596145020651,0.004589261128958238,0.023864157870582835,0.0,0.0032124827902707664,0.01698026617714548,0.0,0.016062413951353834,0.027535566773749427,0.005507113354749885,0.004589261128958238,0.01101422670949977,0.0,0.041762276273519965,0.006883891693437357,0.006883891693437357,0.03809086737035337,0.005966039467645709,0.0,0.002294630564479119,0.0032124827902707664,0.016521340064249657,0.011932078935291418,0.019274896741624598,0.004589261128958238,0.02294630564479119,0.010555300596603947,0.02661771454795778,0.006424965580541533,0.0,0.0,0.012391005048187242,0.024782010096374485,0.0036714089031665903,0.018357044515832952,0.006424965580541533,0.005966039467645709,0.018357044515832952,0.007801743919229004,0.009637448370812299,0.0013767783386874712,0.01698026617714548,0.004130335016062414,0.0,0.008719596145020651,0.0,0.0,0.013767783386874713,0.002294630564479119,0.04772831574116567,0.03625516291877008
caudalanteriorcingulate-lh,0.006889050036258158,0.010514865844815084,0.18564176939811458,0.12907904278462654,0.020667150108774474,0.0,0.009064539521392313,0.0018129079042784628,0.012690355329949238,0.006889050036258158,0.0,0.0,0.007251631617113851,0.0014503263234227702,0.0387962291515591,0.004713560551124003,0.007976794778825236,0.01595358955765047,0.005801305293691081,0.010514865844815084,0.01595358955765047,0.011602610587382161,0.0,0.0,0.0,0.006163886874546773,0.013778100072516316,0.006163886874546773,0.0,0.00870195794053662,0.009064539521392313,0.005438723712835388,0.043509789702683106,0.006889050036258158,0.01595358955765047,0.009064539521392313,0.00036258158085569254,0.005076142131979695,0.01740391588107324,0.029369108049311095,0.007976794778825236,0.008339376359680928,0.014503263234227702,0.008339376359680928,0.0,0.0337200870195794,0.012690355329949238,0.019216823785351705,0.0,0.02574329224075417,0.012690355329949238,0.0,0.0,0.0,0.014503263234227702,0.029006526468455404,0.02864394488759971,0.01015228426395939,0.009789702683103698,0.005801305293691081,0.01305293691080493,0.0,0.023930384336475707,0.009789702683103698,0.00036258158085569254,0.0014503263234227702,0.020667150108774474,0.009427121102248005
caudalanteriorcingulate-rh,0.01088850174216028,0.0156794425087108,0.15505226480836237,0.20949477351916376,0.018728222996515678,0.0,0.005226480836236934,0.0013066202090592336,0.0,0.013501742160278746,0.0,0.0,0.0,0.004790940766550522,0.03614982578397213,0.008710801393728223,0.003048780487804878,0.014808362369337979,0.0,0.018728222996515678,0.006968641114982578,0.0,0.0,0.0,0.0,0.01132404181184669,0.0,0.0,0.0,0.010452961672473868,0.021341463414634148,0.006533101045296167,0.06054006968641115,0.006097560975609756,0.00043554006968641115,0.003048780487804878,0.0,0.0008710801393728223,0.017857142857142856,0.04006968641114982,0.025261324041811847,0.0017421602787456446,0.010017421602787456,0.005662020905923345,0.023519163763066203,0.024390243902439025,0.013937282229965157,0.008275261324041812,0.006968641114982578,0.03440766550522648,0.003484320557491289,0.0017421602787456446,0.0,0.0,0.005662020905923345,0.03571428571428571,0.029616724738675958,0.0021777003484320556,0.004790940766550522,0.006968641114982578,0.0,0.0017421602787456446,0.014372822299651568,0.01088850174216028,0.0,0.003484320557491289,0.023519163763066203,0.0
caudalmiddlefrontal-lh,0.021882494004796162,0.0005995203836930455,0.015887290167865706,0.011091127098321343,0.1681654676258993,0.0,0.011091127098321343,0.008393285371702638,0.0170863309352518,0.021882494004796162,0.001199040767386091,0.002697841726618705,0.01858513189448441,0.01828537170263789,0.010191846522781775,0.03447242206235012,0.012589928057553957,0.02907673860911271,0.01828537170263789,0.012589928057553957,0.03387290167865707,0.021282973621103117,0.009592326139088728,0.00539568345323741,0.0,0.0005995203836930455,0.016786570743405275,0.017685851318944845,0.0,0.012589928057553957,0.011091127098321343,0.0,0.017985611510791366,0.00029976019184652276,0.022182254196642687,0.025179856115107913,0.01408872901678657,0.01738609112709832,0.010491606714628298,0.011990407673860911,0.010491606714628298,0.023081534772182253,0.013489208633093525,0.010191846522781775,0.0008992805755395684,0.02577937649880096,0.002398081534772182,0.013489208633093525,0.012589928057553957,0.005995203836930456,0.021882494004796162,0.013189448441247002,0.00029976019184652276,0.001498800959232614,0.023980815347721823,0.005995203836930456,0.014388489208633094,0.02817745803357314,0.006894484412470024,0.010191846522781775,0.01498800959232614,0.005695443645083933,0.009592326139088728,0.0302757793764988,0.0,0.006894484412470024,0.0,0.005095923261390888
caudalmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.0,0.3051498847040738,0.0,0.0,0.02843966179861645,0.04765564950038432,0.009223674096848577,0.01921598770176787,0.0415065334358186,0.003843197540353574,0.0007686395080707148,0.0,0.023059185242121444,0.01614142966948501,0.0,0.0,0.009223674096848577,0.0,0.0,0.013835511145272867,0.02997694081475788,0.02536510376633359,0.010760953112990008,0.0,0.01921598770176787,0.017678708685626442,0.008455034588777863,0.009992313604919293,0.0,0.0030745580322828594,0.035357417371252885,0.0,0.0,0.003843197540353574,0.013835511145272867,0.0,0.0,0.035357417371252885,0.0,0.0,0.010760953112990008,0.0,0.0,0.0,0.015372790161414296,0.0,0.005380476556495004,0.009992313604919293,0.04688700999231361,0.04765564950038432,0.0,0.0,0.0007686395080707148,0.01614142966948501,0.0,0.0,0.01921598770176787,0.006917755572636433,0.026133743274404306,0.0030745580322828594,0.01921598770176787,0.01921598770176787,0.0,0.022290545734050732
cuneus-lh,0.02389631429728635,0.002430133657351154,0.005265289590927501,0.0026326447954637504,0.0054678007290400975,0.0,0.10024301336573511,0.04536249493722155,0.00850546780072904,0.0004050222762251924,0.0,0.0,0.021668691778047793,0.02551640340218712,0.0074929121101660594,0.0159983799108951,0.017213446739570676,0.014580801944106925,0.036857027136492505,0.005670311867152693,0.023086269744835967,0.05690562980963953,0.003037667071688943,0.005062778452814905,0.0,0.0,0.032604293236127985,0.037059538274605106,0.0,0.0,0.0,0.0,0.006277845281490482,0.0,0.02814904819765087,0.02916160388821385,0.013973268529769137,0.01012555690562981,0.008100445524503848,0.0,0.0022276225192385582,0.014175779667881734,0.07695423248278656,0.06115836371000405,0.004050222762251924,0.007695423248278655,0.003442689347914135,0.009518023491292021,0.0008100445524503848,0.0016200891049007696,0.03564196030781693,0.01923855812069664,0.0,0.0,0.0044552450384771165,0.005265289590927501,0.0,0.003037667071688943,0.035844471445929525,0.02389631429728635,0.03219927095990279,0.006277845281490482,0.019846091535034426,0.012353179424868369,0.0026326447954637504,0.0,0.02490886998784933,0.0
cuneus-rh,0.026986183074265976,0.005613126079447323,0.0006476683937823834,0.0008635578583765112,0.004317789291882556,0.0,0.04835924006908463,0.09369602763385147,0.002158894645941278,0.0025906735751295338,0.0,0.0,0.011010362694300517,0.033246977547495685,0.0,0.03929188255613126,0.007772020725388601,0.021804835924006907,0.02741796200345423,0.005829015544041451,0.023316062176165803,0.05397236614853195,0.005397236614853195,0.028065630397236616,0.0,0.0012953367875647669,0.018134715025906734,0.027849740932642485,0.0,0.0008635578583765112,0.0,0.0036701208981001726,0.0,0.004101899827288429,0.006476683937823834,0.022236614853195166,0.01079447322970639,0.01468048359240069,0.0069084628670120895,0.0051813471502590676,0.006260794473229706,0.012305699481865285,0.045552677029360965,0.05224525043177893,0.006044905008635579,0.003238341968911917,0.0015112262521588947,0.0051813471502590676,0.0002158894645941278,0.0012953367875647669,0.027202072538860103,0.04987046632124352,0.0,0.0,0.0006476683937823834,0.019861830742659757,0.0,0.006692573402417962,0.023316062176165803,0.048791018998272886,0.029576856649395508,0.023316062176165803,0.014464594127806563,0.024395509499136443,0.005829015544041451,0.0,0.02266839378238342,0.004965457685664939
entorhinal-lh,0.023430720277697426,0.0011570726063060456,0.009545849002024877,0.0,0.016488284639861153,0.011859994214636968,0.013884871275672549,0.00404975412207116,0.14318773503037316,0.006363899334683252,0.017645357246167198,0.0228521839745444,0.050043390222736475,0.006363899334683252,0.01214926236621348,0.0069424356378362745,0.03384437373445184,0.011570726063060458,0.02053803876193231,0.0037604859704946487,0.024587792884003472,0.0228521839745444,0.011570726063060458,0.0011570726063060456,0.011281457911483946,0.0017356089094590686,0.02198437951981487,0.010702921608330923,0.011281457911483946,0.010992189759907435,0.015620480185131617,0.006653167486259763,0.0,0.00404975412207116,0.04165461382701764,0.013595603124096037,0.0028926815157651145,0.017356089094590684,0.006653167486259763,0.008388776395718832,0.0,0.019380966155626265,0.016777552791437663,0.007520971940989297,0.0028926815157651145,0.0202487706103558,0.011859994214636968,0.01822389354932022,0.004917558576800694,0.0,0.019091698004049754,0.0017356089094590686,0.02198437951981487,0.011281457911483946,0.02082730691350882,0.00202487706103558,0.02198437951981487,0.027769742551345098,0.0046282904252241824,0.0,0.03644778709864044,0.0,0.023141452126120916,0.0054960948799537175,0.027480474399768584,0.0,0.0,0.013595603124096037
entorhinal-rh,0.014482515012363122,0.00565171317555634,0.006004945249028612,0.008830801836806783,0.02719886965736489,0.019780996114447193,0.002472624514305899,0.00565171317555634,0.009537265983751325,0.18615330271988698,0.007417873542917697,0.012363122571529495,0.016955139526669022,0.025785941363475805,0.01907453196750265,0.018014835747085834,0.016248675379724478,0.05015895443306252,0.015895443306252206,0.027905333804309432,0.026139173436948077,0.01412928293889085,0.023666548922642177,0.0,0.013069586718474038,0.0007064641469445425,0.02154715648180855,0.01377605086541858,0.010243730130695867,0.006711409395973154,0.017661603673613566,0.00282585658777817,0.007064641469445425,0.0,0.013069586718474038,0.023666548922642177,0.014835747085835394,0.01660190745319675,0.01412928293889085,0.0,0.014482515012363122,0.031084422465559872,0.004945249028611798,0.009184033910279053,0.013069586718474038,0.007771105616389968,0.0,0.0010596962204168139,0.01095019427764041,0.004945249028611798,0.015895443306252206,0.014835747085835394,0.0045920169551395265,0.010596962204168139,0.015188979159307664,0.003885552808194984,0.020487460261391734,0.012009890498057224,0.0,0.010596962204168139,0.00282585658777817,0.01095019427764041,0.0010596962204168139,0.02472624514305899,0.0,0.0,0.0,0.01942776404097492
