,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bankssts-rh,0.0,0.016732384707697584,0.015635179153094463,0.015635179153094463,0.01666380936053489,0.0,0.016183781930396022,0.015840905194582547,0.016560946339790845,0.01361220641179496,0.016698097034116236,0.01635522029830276,0.016423795645465457,0.016012343562489286,0.016320932624721413,0.016012343562489286,0.014126521515515172,0.0,0.01638950797188411,0.01649237099262815,0.016046631236070634,0.016046631236070634,0.016115206583233326,0.015978055888907938,0.0164580833190468,0.0164580833190468,0.016183781930396022,0.015978055888907938,0.01649237099262815,0.01638950797188411,0.0006514657980456026,0.016423795645465457,0.01635522029830276,0.01594376821532659,0.01649237099262815,0.016115206583233326,0.0164580833190468,0.0,0.016526658666209497,0.016286644951140065,0.016560946339790845,0.012823589919423967,0.016046631236070634,0.015978055888907938,0.016698097034116236,0.015978055888907938,0.01621806960397737,0.015978055888907938,0.016800960054860276,0.016046631236070634,0.01638950797188411,0.015978055888907938,0.016423795645465457,0.016526658666209497,0.01662952168695354,0.015635179153094463,0.016560946339790845,0.016800960054860276,0.016595234013372193,0.015978055888907938,0.016115206583233326,0.01594376821532659,0.014812274987142122,0.01621806960397737,0.0,0.016595234013372193,0.015909480541745243,0.01666380936053489
caudalanteriorcingulate-lh,0.0,0.016274029065842306,0.016202963436733823,0.015954233734854138,0.016274029065842306,0.0,0.016274029065842306,0.016167430622179582,0.016274029065842306,0.014035461748925133,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.01606083217851686,0.016274029065842306,0.014639519596347227,0.0,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.0007106562910848168,0.016274029065842306,0.016274029065842306,0.016238496251288065,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.0,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.013324805457840316,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016238496251288065,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.015954233734854138,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016274029065842306,0.016238496251288065,0.014675052410901468,0.016274029065842306,0.0,0.016274029065842306,0.01613189780762534,0.016274029065842306
caudalanteriorcingulate-rh,0.0,0.015430028176573192,0.015195223399973165,0.017006574533744802,0.016436334362001877,0.0,0.01640279082248759,0.01640279082248759,0.016033811887830405,0.014457265530658795,0.015966724808801826,0.016067355427344693,0.016067355427344693,0.016503421441030456,0.015228766939487454,0.016469877901516168,0.013752851200858715,0.0,0.016235073124916143,0.01633570374345901,0.01633570374345901,0.0163692472829733,0.016235073124916143,0.016536964980544747,0.016235073124916143,0.016235073124916143,0.016302160203944722,0.016503421441030456,0.016235073124916143,0.01626861666443043,0.002012612370857373,0.0163692472829733,0.016067355427344693,0.016671139138601906,0.016000268348316114,0.0163692472829733,0.016167986045887563,0.0,0.01620152958540185,0.016235073124916143,0.01620152958540185,0.012813632094458608,0.0163692472829733,0.016469877901516168,0.015966724808801826,0.016570508520059035,0.01563128941365893,0.01707366161277338,0.01626861666443043,0.016302160203944722,0.016167986045887563,0.016436334362001877,0.016033811887830405,0.01620152958540185,0.016235073124916143,0.016134442506373272,0.01640279082248759,0.01620152958540185,0.016033811887830405,0.016469877901516168,0.016771769757144773,0.016570508520059035,0.013618677042801557,0.016637595599087614,0.0,0.015933181269287534,0.01707366161277338,0.016067355427344693
caudalmiddlefrontal-lh,0.0,0.015917022733944356,0.014938517238005154,0.015851789034215077,0.016862911380018917,0.0,0.01637365863204932,0.016014873283538275,0.016406275481913958,0.01373169379301347,0.016536742881372517,0.016243191232590756,0.016308424932320036,0.016210574382726117,0.015819172184350437,0.016210574382726117,0.01343814214423171,0.0,0.016438892331778598,0.016634593430966436,0.016177957532861477,0.016177957532861477,0.016177957532861477,0.016177957532861477,0.016504126031507877,0.016504126031507877,0.016275808082455396,0.016177957532861477,0.016536742881372517,0.016471509181643237,0.001402524544179523,0.016569359731237156,0.016243191232590756,0.016145340682996837,0.016308424932320036,0.016243191232590756,0.016438892331778598,0.0,0.016536742881372517,0.016341041782184675,0.016569359731237156,0.012459636648292508,0.016210574382726117,0.016177957532861477,0.016536742881372517,0.016177957532861477,0.015753938484621154,0.016177957532861477,0.016765060830424998,0.016177957532861477,0.01637365863204932,0.016145340682996837,0.016275808082455396,0.016536742881372517,0.01666721028083108,0.015656087935027235,0.01669982713069572,0.01669982713069572,0.016438892331778598,0.016177957532861477,0.016308424932320036,0.016145340682996837,0.013992628591930591,0.016406275481913958,0.0,0.016406275481913958,0.016112723833132198,0.016601976581101796
caudalmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuneus-lh,0.0,0.015676458964563298,0.015083651692794098,0.015972862600447897,0.0165656698722171,0.0,0.016499802397576077,0.016170465024370966,0.0162692662363325,0.013832169674614675,0.016203398761691478,0.01630219997365301,0.01630219997365301,0.01633513371097352,0.015478856540640231,0.01633513371097352,0.013568699776050587,0.0,0.016466868660255565,0.01653273613489659,0.01633513371097352,0.01633513371097352,0.01633513371097352,0.01630219997365301,0.016466868660255565,0.016466868660255565,0.016433934922935056,0.01630219997365301,0.016466868660255565,0.016499802397576077,0.0013832169674614675,0.0165656698722171,0.01630219997365301,0.0162692662363325,0.016236332499011987,0.016401001185614543,0.016401001185614543,0.0,0.016433934922935056,0.016401001185614543,0.016433934922935056,0.012580687656435252,0.016368067448294034,0.01630219997365301,0.016203398761691478,0.01630219997365301,0.015874061388486366,0.01630219997365301,0.016401001185614543,0.01633513371097352,0.016401001185614543,0.01630219997365301,0.0162692662363325,0.016433934922935056,0.016466868660255565,0.015775260176524832,0.0165656698722171,0.016368067448294034,0.0162692662363325,0.01630219997365301,0.016433934922935056,0.0162692662363325,0.013898037149255698,0.016499802397576077,0.0,0.016170465024370966,0.016236332499011987,0.01630219997365301
cuneus-rh,0.0,0.015558745951721145,0.015291643016927649,0.016193115421855697,0.016460218356649195,0.0,0.016460218356649195,0.01639344262295082,0.01615972755500651,0.013989516209809356,0.016092951821308137,0.016193115421855697,0.016193115421855697,0.016460218356649195,0.015358418750626022,0.016460218356649195,0.013755801141865046,0.0,0.01636005475610163,0.01639344262295082,0.016460218356649195,0.016460218356649195,0.01636005475610163,0.016460218356649195,0.01636005475610163,0.01636005475610163,0.016426830489800006,0.016460218356649195,0.01636005475610163,0.01639344262295082,0.0013689025408166672,0.016460218356649195,0.016193115421855697,0.016460218356649195,0.016126339688157323,0.016460218356649195,0.016293279022403257,0.0,0.016326666889252446,0.016326666889252446,0.016326666889252446,0.012754165136389436,0.016460218356649195,0.016460218356649195,0.016092951821308137,0.016460218356649195,0.015759073152816265,0.016460218356649195,0.01625989115555407,0.01639344262295082,0.016293279022403257,0.016460218356649195,0.01615972755500651,0.016326666889252446,0.01636005475610163,0.01595940035391139,0.016460218356649195,0.016293279022403257,0.01615972755500651,0.016460218356649195,0.016460218356649195,0.016460218356649195,0.013755801141865046,0.016460218356649195,0.0,0.01605956395445895,0.01636005475610163,0.016193115421855697
entorhinal-lh,0.0,0.016118868362575037,0.015190209279957546,0.01572087161288183,0.016682697091307087,0.0,0.01625153394580611,0.015919869987728433,0.01661636429969155,0.013664555072800238,0.01664953069549932,0.016417365924844947,0.016483698716460483,0.01608570196676727,0.0159530363835362,0.01608570196676727,0.013664555072800238,0.0,0.016450532320652713,0.01655003150807602,0.016118868362575037,0.016118868362575037,0.016185201154190573,0.016052535570959505,0.01651686511226825,0.01651686511226825,0.01625153394580611,0.016052535570959505,0.01655003150807602,0.016450532320652713,0.0011276574574640974,0.016483698716460483,0.016317866737421645,0.016019369175151735,0.01655003150807602,0.016185201154190573,0.01651686511226825,0.0,0.016583197903883785,0.01635103313322941,0.01661636429969155,0.012669563198567211,0.016118868362575037,0.016052535570959505,0.01655003150807602,0.016052535570959505,0.016019369175151735,0.016052535570959505,0.01661636429969155,0.016118868362575037,0.016450532320652713,0.016052535570959505,0.016483698716460483,0.016583197903883785,0.016682697091307087,0.015621372425458526,0.01661636429969155,0.016682697091307087,0.01655003150807602,0.016052535570959505,0.016185201154190573,0.016019369175151735,0.014162051009916752,0.016284700341613875,0.0,0.01661636429969155,0.01598620277934397,0.01664953069549932
entorhinal-rh,0.0,0.015404810625072391,0.015404810625072391,0.016640284158912784,0.016331415775452687,0.0,0.016292807227520172,0.01625419867958766,0.015983938844060075,0.01656306706304776,0.01590672174819505,0.0160611559399251,0.016022547391992586,0.016331415775452687,0.015443419173004904,0.016292807227520172,0.01420794563916451,0.0,0.016176981583722636,0.016292807227520172,0.016215590131655147,0.016215590131655147,0.016176981583722636,0.016331415775452687,0.016176981583722636,0.016215590131655147,0.016176981583722636,0.016331415775452687,0.016176981583722636,0.016215590131655147,0.0020076444924906375,0.01625419867958766,0.016176981583722636,0.016524458515115248,0.015945330296127564,0.016215590131655147,0.016138373035790125,0.0,0.016138373035790125,0.01625419867958766,0.016138373035790125,0.014748465310219682,0.01625419867958766,0.016292807227520172,0.01609976448785761,0.01640863287131771,0.015752287556465003,0.016640284158912784,0.016370024323385197,0.01625419867958766,0.016176981583722636,0.01625419867958766,0.016022547391992586,0.016138373035790125,0.016138373035790125,0.016331415775452687,0.01625419867958766,0.016022547391992586,0.016138373035790125,0.016292807227520172,0.01656306706304776,0.01640863287131771,0.013590208872244314,0.016524458515115248,0.0,0.015945330296127564,0.016640284158912784,0.01609976448785761
