,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-lh,postcentral-rh,precentral-lh,precentral-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inferiorparietal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parsopercularis-lh,0.0,0.0,0.0,0.20833333333333334,0.10416666666666667,0.0,0.07291666666666667,0.0,0.0,0.17708333333333334,0.14583333333333334,0.03125,0.0,0.0,0.0,0.14583333333333334,0.0,0.11458333333333333,0.0
parstriangularis-rh,0.0,0.0,0.0,0.14666666666666667,0.13333333333333333,0.0,0.09333333333333334,0.0,0.0,0.14666666666666667,0.14666666666666667,0.04,0.0,0.0,0.0,0.14666666666666667,0.0,0.14666666666666667,0.0
postcentral-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postcentral-rh,0.0,0.0,0.0,0.14035087719298245,0.14035087719298245,0.0,0.12280701754385964,0.0,0.0,0.14035087719298245,0.14035087719298245,0.03508771929824561,0.0,0.0,0.0,0.14035087719298245,0.0,0.14035087719298245,0.0
precentral-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precentral-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rostralmiddlefrontal-lh,0.0,0.0,0.0,0.19148936170212766,0.10638297872340426,0.0,0.07446808510638298,0.0,0.0,0.18085106382978725,0.14893617021276595,0.031914893617021274,0.0,0.0,0.0,0.14893617021276595,0.0,0.11702127659574468,0.0
rostralmiddlefrontal-rh,0.0,0.0,0.0,0.16853932584269662,0.11235955056179775,0.0,0.07865168539325842,0.0,0.0,0.16853932584269662,0.15730337078651685,0.033707865168539325,0.0,0.0,0.0,0.15730337078651685,0.0,0.12359550561797752,0.0
superiorfrontal-lh,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.15,0.15,0.1,0.0,0.0,0.0,0.15,0.0,0.15,0.0
superiorfrontal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiorparietal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiorparietal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superiortemporal-lh,0.0,0.0,0.0,0.16853932584269662,0.11235955056179775,0.0,0.07865168539325842,0.0,0.0,0.16853932584269662,0.15730337078651685,0.033707865168539325,0.0,0.0,0.0,0.15730337078651685,0.0,0.12359550561797752,0.0
superiortemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supramarginal-lh,0.0,0.0,0.0,0.1518987341772152,0.12658227848101267,0.0,0.08860759493670886,0.0,0.0,0.1518987341772152,0.1518987341772152,0.0379746835443038,0.0,0.0,0.0,0.1518987341772152,0.0,0.13924050632911392,0.0
supramarginal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
