,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.07526881720430108,0.0,0.07526881720430108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.03225806451612903,0.0,0.053763440860215055,0.07526881720430108,0.0,0.0,0.0,0.0,0.0,0.07526881720430108,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.07526881720430108,0.0,0.010752688172043012,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.07526881720430108,0.043010752688172046,0.0,0.07526881720430108,0.0,0.07526881720430108,0.07526881720430108,0.0,0.07526881720430108,0.0,0.0,0.0,0.0,0.0
S1_D3 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D1 hbo,0.016483516483516484,0.0,0.04945054945054945,0.03571428571428571,0.01098901098901099,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0521978021978022,0.03571428571428571,0.04120879120879121,0.0,0.04945054945054945,0.0521978021978022,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.04945054945054945,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03296703296703297,0.03571428571428571,0.016483516483516484,0.0,0.016483516483516484,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,0.019230769230769232,0.0,0.046703296703296704,0.04395604395604396,0.0,0.04120879120879121,0.0,0.016483516483516484,0.0521978021978022,0.0,0.03021978021978022,0.0,0.0,0.0,0.0,0.0
S2_D2 hbo,0.0,0.0,0.034210526315789476,0.05,0.02368421052631579,0.0,0.042105263157894736,0.0,0.0,0.05,0.039473684210526314,0.05263157894736842,0.034210526315789476,0.0,0.05263157894736842,0.04473684210526316,0.0,0.0,0.0,0.05263157894736842,0.04736842105263158,0.03684210526315789,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.03684210526315789,0.04473684210526316,0.013157894736842105,0.0,0.0,0.002631578947368421,0.0,0.0,0.0,0.0,0.0,0.02368421052631579,0.0,0.034210526315789476,0.03684210526315789,0.0,0.02894736842105263,0.0,0.0,0.042105263157894736,0.0,0.018421052631578946,0.0,0.0,0.0,0.0,0.0
S2_D4 hbo,0.0,0.0,0.015625,0.0546875,0.078125,0.0,0.03125,0.0,0.0,0.0859375,0.0234375,0.0859375,0.015625,0.0,0.0859375,0.0390625,0.0,0.0,0.0,0.0625,0.046875,0.015625,0.078125,0.0703125,0.0859375,0.015625,0.0390625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.015625,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_D1 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_D3 hbo,0.0,0.0,0.036827195467422094,0.04815864022662889,0.0169971671388102,0.0,0.0453257790368272,0.0,0.0,0.0453257790368272,0.042492917847025496,0.04815864022662889,0.036827195467422094,0.0,0.04815864022662889,0.04815864022662889,0.0,0.0,0.0,0.04815864022662889,0.04815864022662889,0.039660056657223795,0.04815864022662889,0.04815864022662889,0.04815864022662889,0.039660056657223795,0.04815864022662889,0.014164305949008499,0.0,0.0,0.0028328611898017,0.0,0.0,0.0,0.0,0.0,0.025495750708215296,0.0,0.036827195467422094,0.039660056657223795,0.0,0.031161473087818695,0.0,0.0,0.0453257790368272,0.0,0.019830028328611898,0.0,0.0,0.0,0.0,0.0
S3_D4 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09482758620689655,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.02586206896551724,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.08620689655172414,0.0603448275862069,0.0,0.017241379310344827,0.008620689655172414,0.10344827586206896,0.10344827586206896,0.0,0.0,0.008620689655172414,0.10344827586206896,0.04310344827586207,0.008620689655172414,0.034482758620689655,0.017241379310344827,0.10344827586206896,0.02586206896551724,0.02586206896551724,0.0,0.0
S3_D5 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.09876543209876543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.08641975308641975,0.08641975308641975,0.0,0.024691358024691357,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.024691358024691357,0.0,0.04938271604938271,0.0,0.1111111111111111,0.037037037037037035,0.0,0.0,0.0
S4_D2 hbo,0.0,0.0,0.031746031746031744,0.04497354497354497,0.0291005291005291,0.0,0.037037037037037035,0.0,0.0,0.07671957671957672,0.03439153439153439,0.06613756613756613,0.031746031746031744,0.0,0.06084656084656084,0.03968253968253968,0.0,0.0,0.0,0.047619047619047616,0.042328042328042326,0.031746031746031744,0.05291005291005291,0.05026455026455026,0.05555555555555555,0.031746031746031744,0.03968253968253968,0.013227513227513227,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.018518518518518517,0.0,0.0291005291005291,0.031746031746031744,0.0,0.023809523809523808,0.0,0.0,0.037037037037037035,0.0,0.013227513227513227,0.021164021164021163,0.0,0.0,0.0,0.0
S4_D4 hbo,0.012195121951219513,0.0,0.04390243902439024,0.03902439024390244,0.012195121951219513,0.0,0.03902439024390244,0.0,0.0,0.036585365853658534,0.04878048780487805,0.03902439024390244,0.03902439024390244,0.0,0.05121951219512195,0.05121951219512195,0.0,0.0,0.0,0.03902439024390244,0.03902439024390244,0.046341463414634146,0.03902439024390244,0.03902439024390244,0.03902439024390244,0.03414634146341464,0.03902439024390244,0.014634146341463415,0.0,0.012195121951219513,0.0024390243902439024,0.0,0.0024390243902439024,0.0,0.0,0.0,0.02195121951219512,0.0,0.04390243902439024,0.04390243902439024,0.0,0.03902439024390244,0.0,0.012195121951219513,0.05121951219512195,0.0,0.02926829268292683,0.0,0.0,0.0,0.0,0.0
S4_D6 hbo,0.0,0.0,0.03132530120481928,0.04578313253012048,0.02650602409638554,0.0,0.03855421686746988,0.0,0.0,0.06506024096385542,0.03614457831325301,0.06506024096385542,0.03132530120481928,0.0,0.060240963855421686,0.04096385542168675,0.0,0.0,0.0,0.04819277108433735,0.043373493975903614,0.033734939759036145,0.05301204819277108,0.05060240963855422,0.05542168674698795,0.033734939759036145,0.04096385542168675,0.012048192771084338,0.0,0.0,0.0024096385542168677,0.0,0.0,0.007228915662650603,0.0,0.0,0.021686746987951807,0.0,0.03132530120481928,0.033734939759036145,0.0,0.02650602409638554,0.0,0.0,0.03855421686746988,0.0,0.016867469879518072,0.00963855421686747,0.0,0.0,0.0,0.0
