,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.04340869003530366,0.021678917818399836,0.020695955826263532,0.03624970669502617,0.021515090819710453,0.021678917818399836,0.008716064726050923,0.016543069660711944,0.01987682083281661,0.03860685267480754,0.021678917818399836,0.03869439807574093,0.021678917818399836,0.020859782824952915,0.021678917818399836,0.0032080649722932746,0.021678917818399836,0.021678917818399836,0.03778136088154761,0.021515090819710453,0.021678917818399836,0.020368301828884765,0.019712993834127227,0.024042420597994194,0.015383567070260258,0.0390284088729327,0.023544582802113044,0.03157991233415444,0.021678917818399836,0.0210236098236423,0.021678917818399836,0.021515090819710453,0.0028422701760365153,0.021678917818399836,0.021678917818399836,0.018717318242364923,0.019215156038246077,0.0008509189925119128,0.0,0.021678917818399836,0.021678917818399836,0.019712993834127227,0.01987682083281661,0.016385599461835557,0.011532907702835445,0.0,0.016045231864830794,0.010222291713320373,0.017223804854721473,0.0,0.0,0.0
S1_D3 hbo,0.022792516099121824,0.02469365678353247,0.02376841622098621,0.02469365678353247,0.02469365678353247,0.02469365678353247,0.01097208018640671,0.019424998650357697,0.022843175658439945,0.02469365678353247,0.02469365678353247,0.01785551177284663,0.02469365678353247,0.02395346433349546,0.02469365678353247,0.005060966732788479,0.02469365678353247,0.02469365678353247,0.02469365678353247,0.02469365678353247,0.02469365678353247,0.023398319995967705,0.022658127545930693,0.02469365678353247,0.01815409614519132,0.018213390856665942,0.02469365678353247,0.02469365678353247,0.02469365678353247,0.024138512446004713,0.02469365678353247,0.02469365678353247,0.0030358636418645482,0.02469365678353247,0.02469365678353247,0.021745104124583626,0.02228803132091219,0.0025924645696508816,0.0,0.02469365678353247,0.02469365678353247,0.022658127545930693,0.022843175658439945,0.019227733396649252,0.014056812393068031,0.0,0.018882071454029137,0.012576427492994013,0.018906505736427524,0.0,0.0,0.0
S2_D1 hbo,0.022440435989117033,0.024341576673527675,0.024341576673527675,0.024341576673527675,0.024341576673527675,0.024341576673527675,0.01122481637475695,0.020002681366586818,0.02355324399713824,0.024341576673527675,0.024341576673527675,0.017407151210136983,0.024341576673527675,0.024341576673527675,0.024341576673527675,0.005109106959140906,0.024341576673527675,0.024341576673527675,0.024341576673527675,0.024341576673527675,0.024341576673527675,0.024144493504430316,0.02335616082804088,0.024341576673527675,0.018671603578479908,0.0177770653505444,0.024341576673527675,0.024341576673527675,0.024341576673527675,0.024341576673527675,0.024341576673527675,0.024341576673527675,0.0031321440945694017,0.024341576673527675,0.024341576673527675,0.022394997180341387,0.022961994489846163,0.0025924645696508816,0.0,0.024341576673527675,0.024341576673527675,0.02335616082804088,0.02355324399713824,0.01978134599970216,0.014453969260475551,0.0,0.019435684057082042,0.01287730390769668,0.01889293894536457,0.0,0.0,0.0
S2_D2 hbo,0.034331596941162175,0.022470413339044218,0.021459290993240374,0.03600893759380018,0.02230189294807691,0.022470413339044218,0.009790834279236901,0.017390595112877827,0.020616689038403836,0.03600893759380018,0.022470413339044218,0.029933723535900087,0.022470413339044218,0.021627811384207683,0.022470413339044218,0.004486219410773772,0.022470413339044218,0.022470413339044218,0.03600893759380018,0.02230189294807691,0.022470413339044218,0.02112225021130576,0.02044816864743653,0.02465331516458414,0.01624302213028893,0.030254729440743575,0.024163788868773343,0.0318198259537437,0.022470413339044218,0.02179633177517499,0.022470413339044218,0.02230189294807691,0.0027205327526240923,0.022470413339044218,0.022470413339044218,0.01946911605581494,0.019958642351625734,0.0022872827081427266,0.0,0.022470413339044218,0.022470413339044218,0.02044816864743653,0.020616689038403836,0.017206039844819394,0.012575506540225493,0.0,0.01690106881706703,0.011227343412487038,0.01693313857124928,0.0,0.0,0.0
S2_D4 hbo,0.02272972697873378,0.02463086766314443,0.023883483507688524,0.02463086766314443,0.02463086766314443,0.02463086766314443,0.011009836639855906,0.019511299115384434,0.022949253313368643,0.02463086766314443,0.02463086766314443,0.017778339241620797,0.02463086766314443,0.0240703295465525,0.02463086766314443,0.005068158438207374,0.02463086766314443,0.02463086766314443,0.02463086766314443,0.02463086766314443,0.02463086766314443,0.02350979142996057,0.022762407274504667,0.02463086766314443,0.01823140697844444,0.018138016251794835,0.02463086766314443,0.02463086766314443,0.02463086766314443,0.024257175585416475,0.02463086766314443,0.02463086766314443,0.0030502470527023376,0.02463086766314443,0.02463086766314443,0.021842192147738707,0.022388715196776716,0.0025924645696508816,0.0,0.02463086766314443,0.02463086766314443,0.022762407274504667,0.022949253313368643,0.019310438008966542,0.014116143962773914,0.0,0.018964776066346424,0.012621375651862105,0.01899280620145426,0.0,0.0,0.0
S3_D1 hbo,0.022792516099121824,0.02469365678353247,0.02376841622098621,0.02469365678353247,0.02469365678353247,0.02469365678353247,0.01097208018640671,0.019424998650357697,0.022843175658439945,0.02469365678353247,0.02469365678353247,0.01785551177284663,0.02469365678353247,0.02395346433349546,0.02469365678353247,0.005060966732788479,0.02469365678353247,0.02469365678353247,0.02469365678353247,0.02469365678353247,0.02469365678353247,0.023398319995967705,0.022658127545930693,0.02469365678353247,0.01815409614519132,0.018213390856665942,0.02469365678353247,0.02469365678353247,0.02469365678353247,0.024138512446004713,0.02469365678353247,0.02469365678353247,0.0030358636418645482,0.02469365678353247,0.02469365678353247,0.021745104124583626,0.02228803132091219,0.0025924645696508816,0.0,0.02469365678353247,0.02469365678353247,0.022658127545930693,0.022843175658439945,0.019227733396649252,0.014056812393068031,0.0,0.018882071454029137,0.012576427492994013,0.018906505736427524,0.0,0.0,0.0
S3_D3 hbo,0.01952666537692655,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.026607661056297156,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.009278390404333528,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.012254788160185721,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.010124137486296512,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.005895402076481589,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.024385438834074936,0.004352872896111433,0.0044444444444444444,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.022718772167408266,0.0,0.022718772167408266,0.022718772167408266,0.019816856903333978,0.0,0.0,0.0
S3_D4 hbo,0.021359408432409382,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.013276739166307049,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.015445613903061275,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.005887729621063268,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.022310287642920947,0.015891754983590866,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.0037645174679960163,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.0029308323563892145,0.0,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02350868549376147,0.02325793323699116,0.017262710366347186,0.0,0.02325793323699116,0.015256692312184697,0.02080254048585773,0.0,0.0,0.0
S3_D5 hbo,0.022183525476444622,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.01148858554698285,0.020605582331674588,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.01704975720328328,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.0051593487062315535,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.019211702359704368,0.01743223178046336,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.0032326275887506967,0.02408466616085527,0.02408466616085527,0.023073260766065126,0.023665378949115228,0.0025924645696508816,0.0,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.02408466616085527,0.020359126091244607,0.014868463673973395,0.0,0.02001346414862449,0.013191314827013228,0.019248514994264332,0.0,0.0,0.0
S4_D2 hbo,0.03614317835423363,0.02223580364283882,0.02123077851721068,0.03594096609171986,0.022068299455234128,0.02223580364283882,0.009673744095854649,0.017199360164184288,0.020393257579187227,0.03779483000588528,0.02223580364283882,0.03180014185039311,0.02223580364283882,0.02139828270481537,0.02223580364283882,0.004423770504172514,0.02223580364283882,0.02223580364283882,0.03729231744307121,0.022068299455234128,0.02223580364283882,0.0208957701420013,0.020225753391582536,0.024389967857304542,0.016061538925860534,0.032117796188147946,0.023904809331945012,0.031476451325697555,0.02223580364283882,0.021565786892420058,0.02223580364283882,0.022068299455234128,0.002691384852188872,0.02223580364283882,0.02223580364283882,0.019255436340863477,0.019740594866223007,0.0022522522522522522,0.0,0.02223580364283882,0.02223580364283882,0.020225753391582536,0.020393257579187227,0.017014501939125053,0.012434545097861682,0.0,0.016714201638824755,0.01109451159702416,0.016748909713733835,0.0,0.0,0.0
