,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.04580152671755725,0.0,0.0,0.0,0.0,0.04071246819338423,0.0,0.04834605597964377,0.04580152671755725,0.0,0.0,0.02544529262086514,0.043256997455470736,0.043256997455470736,0.04580152671755725,0.022900763358778626,0.04834605597964377,0.04071246819338423,0.04071246819338423,0.04834605597964377,0.0,0.0,0.0,0.027989821882951654,0.04834605597964377,0.04834605597964377,0.0,0.03816793893129771,0.0,0.04580152671755725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03816793893129771,0.0,0.04834605597964377,0.020356234096692113,0.04834605597964377,0.04834605597964377,0.04834605597964377,0.0,0.0,0.0,0.0,0.0
S1_D3 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D1 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D2 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D4 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_D1 hbo,0.045584045584045586,0.0,0.0,0.0,0.0,0.042735042735042736,0.0,0.045584045584045586,0.045584045584045586,0.0,0.0,0.02564102564102564,0.045584045584045586,0.045584045584045586,0.045584045584045586,0.02564102564102564,0.045584045584045586,0.042735042735042736,0.042735042735042736,0.045584045584045586,0.0,0.0,0.0,0.03133903133903134,0.045584045584045586,0.045584045584045586,0.0,0.042735042735042736,0.0,0.045584045584045586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039886039886039885,0.0,0.045584045584045586,0.022792022792022793,0.045584045584045586,0.045584045584045586,0.045584045584045586,0.0,0.0,0.0,0.0,0.0
S3_D3 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3_D4 hbo,0.04387990762124711,0.0,0.0,0.0,0.0,0.03695150115473441,0.0,0.050808314087759814,0.046189376443418015,0.0,0.0,0.023094688221709007,0.04157043879907621,0.04157043879907621,0.046189376443418015,0.020785219399538105,0.050808314087759814,0.03695150115473441,0.03926096997690531,0.04849884526558892,0.0,0.0,0.0,0.025404157043879907,0.053117782909930716,0.050808314087759814,0.0,0.03464203233256351,0.0,0.04387990762124711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03464203233256351,0.0,0.053117782909930716,0.018475750577367205,0.053117782909930716,0.053117782909930716,0.053117782909930716,0.0,0.0,0.0,0.0,0.0
S3_D5 hbo,0.04449648711943794,0.0,0.0,0.0,0.0,0.03747072599531616,0.0,0.05152224824355972,0.04918032786885246,0.0,0.0,0.0234192037470726,0.04215456674473068,0.04215456674473068,0.0468384074941452,0.02107728337236534,0.05152224824355972,0.03747072599531616,0.03981264637002342,0.0468384074941452,0.0,0.0,0.0,0.02576112412177986,0.05152224824355972,0.04918032786885246,0.0,0.0351288056206089,0.0,0.04449648711943794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351288056206089,0.0,0.05152224824355972,0.01873536299765808,0.05152224824355972,0.05152224824355972,0.05152224824355972,0.0,0.0,0.0,0.0,0.0
S4_D2 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4_D4 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4_D6 hbo,0.04329004329004329,0.0,0.0,0.0,0.0,0.04329004329004329,0.0,0.04329004329004329,0.04329004329004329,0.0,0.0,0.03896103896103896,0.04329004329004329,0.04329004329004329,0.04329004329004329,0.03463203463203463,0.04329004329004329,0.04329004329004329,0.04329004329004329,0.04329004329004329,0.0,0.0,0.0,0.04329004329004329,0.04329004329004329,0.04329004329004329,0.0,0.04329004329004329,0.0,0.04329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04329004329004329,0.0,0.04329004329004329,0.017316017316017316,0.04329004329004329,0.04329004329004329,0.04329004329004329,0.0,0.0,0.0,0.0,0.0
S4_D11 hbo,0.046875,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.046875,0.046875,0.0,0.0,0.026041666666666668,0.044270833333333336,0.044270833333333336,0.046875,0.0234375,0.046875,0.041666666666666664,0.041666666666666664,0.046875,0.0,0.0,0.0,0.028645833333333332,0.046875,0.046875,0.0,0.0390625,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,0.0,0.046875,0.020833333333333332,0.046875,0.046875,0.046875,0.0,0.0,0.0,0.0,0.0
S5_D3 hbo,0.046875,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.046875,0.046875,0.0,0.0,0.026041666666666668,0.044270833333333336,0.044270833333333336,0.046875,0.0234375,0.046875,0.041666666666666664,0.041666666666666664,0.046875,0.0,0.0,0.0,0.028645833333333332,0.046875,0.046875,0.0,0.0390625,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625,0.0,0.046875,0.020833333333333332,0.046875,0.046875,0.046875,0.0,0.0,0.0,0.0,0.0
S5_D5 hbo,0.04645476772616137,0.0,0.0,0.0,0.0,0.039119804400977995,0.0,0.0488997555012225,0.04645476772616137,0.0,0.0,0.02444987775061125,0.044009779951100246,0.044009779951100246,0.04645476772616137,0.022004889975550123,0.0488997555012225,0.039119804400977995,0.04156479217603912,0.0488997555012225,0.0,0.0,0.0,0.02689486552567237,0.0488997555012225,0.0488997555012225,0.0,0.03667481662591687,0.0,0.04645476772616137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03667481662591687,0.0,0.0488997555012225,0.019559902200488997,0.0488997555012225,0.0488997555012225,0.0488997555012225,0.0,0.0,0.0,0.0,0.0
S5_D7 hbo,0.04326923076923077,0.0,0.0,0.0,0.0,0.04326923076923077,0.0,0.04326923076923077,0.04326923076923077,0.0,0.0,0.028846153846153848,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.038461538461538464,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.0,0.0,0.0,0.038461538461538464,0.04326923076923077,0.04326923076923077,0.0,0.04326923076923077,0.0,0.04326923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04326923076923077,0.0,0.04326923076923077,0.028846153846153848,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.0,0.0,0.0,0.0,0.0
S6_D4 hbo,0.04387990762124711,0.0,0.0,0.0,0.0,0.03695150115473441,0.0,0.050808314087759814,0.046189376443418015,0.0,0.0,0.023094688221709007,0.04157043879907621,0.04157043879907621,0.046189376443418015,0.020785219399538105,0.050808314087759814,0.03695150115473441,0.03926096997690531,0.04849884526558892,0.0,0.0,0.0,0.025404157043879907,0.053117782909930716,0.050808314087759814,0.0,0.03464203233256351,0.0,0.04387990762124711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03464203233256351,0.0,0.053117782909930716,0.018475750577367205,0.053117782909930716,0.053117782909930716,0.053117782909930716,0.0,0.0,0.0,0.0,0.0
S6_D5 hbo,0.045584045584045586,0.0,0.0,0.0,0.0,0.042735042735042736,0.0,0.045584045584045586,0.045584045584045586,0.0,0.0,0.02564102564102564,0.045584045584045586,0.045584045584045586,0.045584045584045586,0.02564102564102564,0.045584045584045586,0.042735042735042736,0.042735042735042736,0.045584045584045586,0.0,0.0,0.0,0.03133903133903134,0.045584045584045586,0.045584045584045586,0.0,0.042735042735042736,0.0,0.045584045584045586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039886039886039885,0.0,0.045584045584045586,0.022792022792022793,0.045584045584045586,0.045584045584045586,0.045584045584045586,0.0,0.0,0.0,0.0,0.0
S6_D6 hbo,0.04582210242587601,0.0,0.0,0.0,0.0,0.0431266846361186,0.0,0.04582210242587601,0.04582210242587601,0.0,0.0,0.026954177897574125,0.04582210242587601,0.04582210242587601,0.04582210242587601,0.02425876010781671,0.04582210242587601,0.0431266846361186,0.0431266846361186,0.04582210242587601,0.0,0.0,0.0,0.029649595687331536,0.04582210242587601,0.04582210242587601,0.0,0.04043126684636118,0.0,0.04582210242587601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04043126684636118,0.0,0.04582210242587601,0.0215633423180593,0.04582210242587601,0.04582210242587601,0.04582210242587601,0.0,0.0,0.0,0.0,0.0
S6_D8 hbo,0.044226044226044224,0.0,0.0,0.0,0.0,0.03931203931203931,0.0,0.04914004914004914,0.044226044226044224,0.0,0.0,0.02457002457002457,0.04176904176904177,0.04176904176904177,0.044226044226044224,0.022113022113022112,0.04914004914004914,0.03931203931203931,0.03931203931203931,0.04914004914004914,0.0,0.0,0.0,0.02702702702702703,0.051597051597051594,0.04914004914004914,0.0,0.036855036855036855,0.0,0.044226044226044224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036855036855036855,0.0,0.051597051597051594,0.019656019656019656,0.051597051597051594,0.051597051597051594,0.051597051597051594,0.0,0.0,0.0,0.0,0.0
S7_D5 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S7_D7 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S7_D8 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S8_D6 hbo,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.03162055335968379,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.03557312252964427,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.039525691699604744,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.023715415019762844,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0
