,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.02104989604989605,0.016112266112266113,0.02104989604989605,0.016632016632016633,0.015592515592515593,0.016372141372141373,0.016112266112266113,0.016372141372141373,0.016372141372141373,0.016372141372141373,0.016372141372141373,0.015852390852390853,0.016372141372141373,0.016372141372141373,0.015592515592515593,0.016112266112266113,0.014553014553014554,0.015072765072765074,0.016372141372141373,0.012214137214137215,0.016112266112266113,0.016632016632016633,0.016372141372141373,0.016112266112266113,0.016112266112266113,0.016372141372141373,0.016372141372141373,0.016372141372141373,0.016372141372141373,0.016112266112266113,0.015592515592515593,0.016632016632016633,0.02104989604989605,0.0,0.02104989604989605,0.015852390852390853,0.015592515592515593,0.016372141372141373,0.016372141372141373,0.016112266112266113,0.016112266112266113,0.016372141372141373,0.016372141372141373,0.016632016632016633,0.016372141372141373,0.016891891891891893,0.016372141372141373,0.016372141372141373,0.011694386694386695,0.005457380457380458,0.011434511434511435,0.0,0.017151767151767153,0.016372141372141373,0.015592515592515593,0.015852390852390853,0.016112266112266113,0.016112266112266113,0.016891891891891893,0.016891891891891893,0.015852390852390853,0.016372141372141373,0.016112266112266113,0.016112266112266113
Fz,0.017020089285714284,0.016741071428571428,0.017020089285714284,0.016462053571428572,0.016462053571428572,0.016741071428571428,0.016741071428571428,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.015904017857142856,0.016462053571428572,0.016462053571428572,0.016183035714285716,0.016462053571428572,0.015066964285714286,0.016462053571428572,0.016462053571428572,0.012834821428571428,0.016741071428571428,0.017020089285714284,0.016462053571428572,0.016462053571428572,0.016741071428571428,0.016462053571428572,0.016183035714285716,0.016183035714285716,0.015904017857142856,0.016462053571428572,0.016462053571428572,0.017020089285714284,0.017020089285714284,0.0,0.017020089285714284,0.016741071428571428,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.016741071428571428,0.016741071428571428,0.016462053571428572,0.016741071428571428,0.016741071428571428,0.016462053571428572,0.012276785714285714,0.005859375,0.011997767857142858,0.0,0.016741071428571428,0.016183035714285716,0.016183035714285716,0.016462053571428572,0.016741071428571428,0.016741071428571428,0.016741071428571428,0.016741071428571428,0.016462053571428572,0.016183035714285716,0.015904017857142856,0.015904017857142856
F3,0.02104989604989605,0.016112266112266113,0.02104989604989605,0.016632016632016633,0.015592515592515593,0.016372141372141373,0.016112266112266113,0.016372141372141373,0.016372141372141373,0.016372141372141373,0.016372141372141373,0.015852390852390853,0.016372141372141373,0.016372141372141373,0.015592515592515593,0.016112266112266113,0.014553014553014554,0.015072765072765074,0.016372141372141373,0.012214137214137215,0.016112266112266113,0.016632016632016633,0.016372141372141373,0.016112266112266113,0.016112266112266113,0.016372141372141373,0.016372141372141373,0.016372141372141373,0.016372141372141373,0.016112266112266113,0.015592515592515593,0.016632016632016633,0.02104989604989605,0.0,0.02104989604989605,0.015852390852390853,0.015592515592515593,0.016372141372141373,0.016372141372141373,0.016112266112266113,0.016112266112266113,0.016372141372141373,0.016372141372141373,0.016632016632016633,0.016372141372141373,0.016891891891891893,0.016372141372141373,0.016372141372141373,0.011694386694386695,0.005457380457380458,0.011434511434511435,0.0,0.017151767151767153,0.016372141372141373,0.015592515592515593,0.015852390852390853,0.016112266112266113,0.016112266112266113,0.016891891891891893,0.016891891891891893,0.015852390852390853,0.016372141372141373,0.016112266112266113,0.016112266112266113
F7,0.017126036928017126,0.016590848274016592,0.017126036928017126,0.016590848274016592,0.016055659620016056,0.01685844260101686,0.016590848274016592,0.016590848274016592,0.016590848274016592,0.016590848274016592,0.016590848274016592,0.016055659620016056,0.016590848274016592,0.016590848274016592,0.016055659620016056,0.016590848274016592,0.014717687985014717,0.01552047096601552,0.016590848274016592,0.012576933369012578,0.016590848274016592,0.017126036928017126,0.016590848274016592,0.016590848274016592,0.016590848274016592,0.016590848274016592,0.016323253947016322,0.016323253947016322,0.016055659620016056,0.016590848274016592,0.016055659620016056,0.017126036928017126,0.017126036928017126,0.0,0.017126036928017126,0.016323253947016322,0.016055659620016056,0.016590848274016592,0.016590848274016592,0.016590848274016592,0.016590848274016592,0.016590848274016592,0.01685844260101686,0.01685844260101686,0.016590848274016592,0.01685844260101686,0.01685844260101686,0.016590848274016592,0.012041744715012041,0.00561948086700562,0.011774150388011774,0.0,0.01685844260101686,0.016323253947016322,0.016055659620016056,0.016323253947016322,0.016590848274016592,0.016590848274016592,0.01685844260101686,0.01685844260101686,0.016323253947016322,0.016323253947016322,0.016055659620016056,0.016055659620016056
FT9,0.01678520625889047,0.01678520625889047,0.01678520625889047,0.016500711237553343,0.016500711237553343,0.01678520625889047,0.01678520625889047,0.016500711237553343,0.016500711237553343,0.016500711237553343,0.016500711237553343,0.015931721194879088,0.016500711237553343,0.016500711237553343,0.016216216216216217,0.016500711237553343,0.015078236130867709,0.01678520625889047,0.016500711237553343,0.013086770981507824,0.01678520625889047,0.01678520625889047,0.016500711237553343,0.016500711237553343,0.01678520625889047,0.016500711237553343,0.016216216216216217,0.016216216216216217,0.015931721194879088,0.016500711237553343,0.016500711237553343,0.01678520625889047,0.01678520625889047,0.0,0.01678520625889047,0.01678520625889047,0.016500711237553343,0.016500711237553343,0.016500711237553343,0.016500711237553343,0.016500711237553343,0.016500711237553343,0.01678520625889047,0.016500711237553343,0.016500711237553343,0.016500711237553343,0.016500711237553343,0.016500711237553343,0.01251778093883357,0.005974395448079659,0.012233285917496443,0.0,0.016500711237553343,0.016216216216216217,0.016216216216216217,0.016500711237553343,0.01678520625889047,0.01678520625889047,0.016500711237553343,0.016500711237553343,0.016500711237553343,0.016216216216216217,0.015931721194879088,0.015931721194879088
FC5,0.017051705170517052,0.016776677667766776,0.017051705170517052,0.0165016501650165,0.016226622662266228,0.016776677667766776,0.016776677667766776,0.0165016501650165,0.0165016501650165,0.0165016501650165,0.0165016501650165,0.01595159515951595,0.0165016501650165,0.0165016501650165,0.016226622662266228,0.0165016501650165,0.01485148514851485,0.016226622662266228,0.0165016501650165,0.012651265126512651,0.016776677667766776,0.017051705170517052,0.0165016501650165,0.0165016501650165,0.016776677667766776,0.0165016501650165,0.016226622662266228,0.016226622662266228,0.01595159515951595,0.0165016501650165,0.016226622662266228,0.017051705170517052,0.017051705170517052,0.0,0.017051705170517052,0.0165016501650165,0.016226622662266228,0.0165016501650165,0.0165016501650165,0.0165016501650165,0.0165016501650165,0.0165016501650165,0.016776677667766776,0.016776677667766776,0.0165016501650165,0.016776677667766776,0.016776677667766776,0.0165016501650165,0.0121012101210121,0.005775577557755775,0.011826182618261826,0.0,0.016776677667766776,0.016226622662266228,0.016226622662266228,0.0165016501650165,0.016776677667766776,0.016776677667766776,0.016776677667766776,0.016776677667766776,0.0165016501650165,0.016226622662266228,0.01595159515951595,0.01595159515951595
FC1,0.017020089285714284,0.016741071428571428,0.017020089285714284,0.016462053571428572,0.016462053571428572,0.016741071428571428,0.016741071428571428,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.015904017857142856,0.016462053571428572,0.016462053571428572,0.016183035714285716,0.016462053571428572,0.015066964285714286,0.016462053571428572,0.016462053571428572,0.012834821428571428,0.016741071428571428,0.017020089285714284,0.016462053571428572,0.016462053571428572,0.016741071428571428,0.016462053571428572,0.016183035714285716,0.016183035714285716,0.015904017857142856,0.016462053571428572,0.016462053571428572,0.017020089285714284,0.017020089285714284,0.0,0.017020089285714284,0.016741071428571428,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.016462053571428572,0.016741071428571428,0.016741071428571428,0.016462053571428572,0.016741071428571428,0.016741071428571428,0.016462053571428572,0.012276785714285714,0.005859375,0.011997767857142858,0.0,0.016741071428571428,0.016183035714285716,0.016183035714285716,0.016462053571428572,0.016741071428571428,0.016741071428571428,0.016741071428571428,0.016741071428571428,0.016462053571428572,0.016183035714285716,0.015904017857142856,0.015904017857142856
C3,0.017050067658998646,0.016779431664411367,0.017050067658998646,0.01650879566982409,0.016238159675236806,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.015967523680649527,0.01650879566982409,0.01650879566982409,0.016238159675236806,0.01650879566982409,0.014884979702300407,0.015696887686062245,0.01650879566982409,0.012719891745602166,0.016779431664411367,0.017050067658998646,0.01650879566982409,0.01650879566982409,0.016779431664411367,0.01650879566982409,0.016238159675236806,0.016238159675236806,0.015967523680649527,0.01650879566982409,0.016238159675236806,0.017050067658998646,0.017050067658998646,0.0,0.017050067658998646,0.01650879566982409,0.016238159675236806,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.012178619756427604,0.005683355886332882,0.011907983761840324,0.0,0.016779431664411367,0.016238159675236806,0.016238159675236806,0.01650879566982409,0.016779431664411367,0.016779431664411367,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.016238159675236806,0.015967523680649527,0.015967523680649527
T7,0.017050067658998646,0.016779431664411367,0.017050067658998646,0.01650879566982409,0.016238159675236806,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.015967523680649527,0.01650879566982409,0.01650879566982409,0.016238159675236806,0.01650879566982409,0.014884979702300407,0.015696887686062245,0.01650879566982409,0.012719891745602166,0.016779431664411367,0.017050067658998646,0.01650879566982409,0.01650879566982409,0.016779431664411367,0.01650879566982409,0.016238159675236806,0.016238159675236806,0.015967523680649527,0.01650879566982409,0.016238159675236806,0.017050067658998646,0.017050067658998646,0.0,0.017050067658998646,0.01650879566982409,0.016238159675236806,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.012178619756427604,0.005683355886332882,0.011907983761840324,0.0,0.016779431664411367,0.016238159675236806,0.016238159675236806,0.01650879566982409,0.016779431664411367,0.016779431664411367,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.016238159675236806,0.015967523680649527,0.015967523680649527
TP9,0.017050067658998646,0.016779431664411367,0.017050067658998646,0.01650879566982409,0.016238159675236806,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.015967523680649527,0.01650879566982409,0.01650879566982409,0.016238159675236806,0.01650879566982409,0.014884979702300407,0.015696887686062245,0.01650879566982409,0.012719891745602166,0.016779431664411367,0.017050067658998646,0.01650879566982409,0.01650879566982409,0.016779431664411367,0.01650879566982409,0.016238159675236806,0.016238159675236806,0.015967523680649527,0.01650879566982409,0.016238159675236806,0.017050067658998646,0.017050067658998646,0.0,0.017050067658998646,0.01650879566982409,0.016238159675236806,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.01650879566982409,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.012178619756427604,0.005683355886332882,0.011907983761840324,0.0,0.016779431664411367,0.016238159675236806,0.016238159675236806,0.01650879566982409,0.016779431664411367,0.016779431664411367,0.016779431664411367,0.016779431664411367,0.01650879566982409,0.016238159675236806,0.015967523680649527,0.015967523680649527
