,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.020809248554913295,0.0,0.015028901734104046,0.019653179190751446,0.017341040462427744,0.017341040462427744,0.016184971098265895,0.016184971098265895,0.017341040462427744,0.016184971098265895,0.017341040462427744,0.017341040462427744,0.017341040462427744,0.017341040462427744,0.017341040462427744,0.016184971098265895,0.017341040462427744,0.017341040462427744,0.017341040462427744,0.019653179190751446,0.017341040462427744,0.017341040462427744,0.016184971098265895,0.017341040462427744,0.016184971098265895,0.015028901734104046,0.015028901734104046,0.015028901734104046,0.017341040462427744,0.019653179190751446,0.017341040462427744,0.0,0.004624277456647399,0.0,0.020809248554913295,0.019653179190751446,0.017341040462427744,0.016184971098265895,0.017341040462427744,0.017341040462427744,0.018497109826589597,0.017341040462427744,0.016184971098265895,0.017341040462427744,0.016184971098265895,0.017341040462427744,0.017341040462427744,0.017341040462427744,0.017341040462427744,0.016184971098265895,0.0,0.016184971098265895,0.016184971098265895,0.017341040462427744,0.019653179190751446,0.018497109826589597,0.017341040462427744,0.016184971098265895,0.016184971098265895,0.017341040462427744,0.016184971098265895,0.015028901734104046,0.015028901734104046
F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.017639077340569877,0.0,0.016282225237449117,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.016282225237449117,0.016282225237449117,0.017639077340569877,0.016282225237449117,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.016282225237449117,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.016282225237449117,0.017639077340569877,0.016282225237449117,0.016282225237449117,0.016282225237449117,0.016282225237449117,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.0,0.005427408412483039,0.0,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.016282225237449117,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.016282225237449117,0.017639077340569877,0.016282225237449117,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.016282225237449117,0.0,0.016282225237449117,0.016282225237449117,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.017639077340569877,0.016282225237449117,0.016282225237449117,0.017639077340569877,0.016282225237449117,0.016282225237449117,0.016282225237449117
FT9,0.0,0.01985981308411215,0.0,0.015186915887850467,0.018691588785046728,0.017523364485981307,0.017523364485981307,0.016355140186915886,0.016355140186915886,0.017523364485981307,0.016355140186915886,0.017523364485981307,0.017523364485981307,0.017523364485981307,0.017523364485981307,0.017523364485981307,0.016355140186915886,0.017523364485981307,0.017523364485981307,0.017523364485981307,0.018691588785046728,0.017523364485981307,0.017523364485981307,0.016355140186915886,0.017523364485981307,0.016355140186915886,0.015186915887850467,0.015186915887850467,0.015186915887850467,0.017523364485981307,0.018691588785046728,0.017523364485981307,0.0,0.004672897196261682,0.0,0.01985981308411215,0.018691588785046728,0.017523364485981307,0.016355140186915886,0.017523364485981307,0.017523364485981307,0.017523364485981307,0.017523364485981307,0.016355140186915886,0.017523364485981307,0.016355140186915886,0.017523364485981307,0.017523364485981307,0.017523364485981307,0.017523364485981307,0.016355140186915886,0.0,0.016355140186915886,0.016355140186915886,0.017523364485981307,0.018691588785046728,0.017523364485981307,0.017523364485981307,0.016355140186915886,0.016355140186915886,0.017523364485981307,0.016355140186915886,0.015186915887850467,0.015186915887850467
FC5,0.0,0.01761006289308176,0.0,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.0,0.005031446540880503,0.0,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.0,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.016352201257861635
FC1,0.0,0.01761006289308176,0.0,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.0,0.005031446540880503,0.0,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.0,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.016352201257861635
C3,0.0,0.01761006289308176,0.0,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.0,0.005031446540880503,0.0,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.0,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.016352201257861635
T7,0.0,0.01761006289308176,0.0,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.0,0.005031446540880503,0.0,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.0,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.016352201257861635
TP9,0.0,0.01761006289308176,0.0,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.0,0.005031446540880503,0.0,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.0,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.01761006289308176,0.016352201257861635,0.016352201257861635,0.016352201257861635
