,S1_D1 hbo,S1_D3 hbo,S2_D1 hbo,S2_D2 hbo,S2_D4 hbo,S3_D1 hbo,S3_D3 hbo,S3_D4 hbo,S3_D5 hbo,S4_D2 hbo,S4_D4 hbo,S4_D6 hbo,S4_D11 hbo,S5_D3 hbo,S5_D5 hbo,S5_D7 hbo,S6_D4 hbo,S6_D5 hbo,S6_D6 hbo,S6_D8 hbo,S7_D5 hbo,S7_D7 hbo,S7_D8 hbo,S8_D6 hbo,S8_D8 hbo,S8_D15 hbo,S9_D2 hbo,S9_D9 hbo,S9_D11 hbo,S10_D9 hbo,S10_D10 hbo,S10_D12 hbo,S11_D9 hbo,S11_D11 hbo,S11_D12 hbo,S11_D13 hbo,S12_D10 hbo,S12_D12 hbo,S12_D14 hbo,S13_D6 hbo,S13_D11 hbo,S13_D13 hbo,S13_D15 hbo,S14_D12 hbo,S14_D13 hbo,S14_D14 hbo,S14_D16 hbo,S15_D13 hbo,S15_D15 hbo,S15_D16 hbo,S16_D14 hbo,S16_D16 hbo
S1_D1 hbo,0.06140350877192982,0.0,0.043859649122807015,0.0,0.06140350877192982,0.06140350877192982,0.02631578947368421,0.04824561403508772,0.043859649122807015,0.0,0.013157894736842105,0.06578947368421052,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.06578947368421052,0.0,0.0,0.0,0.0,0.06140350877192982,0.0,0.0,0.0,0.0,0.0,0.04824561403508772,0.03070175438596491,0.0,0.05263157894736842,0.04824561403508772,0.0,0.0,0.04824561403508772,0.02631578947368421,0.039473684210526314,0.0,0.06578947368421052,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.0,0.0,0.0,0.0,0.0
S1_D3 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D1 hbo,0.046242774566473986,0.0,0.05202312138728324,0.0,0.057803468208092484,0.057803468208092484,0.03468208092485549,0.057803468208092484,0.03468208092485549,0.0,0.005780346820809248,0.057803468208092484,0.0,0.0,0.0,0.0,0.03468208092485549,0.0,0.057803468208092484,0.0,0.0,0.0,0.0,0.057803468208092484,0.0,0.0,0.0,0.0,0.0,0.057803468208092484,0.046242774566473986,0.0,0.046242774566473986,0.028901734104046242,0.0,0.0,0.057803468208092484,0.04046242774566474,0.057803468208092484,0.0,0.057803468208092484,0.0,0.0,0.0,0.0,0.05202312138728324,0.0,0.0,0.0,0.0,0.0,0.0
S2_D2 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_D4 hbo,0.04460966542750929,0.0,0.03717472118959108,0.0,0.07063197026022305,0.06691449814126393,0.022304832713754646,0.05204460966542751,0.03717472118959108,0.0,0.011152416356877323,0.07063197026022305,0.0,0.0,0.0,0.0,0.03717472118959108,0.0,0.06319702602230483,0.0,0.0,0.0,0.0,0.07063197026022305,0.0,0.0,0.0,0.0,0.0,0.05204460966542751,0.03345724907063197,0.0,0.04460966542750929,0.03345724907063197,0.0,0.0,0.06319702602230483,0.04460966542750929,0.048327137546468404,0.0,0.06319702602230483,0.0,0.0,0.0,0.0,0.03345724907063197,0.0,0.0,0.0,0.0,0.0,0.0
S3_D1 hbo,0.04460966542750929,0.0,0.03717472118959108,0.0,0.07063197026022305,0.06691449814126393,0.022304832713754646,0.05204460966542751,0.03717472118959108,0.0,0.011152416356877323,0.07063197026022305,0.0,0.0,0.0,0.0,0.03717472118959108,0.0,0.06319702602230483,0.0,0.0,0.0,0.0,0.07063197026022305,0.0,0.0,0.0,0.0,0.0,0.05204460966542751,0.03345724907063197,0.0,0.04460966542750929,0.03345724907063197,0.0,0.0,0.06319702602230483,0.04460966542750929,0.048327137546468404,0.0,0.06319702602230483,0.0,0.0,0.0,0.0,0.03345724907063197,0.0,0.0,0.0,0.0,0.0,0.0
S3_D3 hbo,0.05357142857142857,0.0,0.05357142857142857,0.0,0.05357142857142857,0.05357142857142857,0.044642857142857144,0.05357142857142857,0.044642857142857144,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,0.044642857142857144,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.044642857142857144,0.0,0.05357142857142857,0.03571428571428571,0.0,0.0,0.05357142857142857,0.03571428571428571,0.05357142857142857,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.0
S3_D4 hbo,0.04072398190045249,0.0,0.04524886877828054,0.0,0.06334841628959276,0.06334841628959276,0.027149321266968326,0.058823529411764705,0.03167420814479638,0.0,0.00904977375565611,0.06334841628959276,0.0,0.0,0.0,0.0,0.03167420814479638,0.0,0.06334841628959276,0.0,0.0,0.0,0.0,0.06334841628959276,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.04072398190045249,0.0,0.04072398190045249,0.027149321266968326,0.0,0.0,0.06334841628959276,0.04524886877828054,0.058823529411764705,0.0,0.06334841628959276,0.0,0.0,0.0,0.0,0.04072398190045249,0.0,0.0,0.0,0.0,0.0,0.0
S3_D5 hbo,0.05813953488372093,0.0,0.046511627906976744,0.0,0.05813953488372093,0.05813953488372093,0.03488372093023256,0.05232558139534884,0.05232558139534884,0.0,0.01744186046511628,0.05813953488372093,0.0,0.0,0.0,0.0,0.05232558139534884,0.0,0.05813953488372093,0.0,0.0,0.0,0.0,0.05813953488372093,0.0,0.0,0.0,0.0,0.0,0.05232558139534884,0.029069767441860465,0.0,0.05813953488372093,0.046511627906976744,0.0,0.0,0.05232558139534884,0.023255813953488372,0.040697674418604654,0.0,0.05813953488372093,0.0,0.0,0.0,0.0,0.03488372093023256,0.0,0.0,0.0,0.0,0.0,0.0
S4_D2 hbo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
